                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0959,                 3.4852,                 1.0456,                 1.0426,                 12.686,                0.98659,                0.67408,                0.53791,                0.60168,                0.39775,                 1.4159,                 2.1743,                 1.3396,                 1.4198,                 2.6214,                 1.3274,             0.00066545,             0.00066545,             0.00066545
                      2,                 1.2944,                  1.852,                 1.2309,                 1.3085,                 1.8398,                  1.183,                0.58127,                    0.5,                0.53645,                0.36494,                  1.426,                 2.3024,                 1.3933,                 1.4085,                 3.5066,                 1.3763,              0.0013101,              0.0013101,              0.0013101
                      3,                 1.2307,                 1.1561,                 1.1803,                 1.2108,                 1.3092,                 1.1415,                0.63978,                0.69431,                0.67922,                0.46592,                 1.3472,                 1.2913,                 1.2919,                 1.3669,                 1.6166,                  1.321,              0.0019328,              0.0019328,              0.0019328
                      4,                 1.3457,                 1.2072,                 1.2522,                 1.3343,                 1.1029,                 1.2084,                0.79439,                 0.6872,                0.74969,                0.40245,                  1.488,                 1.5159,                  1.428,                 1.7913,                 1.5666,                 1.5702,               0.001901,               0.001901,               0.001901
                      5,                 1.1814,                0.99646,                 1.2011,                 1.2098,                0.91081,                 1.1858,                0.88001,                0.70379,                0.80793,                0.53822,                 1.3091,                 1.0715,                 1.3193,                 1.3975,                 1.1501,                 1.3409,               0.001901,               0.001901,               0.001901
                      6,                 1.0802,                0.82285,                 1.1309,                 1.1026,                0.71034,                 1.1114,                0.81275,                0.72986,                0.80182,                0.56757,                 1.2719,                 1.2024,                 1.3118,                 1.3426,                 1.1854,                 1.3414,               0.001868,               0.001868,               0.001868
                      7,                 1.0712,                0.85995,                 1.1083,                 1.0753,                0.79978,                 1.0829,                  0.685,                0.38648,                0.43017,                0.26096,                 2.1958,                 2.7064,                 1.7983,                 1.9911,                 2.5721,                 1.6487,               0.001835,               0.001835,               0.001835
                      8,                 1.0274,                0.82701,                 1.0676,                 1.0451,                0.85431,                 1.0503,                0.82026,                0.66588,                0.75661,                0.55142,                 1.1467,                 1.1806,                 1.1942,                 1.2103,                 1.3242,                 1.2303,               0.001802,               0.001802,               0.001802
                      9,                 1.0174,                0.76121,                 1.1002,                 1.0379,                0.71079,                 1.0749,                0.77035,                0.66351,                0.75542,                0.52569,                 1.2142,                 1.2718,                 1.2529,                 1.2896,                 1.2954,                 1.3093,               0.001769,               0.001769,               0.001769
                     10,                 0.9776,                0.74689,                 1.0813,                 1.0337,                0.69097,                 1.0758,                0.88101,                0.70853,                0.84164,                0.60355,                 1.1649,                 1.0293,                 1.2176,                 1.2825,                0.96979,                 1.2774,               0.001736,               0.001736,               0.001736
                     11,                 1.0006,                0.71902,                 1.0673,                 1.0153,                0.60278,                 1.0429,                0.79819,                0.75917,                0.83159,                 0.5961,                 1.1256,                 1.0236,                 1.1971,                 1.1939,                0.97392,                 1.2234,               0.001703,               0.001703,               0.001703
                     12,                0.95888,                0.70316,                 1.0294,                0.97735,                0.59102,                  1.023,                0.83453,                0.76777,                0.83547,                0.57577,                 1.1381,                 1.0483,                 1.2049,                 1.3015,                 1.0883,                 1.2507,                0.00167,                0.00167,                0.00167
