                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62945,                 1.6197,                0.15548,                0.79734,                0.68009,                0.75534,                0.56108,                0.35213,                0.64862,                0.05255,             0.00066545,             0.00066545,             0.00066545
                      2,                0.41752,                0.60029,                 0.0604,                0.74074,                0.56872,                0.57355,                0.37895,                 1.2667,                0.49872,                0.54277,              0.0013156,              0.0013156,              0.0013156
                      3,                0.56886,                0.69198,                 0.0768,                 0.6154,                0.55739,                0.59854,                0.34539,                0.52904,                0.80809,                0.06798,              0.0019493,              0.0019493,              0.0019493
                      4,                0.68171,                 1.2543,                0.11624,                0.43982,                0.45024,                0.34992,                0.20928,                0.89194,                 1.2684,                0.20521,              0.0019258,              0.0019258,              0.0019258
                      5,                0.53731,                0.85096,                0.08078,                0.77638,                0.44313,                0.48889,                0.32683,                0.98829,                0.67352,                0.35708,              0.0019258,              0.0019258,              0.0019258
                      6,                0.54669,                0.77733,                0.09609,                0.62966,                0.43916,                0.45984,                0.26199,                 1.1252,                  0.722,                 0.3328,               0.001901,               0.001901,               0.001901
                      7,                0.51673,                0.65087,                0.08285,                0.81669,                0.15403,                0.17573,                0.09327,                 2.5138,                0.23624,                 1.2991,              0.0018763,              0.0018763,              0.0018763
                      8,                0.46793,                0.60048,                0.07757,                0.57663,                0.08768,                0.09235,                0.06612,                 1.6234,                0.76927,                  0.411,              0.0018515,              0.0018515,              0.0018515
                      9,                 0.4386,                0.58617,                0.06894,                0.69794,                0.45446,                0.50345,                 0.3304,                0.69446,                  0.878,                0.14235,              0.0018267,              0.0018267,              0.0018267
                     10,                0.45813,                0.56689,                0.08233,                0.71259,                 0.3584,                0.37331,                0.27278,                0.90261,                0.86848,                0.20762,               0.001802,               0.001802,               0.001802
                     11,                0.50227,                0.56716,                0.08196,                0.69034,                0.44376,                0.49254,                0.30045,                0.88513,                0.69506,                0.20454,              0.0017772,              0.0017772,              0.0017772
