                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9636,                 8.0542,                0.92179,                0.87508,                0.86019,                0.89436,                0.65449,                 1.0477,                 4.1365,                 1.0123,             0.00066545,             0.00066545,             0.00066545
                      2,                0.98926,                 4.6602,                0.95664,                 0.9525,                0.90284,                0.93952,                0.73221,                0.96167,                 3.0118,                0.95875,              0.0013156,              0.0013156,              0.0013156
                      3,                0.95272,                 3.7319,                0.95027,                0.97376,                0.79147,                0.89069,                0.70754,                 1.0129,                  2.557,                0.98395,              0.0019493,              0.0019493,              0.0019493
                      4,                0.98756,                 2.9782,                0.94308,                 0.9196,                 0.8673,                0.91638,                0.70976,                 1.0375,                 1.9881,                0.98289,              0.0019258,              0.0019258,              0.0019258
                      5,                0.95193,                 2.1359,                0.94086,                0.96382,                0.88389,                0.93219,                0.70027,                 1.0333,                 1.6012,                0.98504,              0.0019258,              0.0019258,              0.0019258
                      6,                0.89678,                  1.657,                0.95167,                0.95979,                0.84834,                0.91419,                0.73321,                0.96832,                 1.3235,                 0.9839,               0.001901,               0.001901,               0.001901
                      7,                0.87407,                 1.3871,                0.92108,                0.95866,                0.87915,                0.92951,                0.73093,                0.95681,                 1.1131,                0.97017,              0.0018763,              0.0018763,              0.0018763
                      8,                0.87172,                 1.1335,                0.90396,                 0.9555,                0.86493,                0.92261,                 0.7444,                0.94229,                 1.0206,                0.96552,              0.0018515,              0.0018515,              0.0018515
                      9,                0.86832,                 1.0291,                0.92421,                0.96834,                0.86967,                0.92499,                0.71352,                 1.0009,                 1.0358,                0.98207,              0.0018267,              0.0018267,              0.0018267
                     10,                0.82828,                0.92745,                0.89586,                0.90931,                0.87915,                0.91037,                0.70985,                0.93479,                 0.8794,                0.94475,               0.001802,               0.001802,               0.001802
                     11,                0.87576,                0.84959,                0.91143,                0.95782,                0.91469,                0.95291,                 0.7619,                0.93657,                0.80065,                 0.9637,              0.0017772,              0.0017772,              0.0017772
                     12,                   0.81,                0.76323,                 0.8895,                0.96692,                0.90047,                0.94513,                0.74963,                 0.9622,                0.76636,                0.97411,              0.0017525,              0.0017525,              0.0017525
                     13,                0.81879,                0.75032,                0.90228,                0.94342,                0.86493,                0.91905,                0.71854,                0.96124,                0.81272,                0.95914,              0.0017278,              0.0017278,              0.0017278
                     14,                0.82525,                0.72419,                0.88985,                0.95809,                0.87915,                0.93317,                0.75424,                0.91814,                0.77088,                0.96208,               0.001703,               0.001703,               0.001703
                     15,                0.88093,                0.76574,                0.89691,                 0.9661,                0.81043,                 0.8967,                0.72616,                 0.9391,                0.77683,                0.94959,              0.0016783,              0.0016783,              0.0016783
                     16,                0.82367,                0.71941,                0.90215,                0.96961,                0.83175,                0.90794,                0.73956,                0.94773,                0.76914,                 0.9626,              0.0016535,              0.0016535,              0.0016535
                     17,                0.76786,                0.65525,                0.87543,                0.95596,                0.87441,                  0.927,                0.74822,                0.91703,                0.77107,                 0.9687,              0.0016287,              0.0016287,              0.0016287
                     18,                0.78352,                0.63751,                0.88247,                0.95533,                0.91232,                0.94885,                0.76485,                0.90365,                0.69074,                0.95833,               0.001604,               0.001604,               0.001604
                     19,                0.76974,                0.61137,                0.88471,                0.94634,                0.91943,                0.95009,                0.77915,                0.88524,                0.66721,                0.94784,              0.0015793,              0.0015793,              0.0015793
                     20,                0.75178,                0.60358,                0.89483,                0.91847,                0.90758,                0.94233,                0.76028,                0.91877,                0.86442,                0.97472,              0.0015545,              0.0015545,              0.0015545
                     21,                0.79071,                0.59434,                0.89252,                0.94458,                0.88863,                0.93698,                0.75649,                0.94363,                0.90465,                0.98889,              0.0015298,              0.0015298,              0.0015298
                     22,                0.75562,                0.56057,                0.87867,                 0.9569,                 0.9469,                 0.9695,                0.77588,                0.91332,                0.65696,                0.95985,               0.001505,               0.001505,               0.001505
                     23,                0.76164,                0.58533,                0.86762,                0.96296,                0.92417,                0.95749,                 0.7823,                0.88035,                0.76357,                0.95774,              0.0014803,              0.0014803,              0.0014803
