epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.506,0.98465,1.90239,1.03323,0.9099,0.80806,0.89011,0.64087,1.10662,1.00495,1.17178,0.000665448,0.000665448,0.000665448
2,258.046,1.06843,1.06963,1.11192,0.90631,0.74882,0.85861,0.64218,1.20263,1.13197,1.24112,0.00131563,0.00131563,0.00131563
3,381.383,1.13115,0.97872,1.17177,0.80204,0.73223,0.80777,0.58298,1.24147,1.2728,1.31697,0.00194931,0.00194931,0.00194931
4,504.177,1.07253,0.87958,1.12377,0.88274,0.82063,0.89285,0.65167,1.19162,1.03741,1.22869,0.00192575,0.00192575,0.00192575
5,628.784,1.00098,0.80437,1.1005,0.95356,0.72986,0.85217,0.64578,1.16833,1.22962,1.22259,0.001901,0.001901,0.001901
6,751.657,1.00392,0.77654,1.07827,0.85323,0.8128,0.8711,0.66556,1.17379,1.06146,1.21594,0.00187625,0.00187625,0.00187625
7,876.187,0.96355,0.67811,1.0296,0.91111,0.77725,0.8706,0.67767,1.14433,1.008,1.19543,0.0018515,0.0018515,0.0018515
8,999.731,0.92841,0.61972,1.01943,0.92856,0.86239,0.9186,0.69997,1.10416,0.82446,1.19768,0.00182675,0.00182675,0.00182675
9,1124.98,0.92442,0.64215,1.04446,0.93217,0.84676,0.91893,0.69169,1.10378,0.91427,1.19308,0.001802,0.001802,0.001802
10,1247.58,0.87395,0.62247,1.01718,0.89578,0.85545,0.90665,0.7111,1.06293,0.87344,1.17814,0.00177725,0.00177725,0.00177725
11,1371.67,0.89414,0.57861,1.00735,0.95014,0.8128,0.8954,0.69119,1.11185,0.96335,1.21872,0.0017525,0.0017525,0.0017525
12,1494.67,0.89163,0.59424,0.99989,0.92756,0.85071,0.9181,0.6912,1.08602,0.74752,1.17504,0.00172775,0.00172775,0.00172775
13,1617.44,0.84581,0.54821,0.9924,0.93261,0.91943,0.94882,0.70359,1.05402,0.74618,1.13907,0.001703,0.001703,0.001703
14,1739.96,0.89519,0.55028,1.00141,0.91791,0.87441,0.91582,0.69545,1.13579,0.91817,1.20169,0.00167825,0.00167825,0.00167825
15,1862.43,0.86594,0.54275,0.98071,0.91014,0.86408,0.91687,0.70371,1.02547,0.84843,1.13132,0.0016535,0.0016535,0.0016535
16,1984.55,0.85797,0.5499,1.0071,0.9382,0.79147,0.88268,0.69969,1.02113,0.94998,1.13352,0.00162875,0.00162875,0.00162875
17,2106.99,0.84081,0.53272,0.96956,0.96538,0.86019,0.92365,0.70667,1.05328,0.85769,1.17984,0.001604,0.001604,0.001604
18,2229.87,0.83819,0.52758,0.98142,0.92604,0.89006,0.93843,0.73294,0.99441,0.72924,1.10273,0.00157925,0.00157925,0.00157925
19,2354.74,0.79928,0.50451,0.9597,0.91127,0.90047,0.93265,0.72576,1.0289,0.73011,1.14658,0.0015545,0.0015545,0.0015545
20,2477.7,0.81462,0.52234,0.97681,0.90061,0.86967,0.91234,0.7109,1.00488,0.89098,1.13588,0.00152975,0.00152975,0.00152975
21,2600.87,0.83616,0.51523,0.96197,0.95128,0.87915,0.93009,0.7376,1.0201,0.81609,1.1447,0.001505,0.001505,0.001505
22,2727.58,0.79031,0.49486,0.94563,0.91274,0.91706,0.94351,0.73062,1.00317,0.74846,1.11851,0.00148025,0.00148025,0.00148025
