                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1369,                 2.9333,                0.94151,                 1.0184,                 4.2835,                0.85191,                0.30937,                0.57869,                0.47116,                0.29574,                 1.4479,                 2.0408,                 1.0037,                 1.4377,                 2.1293,                0.99377,             0.00055503,             0.00055503,             0.00055503
                      2,                 1.2708,                 1.9864,                0.97252,                 1.1679,                 1.8718,                0.87846,                0.46858,                0.42872,                   0.38,                0.24414,                 1.4937,                 2.2719,                 1.0514,                 1.6283,                 2.4723,                 1.0606,              0.0010997,              0.0010997,              0.0010997
                      3,                 1.2717,                 1.5783,                0.98582,                  1.198,                 1.3902,                0.90066,                0.35963,                 0.3579,                0.25964,                0.15906,                 1.9649,                 2.5962,                 1.2757,                 1.9157,                 3.9547,                  1.267,              0.0016334,              0.0016334,              0.0016334
                      4,                 1.3343,                 1.7718,                 1.0133,                 1.2441,                 1.6804,                0.92121,                0.38748,                0.54188,                0.38085,                0.25211,                 1.3863,                 1.8922,                 1.0148,                 1.5128,                 2.0056,                 1.0423,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1641,                 1.4884,                 0.9527,                 1.1293,                 1.2712,                0.87902,                0.56011,                0.52788,                0.51512,                0.34914,                 1.4015,                 1.6888,                 1.0221,                 1.4117,                 1.6133,                 1.0248,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.1462,                 1.3966,                0.95816,                 1.0676,                 1.1827,                0.86632,                0.52946,                0.52494,                0.50969,                 0.3525,                  1.372,                 1.7634,                 1.0167,                 1.3961,                 1.8047,                0.99875,               0.001601,               0.001601,               0.001601
                      7,                  1.176,                  1.388,                0.94113,                 1.0803,                 1.2064,                0.85734,                0.55405,                0.55251,                0.51168,                0.32536,                 1.4338,                  1.673,                 1.0338,                 1.4782,                 1.5814,                 1.0394,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.1465,                 1.4423,                0.95216,                 1.1045,                 1.2994,                0.89353,                0.53459,                0.57005,                0.50667,                0.34465,                 1.3487,                 1.6974,                0.99823,                 1.4253,                 1.5933,                0.99449,               0.001568,               0.001568,               0.001568
                      9,                 1.0729,                 1.3413,                0.91623,                 1.0269,                 1.1654,                0.84598,                0.53248,                0.56159,                0.49417,                0.35278,                 1.2877,                 1.6991,                 1.0015,                 1.2969,                 1.6415,                0.98598,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.0176,                 1.2324,                 0.9063,                   1.01,                 1.0344,                0.85221,                0.56499,                0.58888,                0.52685,                 0.3713,                 1.2681,                 1.5911,                0.98608,                  1.367,                  1.532,                0.99045,               0.001535,               0.001535,               0.001535
                     11,                 1.0801,                 1.2188,                0.90923,                 1.0091,                 1.0282,                0.83486,                0.59704,                0.59025,                0.53868,                0.38438,                 1.3044,                 1.6055,                0.99853,                 1.3036,                 1.5239,                0.99084,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.0673,                 1.2574,                0.91493,                 1.0023,                 1.0199,                0.85063,                0.54273,                0.58466,                0.53146,                0.36075,                  1.365,                 1.6837,                 1.0174,                 1.3714,                 1.5541,                  1.007,               0.001502,               0.001502,               0.001502
                     13,                0.97298,                 1.1856,                0.88912,                0.94185,                0.96643,                0.82546,                0.61736,                0.59424,                0.57707,                0.40727,                 1.2806,                 1.5193,                 0.9834,                 1.3172,                  1.404,                0.96687,              0.0014855,              0.0014855,              0.0014855
                     14,                0.97504,                 1.1312,                0.87477,                0.92662,                0.92066,                0.81668,                0.54657,                0.58598,                0.51225,                0.36515,                 1.2399,                 1.5311,                0.97361,                 1.2993,                 1.4761,                0.96815,               0.001469,               0.001469,               0.001469
                     15,                0.95777,                 1.1282,                0.88145,                0.94192,                0.92629,                0.82501,                0.59326,                0.60088,                0.56217,                0.38928,                 1.2311,                 1.5643,                 0.9804,                 1.3146,                 1.4817,                0.97805,              0.0014525,              0.0014525,              0.0014525
                     16,                0.93967,                 1.0581,                0.87209,                0.92518,                 0.8641,                0.82937,                0.58481,                0.59408,                0.53421,                0.38482,                 1.1867,                 1.5405,                0.96272,                 1.2378,                 1.4671,                0.95945,               0.001436,               0.001436,               0.001436
                     17,                0.97493,                 1.1444,                0.86784,                0.95034,                0.91326,                0.80918,                0.54687,                0.57667,                0.50467,                0.36502,                 1.1957,                 1.6766,                0.97087,                 1.2815,                 1.6187,                0.96795,              0.0014195,              0.0014195,              0.0014195
                     18,                0.91276,                 1.1099,                0.86279,                0.92459,                0.87551,                0.82215,                0.53794,                0.60013,                0.55632,                  0.408,                 1.1716,                 1.5956,                0.96495,                 1.2082,                 1.4552,                0.96112,              0.0014029,              0.0014029,              0.0014029
                     19,                0.89472,                 1.0404,                0.87002,                0.87924,                0.85539,                0.82088,                0.59211,                0.61181,                0.55713,                0.40944,                 1.1496,                 1.5076,                0.96169,                 1.2024,                 1.4512,                0.95398,              0.0013864,              0.0013864,              0.0013864
                     20,                  0.921,                 1.0261,                0.84891,                0.90058,                0.83199,                0.80306,                 0.5232,                0.61625,                0.51661,                0.38249,                 1.1786,                 1.6644,                 0.9655,                 1.1977,                 1.6241,                0.96055,              0.0013699,              0.0013699,              0.0013699
                     21,                0.88354,                0.96113,                0.86555,                0.87691,                0.77198,                0.81567,                0.55291,                0.58991,                0.53861,                0.39641,                 1.1414,                 1.5609,                0.94646,                 1.1789,                 1.4371,                0.93468,              0.0013534,              0.0013534,              0.0013534
                     22,                0.89583,                 1.0034,                 0.8529,                0.86422,                0.79165,                0.79319,                0.57519,                0.63001,                0.55703,                0.40636,                 1.1323,                 1.6867,                 0.9525,                 1.2267,                 1.6176,                0.95523,              0.0013369,              0.0013369,              0.0013369
                     23,                0.85074,                 1.0061,                0.85382,                0.83603,                0.84527,                0.81367,                 0.5739,                0.62091,                 0.5819,                0.42799,                 1.0966,                 1.5201,                0.94243,                  1.213,                   1.41,                0.95151,              0.0013204,              0.0013204,              0.0013204
                     24,                0.85304,                0.98705,                0.84836,                0.84917,                0.80122,                0.80931,                0.55365,                0.63591,                0.56405,                0.41318,                 1.1889,                  1.538,                0.98131,                 1.1993,                 1.3906,                0.96841,              0.0013039,              0.0013039,              0.0013039
                     25,                0.83973,                0.94036,                0.83753,                0.83943,                0.73977,                0.79436,                0.60865,                0.61908,                0.56287,                0.41071,                 1.2055,                 1.5228,                0.97345,                  1.234,                 1.4886,                0.95941,              0.0012874,              0.0012874,              0.0012874
                     26,                0.85217,                0.98149,                0.83867,                 0.8351,                0.78947,                0.79738,                0.56567,                0.58578,                 0.5468,                0.40879,                  1.167,                 1.6496,                0.97052,                 1.2041,                 1.5701,                0.96807,              0.0012709,              0.0012709,              0.0012709
                     27,                0.83145,                0.96494,                0.83966,                0.81478,                0.75234,                0.79947,                0.51698,                0.64823,                0.52629,                0.38323,                 1.1785,                 1.4718,                0.97128,                 1.1849,                 1.3645,                0.94964,              0.0012544,              0.0012544,              0.0012544
                     28,                0.83857,                0.96964,                0.83907,                0.83839,                0.77916,                0.79798,                0.56631,                0.63776,                0.55637,                0.41478,                 1.1632,                 1.5134,                0.95261,                 1.1552,                 1.4096,                0.94737,              0.0012379,              0.0012379,              0.0012379
                     29,                0.79528,                0.88688,                 0.8323,                0.78683,                0.70712,                0.78532,                0.60403,                0.63442,                0.57145,                0.41515,                 1.2007,                 1.6492,                0.98337,                 1.2243,                 1.5549,                0.95575,              0.0012214,              0.0012214,              0.0012214
                     30,                0.83339,                0.87475,                0.83322,                0.81201,                 0.6886,                0.79029,                0.59797,                0.66122,                0.58907,                0.43877,                 1.1192,                 1.5035,                0.95166,                 1.1589,                 1.4195,                0.93705,              0.0012049,              0.0012049,              0.0012049
                     31,                0.78335,                0.85704,                0.83174,                 0.7943,                 0.7176,                0.79624,                  0.594,                0.60039,                 0.5569,                0.42498,                 1.1191,                 1.5981,                0.95731,                 1.1172,                 1.5528,                0.93406,              0.0011884,              0.0011884,              0.0011884
                     32,                0.79521,                0.89569,                0.82914,                 0.7785,                0.72399,                 0.7917,                0.59888,                0.66048,                0.58244,                0.42649,                  1.155,                 1.5457,                0.96125,                 1.1913,                 1.4041,                0.94601,              0.0011719,              0.0011719,              0.0011719
                     33,                0.76695,                0.83656,                0.81589,                 0.7698,                0.67392,                0.78275,                0.59373,                0.63753,                0.56759,                0.42396,                 1.1284,                 1.6455,                0.94506,                 1.1658,                 1.5417,                0.94368,              0.0011554,              0.0011554,              0.0011554
                     34,                0.76661,                0.83804,                0.82268,                0.76135,                0.64748,                0.78329,                0.49607,                0.62738,                0.53324,                0.40502,                 1.1338,                 1.7147,                0.95538,                 1.1287,                 1.6359,                 0.9353,              0.0011389,              0.0011389,              0.0011389
                     35,                0.75999,                0.80642,                0.81765,                0.72586,                0.63884,                 0.7789,                0.55352,                0.63855,                0.53835,                0.40864,                 1.1395,                 1.7133,                0.96726,                 1.1561,                 1.6843,                0.96325,              0.0011224,              0.0011224,              0.0011224
                     36,                  0.766,                0.82559,                0.82923,                0.75095,                0.62659,                0.78413,                0.59899,                0.63988,                0.56488,                0.43476,                 1.0927,                 1.6412,                 0.9465,                 1.0951,                   1.59,                0.93244,              0.0011059,              0.0011059,              0.0011059
                     37,                0.77549,                0.81756,                 0.8252,                0.75765,                0.64808,                 0.7874,                0.57402,                0.60976,                0.54551,                 0.4124,                 1.0868,                 1.5982,                0.95215,                   1.13,                 1.5842,                0.93062,              0.0010894,              0.0010894,              0.0010894
                     38,                0.79115,                 0.7943,                 0.8212,                 0.7772,                0.62929,                0.78202,                0.58796,                0.64243,                0.56158,                0.41744,                 1.0874,                 1.6173,                0.94885,                  1.136,                  1.491,                0.94778,              0.0010729,              0.0010729,              0.0010729
                     39,                0.74315,                0.78598,                0.82193,                0.72362,                0.63354,                0.78288,                0.56853,                0.61463,                0.57075,                0.43692,                 1.0856,                  1.654,                 0.9479,                 1.0995,                   1.56,                0.93806,              0.0010564,              0.0010564,              0.0010564
                     40,                0.71703,                0.81094,                0.79973,                 0.7097,                0.63389,                0.76186,                0.56638,                0.67509,                 0.5616,                0.42495,                 1.0652,                 1.5337,                0.95515,                 1.1138,                 1.4273,                0.93793,              0.0010399,              0.0010399,              0.0010399
                     41,                0.71137,                0.83066,                0.80869,                0.70376,                0.64248,                0.77121,                0.55501,                0.63237,                0.55326,                0.42416,                 1.0587,                 1.7035,                0.93409,                 1.0974,                 1.5333,                0.93601,              0.0010234,              0.0010234,              0.0010234
                     42,                0.67649,                0.73584,                0.79539,                0.68782,                0.62387,                0.76358,                0.56771,                0.64696,                0.56074,                0.43249,                 1.0713,                 1.6812,                0.94487,                 1.0847,                  1.607,                 0.9382,              0.0010069,              0.0010069,              0.0010069
                     43,                0.71128,                0.74061,                0.81261,                0.69355,                0.57938,                 0.7745,                0.55466,                0.54087,                0.54057,                0.41388,                   1.06,                 1.8695,                0.93663,                 1.0619,                 1.7473,                 0.9295,             0.00099036,             0.00099036,             0.00099036
                     44,                0.71166,                0.83806,                 0.8095,                0.70971,                0.66675,                0.77422,                0.62385,                0.60275,                0.55873,                 0.4285,                  1.045,                 1.4959,                0.94248,                 1.0859,                 1.4973,                0.93762,             0.00097386,             0.00097386,             0.00097386
                     45,                0.69435,                0.77347,                0.80181,                0.68015,                0.62597,                0.76745,                0.57185,                0.62536,                0.57644,                0.43655,                 1.0637,                 1.6431,                0.92846,                 1.0951,                 1.5685,                0.91893,             0.00095736,             0.00095736,             0.00095736
