                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0683,                   3.24,                0.92179,                0.31641,                0.64635,                0.29416,                  0.186,                 1.3032,                 5.3432,                 0.9575,             0.00055503,             0.00055503,             0.00055503
                      2,                 1.1692,                 1.7268,                0.93979,                0.63678,                  0.579,                0.56298,                0.38529,                 1.2448,                  1.639,                0.96364,              0.0010997,              0.0010997,              0.0010997
                      3,                 1.1307,                  1.485,                0.95146,                0.52818,                0.55437,                0.47231,                0.31799,                 1.3388,                   1.82,                0.99296,              0.0016334,              0.0016334,              0.0016334
                      4,                 1.2098,                 1.4429,                0.96782,                0.54523,                 0.5114,                0.48535,                0.32204,                 1.4167,                 1.9146,                 1.0207,              0.0016175,              0.0016175,              0.0016175
                      5,                  1.099,                 1.4604,                0.92477,                0.46631,                0.62786,                0.55157,                0.37896,                 1.3403,                 1.7201,                 1.0025,              0.0016175,              0.0016175,              0.0016175
                      6,                  1.057,                 1.3848,                 0.9291,                 0.5123,                0.62835,                0.54998,                0.37042,                 1.3048,                 1.7526,                0.99592,               0.001601,               0.001601,               0.001601
                      7,                 1.0491,                 1.2882,                0.91273,                0.61198,                0.64466,                0.59141,                0.39758,                 1.3413,                  1.629,                  1.004,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.0647,                 1.3108,                0.93162,                0.61226,                0.58455,                0.57918,                0.40653,                  1.237,                 1.6157,                0.97274,               0.001568,               0.001568,               0.001568
                      9,                 1.0455,                 1.2417,                 0.9043,                 0.5454,                0.63753,                0.56222,                0.39908,                 1.2141,                 1.6038,                0.97237,              0.0015515,              0.0015515,              0.0015515
                     10,                0.92497,                  1.178,                0.87729,                0.63848,                0.70032,                0.62267,                0.43178,                 1.1952,                 1.5311,                0.94738,               0.001535,               0.001535,               0.001535
                     11,                0.98614,                 1.1334,                0.88123,                0.61346,                0.64804,                0.57192,                0.40557,                 1.1944,                 1.6497,                0.94702,              0.0015185,              0.0015185,              0.0015185
                     12,                0.95452,                 1.1156,                0.88292,                0.61908,                0.61463,                0.56686,                0.38188,                 1.2384,                 1.5873,                  0.977,               0.001502,               0.001502,               0.001502
                     13,                0.90421,                 1.0859,                0.86869,                 0.6451,                0.60204,                0.63543,                0.43387,                 1.1761,                 1.5417,                0.96207,              0.0014855,              0.0014855,              0.0014855
                     14,                0.88593,                 1.0572,                0.85603,                0.58249,                0.62727,                0.58951,                  0.409,                  1.173,                 1.4997,                0.95256,               0.001469,               0.001469,               0.001469
                     15,                0.90582,                 1.0534,                0.86743,                0.64219,                0.69187,                0.61884,                0.43166,                 1.1599,                 1.4799,                0.96115,              0.0014525,              0.0014525,              0.0014525
                     16,                0.90498,                 1.0377,                   0.86,                0.65218,                 0.6649,                0.60625,                0.42876,                  1.169,                  1.496,                0.95284,               0.001436,               0.001436,               0.001436
                     17,                0.95577,                 1.0515,                0.86047,                0.63988,                0.63702,                0.60155,                0.41092,                 1.2135,                   1.59,                0.97258,              0.0014195,              0.0014195,              0.0014195
                     18,                0.89701,                0.99961,                0.85483,                0.63591,                0.62798,                0.62194,                0.42315,                 1.2204,                 1.5018,                0.97042,              0.0014029,              0.0014029,              0.0014029
