                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0457,                 6.4398,                0.85953,                0.31336,                0.35192,                 0.3129,                 0.2409,                 1.1111,                 4.5373,                0.87685,             0.00055503,             0.00055503,             0.00055503
                      2,                   1.04,                  4.396,                0.87368,                0.36702,                0.26538,                0.30858,                0.23942,                 1.1844,                 3.2687,                0.89651,              0.0010997,              0.0010997,              0.0010997
                      3,                 1.0361,                 2.8725,                0.88555,                0.64479,                 0.2022,                0.40225,                0.32615,                 1.2085,                 2.5819,                0.92422,              0.0016334,              0.0016334,              0.0016334
                      4,                 1.0226,                 2.3585,                0.87952,                0.62023,                0.19818,                0.38464,                 0.3012,                 1.2183,                 2.2456,                0.91471,              0.0016175,              0.0016175,              0.0016175
                      5,                 0.9955,                 1.9053,                0.85671,                0.68933,                0.20341,                0.43541,                0.35798,                 1.1575,                 1.8444,                0.90152,              0.0016175,              0.0016175,              0.0016175
                      6,                0.96622,                 1.5679,                0.87456,                 0.6559,                0.31255,                0.47497,                 0.3567,                 1.2072,                 1.8249,                 0.9076,               0.001601,               0.001601,               0.001601
                      7,                0.97178,                 1.4745,                 0.8593,                0.71808,                  0.291,                0.47798,                0.38262,                 1.2261,                 1.6252,                0.92194,              0.0015845,              0.0015845,              0.0015845
                      8,                0.99332,                 1.4232,                0.87394,                0.71515,                0.22757,                0.45692,                0.36984,                 1.1354,                 1.5591,                0.90001,               0.001568,               0.001568,               0.001568
                      9,                0.97193,                 1.2959,                0.86895,                0.73874,                0.25928,                0.47536,                0.38072,                  1.097,                 1.5187,                0.91134,              0.0015515,              0.0015515,              0.0015515
                     10,                0.89428,                 1.2091,                0.84385,                0.70769,                0.48071,                0.56143,                0.45305,                 1.0847,                 1.4818,                0.89433,               0.001535,               0.001535,               0.001535
                     11,                0.91483,                 1.2009,                 0.8324,                0.69673,                0.43807,                0.51675,                0.43023,                 1.0924,                 1.4841,                0.90357,              0.0015185,              0.0015185,              0.0015185
                     12,                0.87244,                 1.2223,                0.83862,                0.40517,                0.18077,                0.28556,                0.22726,                 1.1584,                 1.6397,                0.90927,               0.001502,               0.001502,               0.001502
                     13,                 0.8566,                 1.0899,                0.84388,                0.71156,                0.41256,                0.53011,                0.41659,                 1.1058,                  1.435,                0.89668,              0.0014855,              0.0014855,              0.0014855
                     14,                0.88054,                 1.0767,                0.83459,                0.64957,                0.51809,                0.55536,                 0.4253,                  1.153,                 1.5157,                0.90191,               0.001469,               0.001469,               0.001469
                     15,                0.87955,                 1.1031,                0.84062,                0.68738,                0.28597,                0.47358,                 0.3869,                 1.0844,                 1.4509,                0.90222,              0.0014525,              0.0014525,              0.0014525
                     16,                0.84326,                 1.0072,                0.83732,                0.69545,                0.55616,                0.57819,                0.45952,                 1.0795,                 1.4319,                0.90831,               0.001436,               0.001436,               0.001436
                     17,                0.87942,                   1.06,                0.83035,                0.70738,                 0.2881,                0.46744,                 0.3937,                 1.0974,                 1.5074,                0.90188,              0.0014195,              0.0014195,              0.0014195
                     18,                0.84132,                 1.0066,                0.82858,                0.69591,                 0.4329,                0.54735,                0.44418,                 1.0798,                  1.516,                0.89811,              0.0014029,              0.0014029,              0.0014029
                     19,                0.81719,                0.97646,                0.84081,                0.69407,                0.30085,                0.47214,                0.40178,                 1.0931,                 1.4652,                0.91287,              0.0013864,              0.0013864,              0.0013864
                     20,                0.82969,                0.96675,                0.82248,                0.66114,                0.44924,                0.49886,                0.41785,                 1.0689,                 1.5442,                0.90049,              0.0013699,              0.0013699,              0.0013699
                     21,                0.82275,                0.91991,                0.84285,                0.75096,                0.22045,                0.46286,                0.40298,                 1.0333,                 1.5305,                 0.9007,              0.0013534,              0.0013534,              0.0013534
                     22,                0.81776,                0.94535,                0.82315,                0.68575,                0.42201,                0.51288,                 0.4106,                 1.0784,                 1.5494,                0.90437,              0.0013369,              0.0013369,              0.0013369
                     23,                0.82358,                0.95915,                0.83716,                0.69916,                0.38854,                0.50914,                0.41081,                 1.0979,                 1.3476,                0.90424,              0.0013204,              0.0013204,              0.0013204
