                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0324,                 6.4689,                0.85692,                 0.3234,                0.63818,                0.43986,                 0.3003,                 1.1019,                 4.4943,                0.88602,             0.00055503,             0.00055503,             0.00055503
                      2,                 1.0411,                 4.2323,                0.87689,                0.41719,                0.67259,                0.48459,                0.31247,                  1.262,                 3.3614,                0.91063,               0.001097,               0.001097,               0.001097
                      3,                 1.0563,                 2.8952,                0.88218,                0.44993,                0.61685,                0.49232,                0.31604,                 1.2097,                 2.7043,                0.90354,              0.0016251,              0.0016251,              0.0016251
                      4,                 1.0632,                 2.3669,                0.88419,                0.49217,                0.64098,                 0.5282,                0.36859,                 1.2099,                 2.1615,                0.92178,              0.0016051,              0.0016051,              0.0016051
                      5,                0.99549,                 1.8926,                0.85847,                0.49442,                0.68213,                0.54182,                0.35309,                 1.1922,                  1.946,                 0.9081,              0.0016051,              0.0016051,              0.0016051
                      6,                0.97669,                 1.6013,                0.86721,                0.52726,                0.61506,                0.54046,                0.34964,                 1.2128,                 1.9262,                0.90888,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.0136,                 1.4694,                0.87756,                0.55618,                 0.6871,                0.58597,                0.40409,                 1.1302,                 1.6486,                0.91409,              0.0015639,              0.0015639,              0.0015639
                      8,                0.98392,                  1.465,                0.87889,                0.58385,                0.69648,                0.62304,                0.43816,                 1.1369,                 1.5071,                0.90354,              0.0015432,              0.0015432,              0.0015432
                      9,                0.94522,                 1.2767,                0.86592,                0.60365,                0.71041,                0.65751,                0.44819,                 1.1338,                 1.4188,                0.91079,              0.0015226,              0.0015226,              0.0015226
                     10,                0.92533,                 1.2305,                 0.8498,                0.61506,                0.69581,                0.62597,                0.43896,                 1.1704,                 1.5189,                0.91847,               0.001502,               0.001502,               0.001502
                     11,                0.90883,                 1.1637,                0.83516,                0.60933,                0.62538,                0.61401,                0.43381,                 1.0947,                 1.5229,                0.90798,              0.0014813,              0.0014813,              0.0014813
                     12,                0.89692,                  1.192,                0.85501,                 0.6134,                 0.7079,                0.62246,                0.42628,                 1.1376,                 1.4638,                0.91939,              0.0014607,              0.0014607,              0.0014607
                     13,                0.86123,                 1.0874,                 0.8469,                0.58007,                0.67792,                0.64894,                0.45864,                 1.0777,                  1.415,                0.90636,              0.0014401,              0.0014401,              0.0014401
                     14,                0.87587,                 1.0472,                0.83495,                0.62679,                0.72316,                0.64149,                0.44296,                   1.13,                 1.4858,                0.90516,              0.0014195,              0.0014195,              0.0014195
                     15,                0.89793,                 1.0863,                0.84534,                 0.6147,                0.70001,                0.61298,                0.42993,                  1.067,                 1.3887,                0.90178,              0.0013988,              0.0013988,              0.0013988
                     16,                0.85809,                0.98788,                0.83406,                 0.6295,                0.71596,                0.63781,                0.45277,                  1.071,                 1.3604,                0.89259,              0.0013782,              0.0013782,              0.0013782
                     17,                0.86626,                 1.0381,                0.82329,                0.56915,                0.72381,                0.60296,                 0.4383,                 1.0823,                 1.4577,                 0.8931,              0.0013576,              0.0013576,              0.0013576
                     18,                0.81794,                 0.9904,                0.82297,                0.64134,                0.63183,                0.62525,                 0.4595,                 1.0502,                 1.5187,                0.88781,              0.0013369,              0.0013369,              0.0013369
                     19,                0.82152,                0.97763,                0.84054,                0.57879,                0.69489,                0.61913,                0.46339,                 1.0152,                 1.4049,                0.90122,              0.0013163,              0.0013163,              0.0013163
                     20,                0.81028,                0.96596,                0.82073,                0.62317,                0.66304,                0.63485,                 0.4651,                 1.0808,                 1.4331,                0.91379,              0.0012957,              0.0012957,              0.0012957
                     21,                0.82659,                0.93016,                0.83843,                0.58528,                0.71072,                0.62706,                0.46631,                 1.0267,                 1.4072,                0.90105,               0.001275,               0.001275,               0.001275
                     22,                 0.8061,                 0.9243,                0.82442,                0.52894,                0.71298,                0.61631,                0.43945,                 1.0405,                 1.5644,                0.89897,              0.0012544,              0.0012544,              0.0012544
                     23,                0.82441,                0.93242,                0.83392,                0.59895,                0.67775,                0.60887,                0.42786,                 1.0666,                 1.3932,                0.90895,              0.0012338,              0.0012338,              0.0012338
                     24,                0.83211,                0.88327,                0.83255,                0.59473,                0.66943,                0.61671,                0.45292,                 1.0071,                 1.4053,                 0.9031,              0.0012132,              0.0012132,              0.0012132
                     25,                0.80002,                0.87359,                0.81962,                0.62343,                 0.7019,                0.64344,                0.47567,                 1.0611,                 1.3428,                0.90162,              0.0011925,              0.0011925,              0.0011925
                     26,                  0.784,                0.90317,                0.81997,                 0.5589,                0.70276,                0.61777,                0.45366,                 1.0655,                 1.5803,                0.90403,              0.0011719,              0.0011719,              0.0011719
                     27,                0.81166,                0.89408,                0.83167,                 0.6059,                0.72668,                0.64497,                0.47385,                 1.0597,                 1.3537,                0.91167,              0.0011513,              0.0011513,              0.0011513
                     28,                0.77121,                0.84739,                0.82511,                0.63024,                0.69232,                 0.6453,                0.47588,                 1.0626,                  1.379,                0.91173,              0.0011306,              0.0011306,              0.0011306
                     29,                0.73951,                0.81857,                0.80998,                0.58748,                0.67821,                0.59562,                0.44514,                 1.0215,                 1.4359,                0.89295,                0.00111,                0.00111,                0.00111
                     30,                0.77223,                0.82414,                0.81405,                0.59466,                0.69762,                0.61677,                0.44792,                 1.0636,                 1.4016,                0.90913,              0.0010894,              0.0010894,              0.0010894
                     31,                0.74096,                 0.7652,                0.81637,                0.57312,                0.75326,                0.61793,                0.44999,                 1.0602,                 1.4283,                 0.9036,              0.0010688,              0.0010688,              0.0010688
                     32,                0.74235,                0.78925,                0.81395,                0.55985,                0.67084,                0.59241,                0.41872,                 1.0655,                 1.4897,                0.90218,              0.0010481,              0.0010481,              0.0010481
                     33,                0.74994,                0.75184,                0.81428,                0.62115,                0.69172,                0.64002,                0.47503,                 1.0165,                 1.4253,                0.88994,              0.0010275,              0.0010275,              0.0010275
                     34,                0.75192,                0.78501,                0.81494,                0.56731,                0.69992,                0.63621,                0.47642,                 1.0408,                 1.4869,                0.89679,              0.0010069,              0.0010069,              0.0010069
                     35,                0.72996,                0.75998,                0.81222,                0.55702,                0.64833,                0.61492,                0.43636,                 1.0476,                 1.4218,                0.90029,             0.00098624,             0.00098624,             0.00098624
