                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.913,                 7.5821,                0.81855,                0.14169,                0.25705,                0.12029,                0.09355,                  1.199,                 7.3009,                0.85379,             0.00041529,             0.00041529,             0.00041529
                      2,                0.90612,                 5.7088,                0.84094,                0.22908,                 0.2882,                0.18046,                0.13743,                 1.2871,                 6.4522,                0.85898,             0.00082372,             0.00082372,             0.00082372
                      3,                0.92574,                 5.0229,                0.84856,                0.17503,                0.17789,                0.14754,                0.11725,                 1.2153,                 5.8963,                0.86368,              0.0012239,              0.0012239,              0.0012239
                      4,                 1.0125,                 5.0255,                0.87852,                 0.2415,                0.17904,                0.17479,                0.12715,                 1.2917,                 5.5149,                0.87099,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.0051,                 4.1713,                0.90142,                0.25357,                 0.3187,                0.23759,                0.18273,                 1.1687,                 4.9037,                0.85256,              0.0012129,              0.0012129,              0.0012129
                      6,                0.92218,                 3.6298,                0.86206,                0.22309,                0.26652,                0.21331,                0.16131,                 1.2078,                  4.666,                0.86447,              0.0012005,              0.0012005,              0.0012005
                      7,                0.88323,                 3.2457,                0.87226,                0.28058,                0.28329,                0.22588,                0.17751,                 1.1811,                 4.3868,                0.86155,              0.0011881,              0.0011881,              0.0011881
                      8,                0.87614,                 3.0527,                0.84437,                0.28268,                0.34606,                0.24852,                0.18975,                 1.1202,                 4.3507,                0.85346,              0.0011757,              0.0011757,              0.0011757
                      9,                0.90484,                 2.8765,                0.85952,                0.32492,                0.35591,                0.28174,                0.21604,                 1.1816,                 4.2554,                0.85869,              0.0011634,              0.0011634,              0.0011634
                     10,                0.81639,                 2.7483,                0.82491,                0.27323,                0.43292,                0.29664,                0.23394,                 1.0964,                  3.798,                0.85031,               0.001151,               0.001151,               0.001151
                     11,                0.79206,                 2.3174,                0.83272,                0.27424,                0.41366,                0.27741,                0.21128,                 1.0808,                 3.7614,                0.85167,              0.0011386,              0.0011386,              0.0011386
                     12,                0.73657,                 2.0588,                 0.8322,                0.31498,                0.23176,                0.24466,                0.19438,                 1.0662,                 3.1647,                0.84834,              0.0011263,              0.0011263,              0.0011263
                     13,                0.73368,                 2.0838,                0.82065,                0.31113,                0.32651,                 0.2861,                0.22992,                 1.0532,                 3.1583,                0.84742,              0.0011139,              0.0011139,              0.0011139
                     14,                0.79533,                 1.9362,                0.81364,                0.31043,                0.37317,                0.27894,                0.21038,                 1.1186,                 2.9843,                0.85285,              0.0011015,              0.0011015,              0.0011015
                     15,                0.76318,                 1.7165,                0.83445,                0.31089,                0.31277,                0.26495,                0.20031,                 1.1137,                 2.6939,                0.86015,              0.0010891,              0.0010891,              0.0010891
                     16,                0.82843,                 1.6602,                0.83932,                0.32271,                 0.3391,                0.28588,                0.22073,                 1.1226,                 2.5753,                0.85461,              0.0010768,              0.0010768,              0.0010768
                     17,                0.73472,                 1.6338,                 0.8219,                0.28441,                0.33816,                0.23592,                0.18704,                 1.2084,                 3.3276,                0.86711,              0.0010644,              0.0010644,              0.0010644
                     18,                0.72269,                 1.3828,                0.84244,                 0.5983,                0.42497,                0.43601,                  0.303,                 1.1205,                 2.7387,                0.85119,               0.001052,               0.001052,               0.001052
                     19,                0.72749,                 1.3193,                0.82884,                0.33283,                0.36919,                0.28969,                0.22943,                 1.1138,                 2.5124,                0.85562,              0.0010396,              0.0010396,              0.0010396
                     20,                0.72966,                 1.2727,                 0.8346,                0.47124,                0.35679,                0.33873,                0.24234,                 1.1153,                 2.5279,                0.85095,              0.0010273,              0.0010273,              0.0010273
                     21,                0.71166,                  1.189,                0.81191,                0.36175,                0.36155,                0.30928,                0.23462,                 1.0876,                 2.4725,                0.85041,              0.0010149,              0.0010149,              0.0010149
