                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87926,                 5.2839,                0.82593,                0.85149,                 14.208,                0.76864,                0.47442,                0.23231,                0.20142,                0.13584,                 1.1532,                 3.9065,                0.90419,                 1.1777,                  5.359,                0.87035,             0.00041529,             0.00041529,             0.00041529
                      2,                 1.0296,                 2.4652,                0.91123,                0.94556,                 3.8369,                0.81242,                 0.4179,                0.21541,                0.20799,                0.14646,                 1.3067,                 2.7325,                0.92273,                 1.2815,                  3.247,                0.88207,             0.00081823,             0.00081823,             0.00081823
                      3,                 1.1786,                 2.4689,                  0.949,                 1.0417,                 2.7838,                0.87272,                0.18707,                0.29591,                0.19946,                0.12445,                 1.4736,                 73.694,                 1.0052,                 1.4165,                 30.084,                0.94762,              0.0012074,              0.0012074,              0.0012074
                      4,                 1.1467,                 1.8473,                0.94604,                 0.9979,                 1.9573,                0.88322,                0.15573,                0.29314,                0.21333,                 0.1133,                 1.4876,                 2.3366,                0.94985,                 1.5052,                  2.739,                0.95188,              0.0011881,              0.0011881,              0.0011881
                      5,                 1.3177,                 2.1181,                 1.0064,                 1.1609,                 2.2765,                0.91212,                0.15436,                0.16892,                0.13519,                0.09052,                 1.5069,                 2.4468,                 1.0516,                  1.515,                 31.501,                0.98894,              0.0011881,              0.0011881,              0.0011881
                      6,                 1.2068,                 1.4933,                0.98241,                 1.1533,                 1.4951,                0.91632,                0.48094,                0.34596,                 0.2426,                0.14468,                 1.5185,                 2.2742,                0.98547,                 1.6267,                 2.4982,                0.98775,              0.0011675,              0.0011675,              0.0011675
                      7,                 1.1854,                 1.3626,                0.98189,                 1.1581,                  1.213,                0.91838,                0.53146,                0.27626,                0.21624,                 0.1391,                  1.521,                 2.3956,                 1.0157,                 1.5424,                 2.5015,                 0.9877,              0.0011469,              0.0011469,              0.0011469
                      8,                 1.0057,                 1.0738,                0.90903,                  1.006,                0.98565,                0.86578,                0.47652,                0.38509,                0.25143,                0.15829,                 1.3396,                 1.9767,                0.95215,                 1.4973,                 1.9661,                0.96776,              0.0011263,              0.0011263,              0.0011263
                      9,                 1.0486,                 1.1641,                0.94682,                 1.0687,                 1.0571,                0.91962,                0.24457,                0.35233,                0.22406,                0.12969,                  1.437,                 2.4481,                 0.9644,                 1.5174,                 3.0211,                0.98017,              0.0011056,              0.0011056,              0.0011056
                     10,                 0.9911,                 1.0469,                0.89675,                 1.0422,                 0.9417,                 0.8553,                0.23303,                0.27637,                0.17561,                0.11582,                 1.4356,                 3.1184,                0.98025,                   1.48,                 2.8916,                 0.9737,               0.001085,               0.001085,               0.001085
