                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9632,                 8.0821,                0.85387,                0.89122,                  18.63,                0.78094,                 0.6024,                0.06891,                0.06306,                0.04652,                 1.3495,                 8.3028,                0.91558,                 1.2232,                 17.747,                0.86173,             0.00041529,             0.00041529,             0.00041529
                      2,                0.99181,                 6.6742,                0.86176,                0.87295,                 16.548,                0.78172,                0.60151,                 0.1846,                0.10381,                0.06807,                 1.2838,                 6.6145,                0.88835,                 1.3087,                 15.621,                0.86891,             0.00081823,             0.00081823,             0.00081823
                      3,                0.98917,                 5.6485,                0.87676,                0.87652,                 14.688,                0.81719,                 0.6512,                0.19769,                0.13614,                0.09139,                 1.3564,                 6.6664,                0.90318,                 1.2698,                 14.023,                0.89261,              0.0012074,              0.0012074,              0.0012074
                      4,                 1.0672,                 5.3699,                0.89438,                0.90198,                 13.338,                0.82195,                0.63033,                0.18091,                0.12855,                0.08516,                 1.3399,                 6.0685,                0.91206,                 1.4077,                 13.132,                0.89802,              0.0011881,              0.0011881,              0.0011881
                      5,                 1.1649,                 5.0655,                0.92839,                 1.0413,                 12.176,                0.84725,                0.67431,                0.26231,                0.17613,                0.11157,                 1.4116,                 5.9276,                0.93634,                 1.3536,                 12.032,                0.90742,              0.0011881,              0.0011881,              0.0011881
                      6,                 1.0618,                 4.1743,                0.90104,                  1.021,                 10.821,                0.83619,                0.67753,                0.21239,                0.15179,                0.10184,                 1.2563,                 5.2529,                0.90893,                 1.3421,                 11.086,                0.88797,              0.0011675,              0.0011675,              0.0011675
                      7,                0.96021,                 3.6364,                0.90496,                0.96279,                 9.6944,                0.84476,                0.69528,                0.25018,                0.17864,                0.10874,                  1.308,                 5.0627,                0.91457,                  1.412,                 9.9829,                0.89195,              0.0011469,              0.0011469,              0.0011469
                      8,                0.95741,                 3.3367,                0.86341,                0.91823,                  8.594,                0.80049,                0.67312,                0.24668,                0.18749,                0.11864,                 1.2736,                 4.7386,                0.90911,                 1.3786,                 9.3838,                0.89079,              0.0011263,              0.0011263,              0.0011263
                      9,                0.97538,                 3.2025,                0.89771,                0.92206,                  8.023,                0.82347,                0.69259,                0.20935,                0.19877,                 0.1291,                 1.4018,                  4.607,                0.91079,                 1.3248,                 8.5521,                0.88289,              0.0011056,              0.0011056,              0.0011056
                     10,                0.96317,                 3.0816,                0.85962,                0.90291,                 7.2116,                0.79405,                0.68524,                0.28829,                0.22067,                0.14436,                 1.2207,                 4.4305,                0.89736,                  1.342,                 8.0726,                0.87591,               0.001085,               0.001085,               0.001085
                     11,                0.85134,                 2.5689,                0.84803,                0.89642,                 6.3425,                0.80853,                0.50168,                0.30245,                0.21722,                0.14116,                 1.2469,                 3.8146,                0.89926,                 1.3391,                 6.9703,                 0.8903,              0.0010644,              0.0010644,              0.0010644
                     12,                0.82401,                 2.3345,                0.85515,                0.84577,                 5.6818,                0.82582,                0.46087,                0.23279,                0.19759,                0.13432,                 1.1865,                 3.3174,                0.89472,                 1.2315,                 6.3048,                0.88228,              0.0010438,              0.0010438,              0.0010438
                     13,                0.79347,                 2.3715,                0.84318,                0.76757,                 5.4378,                0.77993,                0.47577,                0.33385,                0.20946,                0.14381,                 1.1872,                 3.6885,                0.89132,                 1.2268,                 6.7627,                0.87135,              0.0010231,              0.0010231,              0.0010231
                     14,                0.82012,                 2.2215,                0.82612,                0.80728,                 4.8769,                0.77528,                0.50634,                0.29263,                0.22139,                0.14625,                 1.1347,                 3.4047,                0.88421,                 1.2547,                 5.6226,                 0.8647,              0.0010025,              0.0010025,              0.0010025
                     15,                0.79043,                 1.9077,                0.83934,                0.80681,                 4.3495,                0.80399,                0.49888,                 0.3027,                0.22511,                0.15432,                 1.1594,                  3.068,                0.88137,                 1.2365,                 5.4584,                0.86889,             0.00098187,             0.00098187,             0.00098187
                     16,                0.98909,                 1.9983,                0.85512,                0.86319,                  4.164,                0.79553,                0.49088,                0.31996,                0.22654,                0.14609,                 1.2222,                 3.0689,                0.90721,                  1.409,                 4.9648,                0.90294,             0.00096125,             0.00096125,             0.00096125
                     17,                0.78168,                 1.8138,                 0.8307,                0.79433,                 3.8604,                0.77876,                 0.4982,                0.33664,                0.22369,                0.15186,                 1.1835,                 3.3835,                0.89938,                 1.3202,                 5.0429,                 0.8889,             0.00094062,             0.00094062,             0.00094062
                     18,                0.76963,                 1.6383,                0.85249,                0.77289,                 3.5943,                0.79873,                0.47984,                0.35293,                0.21126,                0.14687,                 1.1205,                 3.0825,                0.88792,                 1.2519,                  4.583,                0.87594,                0.00092,                0.00092,                0.00092
                     19,                0.72657,                 1.5509,                0.83309,                0.74554,                 3.2066,                0.78929,                0.49948,                0.38367,                0.26006,                0.17677,                 1.1868,                 2.8799,                0.89312,                 1.3142,                 4.0662,                0.87743,             0.00089938,             0.00089938,             0.00089938
                     20,                0.72881,                 1.5063,                0.84814,                0.75324,                 3.0421,                0.80196,                0.53832,                0.35929,                0.26429,                0.18151,                 1.1156,                 2.7183,                0.87969,                 1.2711,                 3.8533,                0.87478,             0.00087875,             0.00087875,             0.00087875
                     21,                 0.7186,                 1.3725,                0.82379,                0.73747,                  2.772,                0.78156,                0.51594,                0.34925,                0.25759,                0.17828,                 1.1742,                 2.6761,                0.89163,                 1.2755,                 3.8361,                0.87064,             0.00085813,             0.00085813,             0.00085813
                     22,                0.71323,                 1.2512,                0.82574,                0.75958,                 2.5376,                  0.794,                0.53204,                0.37734,                0.26373,                0.18181,                 1.2318,                 2.6494,                0.89164,                 1.2868,                 3.6724,                0.87741,              0.0008375,              0.0008375,              0.0008375
                     23,                0.78499,                 1.3083,                0.81808,                0.75812,                  2.487,                0.76675,                0.51044,                0.38906,                0.25751,                0.17864,                 1.1804,                 2.6898,                0.88199,                 1.2673,                  3.686,                0.86559,             0.00081688,             0.00081688,             0.00081688
                     24,                 0.7267,                 1.2383,                 0.8111,                0.73449,                 2.3211,                 0.7766,                 0.5248,                0.37296,                0.26848,                0.17647,                 1.1829,                 2.5504,                0.87887,                 1.2706,                 3.4362,                0.87168,             0.00079625,             0.00079625,             0.00079625
                     25,                0.69653,                 1.1733,                0.82196,                0.70564,                 2.2945,                 0.7788,                0.52097,                0.35551,                0.28853,                0.19378,                 1.1677,                 2.5066,                0.88203,                 1.2714,                 3.2012,                 0.8732,             0.00077563,             0.00077563,             0.00077563
                     26,                0.70639,                  1.085,                0.83328,                0.72725,                 2.1507,                0.78819,                0.52643,                0.40148,                0.28612,                0.19271,                  1.098,                 2.9043,                0.87865,                 1.2286,                 3.4731,                0.87287,               0.000755,               0.000755,               0.000755
                     27,                0.68175,                 1.1013,                0.80646,                0.71659,                 1.9715,                0.76762,                0.54233,                0.35758,                 0.2994,                0.20561,                 1.1252,                 2.2477,                0.87996,                 1.2031,                 2.9759,                0.86658,             0.00073437,             0.00073437,             0.00073437
                     28,                 0.6558,                 1.0412,                0.81622,                0.69932,                 1.9013,                0.77357,                0.56475,                 0.2942,                0.27158,                0.19134,                 1.1308,                 2.5498,                0.88758,                 1.1958,                 3.0055,                0.86103,             0.00071375,             0.00071375,             0.00071375
                     29,                0.67527,                 1.0113,                0.82046,                0.66208,                 1.8252,                0.77045,                0.52716,                0.34795,                0.28163,                0.19966,                 1.1604,                 2.2048,                0.88429,                 1.1636,                 2.8146,                0.85737,             0.00069313,             0.00069313,             0.00069313
                     30,                0.66736,                0.95351,                0.81226,                0.66948,                 1.7498,                0.76654,                0.26889,                 0.3528,                0.26711,                0.19248,                 1.0841,                  2.454,                0.88169,                 1.1568,                 3.0957,                0.86017,              0.0006725,              0.0006725,              0.0006725
