                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9005,                 7.8536,                 0.8549,                0.79823,                 18.244,                0.77542,                0.87788,                0.16129,                0.19889,                0.14396,                 1.0535,                 5.4204,                0.93053,                 1.0102,                 15.538,                0.87876,             0.00041585,             0.00041585,             0.00041585
                      2,                0.88165,                 6.0568,                0.84289,                0.77156,                 15.042,                0.76895,                0.33424,                0.22079,                0.20895,                0.14207,                 1.1298,                 4.8641,                 0.9599,                 1.1622,                 13.246,                0.93266,             0.00081191,             0.00081191,             0.00081191
                      3,                0.93019,                 5.2986,                0.87461,                0.85709,                 12.349,                0.80438,                0.63893,                0.24455,                 0.2457,                0.16982,                 1.1024,                 4.2728,                0.96701,                 1.2261,                 11.083,                0.94781,              0.0011874,              0.0011874,              0.0011874
                      4,                  0.949,                 4.7412,                 0.8711,                0.85237,                 10.237,                0.80529,                0.33937,                0.23905,                0.23249,                 0.1572,                 1.1851,                 4.0385,                 1.0131,                 1.1966,                 9.4542,                0.98552,              0.0011572,              0.0011572,              0.0011572
                      5,                 0.9098,                 3.9735,                0.87643,                0.82694,                 8.5209,                0.82211,                0.24688,                0.22837,                0.25018,                0.18187,                 1.1413,                  3.897,                0.98108,                 1.1456,                 8.1888,                0.94987,              0.0011572,              0.0011572,              0.0011572
                      6,                0.81443,                 3.5191,                0.85972,                0.77681,                 7.0249,                0.81489,                 0.6074,                0.32144,                0.30636,                0.22339,                 1.0916,                 3.3233,                0.97655,                 1.1003,                 6.5901,                0.95477,              0.0011263,              0.0011263,              0.0011263
                      7,                 0.8407,                 3.0229,                0.86719,                0.81764,                 5.9054,                0.82627,                0.30155,                0.32689,                0.29715,                 0.2153,                 1.0797,                 2.9897,                0.96355,                 1.0853,                 6.0199,                0.93965,              0.0010953,              0.0010953,              0.0010953
                      8,                0.79061,                 2.9152,                0.83269,                0.76353,                 5.1338,                0.79464,                0.38625,                0.36001,                 0.3387,                0.24352,                 1.0348,                 2.7032,                0.94817,                 1.0651,                 5.0742,                0.94592,              0.0010644,              0.0010644,              0.0010644
                      9,                0.78318,                 2.4627,                0.84252,                0.73125,                 4.4011,                0.80556,                0.40717,                0.30736,                0.32212,                0.23775,                 1.1201,                 2.7038,                0.98374,                 1.1131,                 4.7212,                0.96029,              0.0010334,              0.0010334,              0.0010334
                     10,                0.81782,                 2.2919,                0.87008,                0.80639,                 3.8774,                0.82961,                0.38098,                0.34715,                0.36618,                0.25256,                 1.0413,                 2.5109,                0.94824,                 1.1589,                 4.2094,                 0.9765,              0.0010025,              0.0010025,              0.0010025
                     11,                0.75106,                 2.0396,                0.84169,                0.72832,                 3.3472,                0.81369,                0.41965,                0.43052,                0.39459,                0.29198,                 1.0412,                 2.3869,                0.95224,                 1.0715,                 3.7762,                0.94322,             0.00097156,             0.00097156,             0.00097156
                     12,                0.72972,                 1.9127,                0.81354,                0.69712,                 2.9752,                0.77673,                0.38383,                0.47916,                0.39274,                0.27821,                 1.0776,                  2.102,                0.97239,                 1.1016,                 3.3629,                0.94495,             0.00094062,             0.00094062,             0.00094062
                     13,                0.69206,                 1.7194,                0.84264,                0.69218,                 2.7337,                0.81908,                 0.4888,                0.40834,                0.39549,                0.27218,                 1.0671,                 2.0289,                0.96404,                 1.1417,                 3.2027,                0.95687,             0.00090969,             0.00090969,             0.00090969
