                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87423,                 3.4855,                0.87727,                0.78416,                 6.9113,                0.81304,                0.59523,                0.29728,                0.35045,                0.23764,                 1.3594,                 2.4406,                 1.0419,                 1.2372,                  3.067,                0.98799,             0.00041585,             0.00041585,             0.00041585
                      2,                0.97742,                 2.1942,                0.91319,                0.91054,                 2.3068,                0.83672,                0.43969,                0.28516,                0.34026,                0.23478,                 1.4664,                 2.3339,                  1.136,                 1.3248,                 2.5675,                 1.0573,             0.00081191,             0.00081191,             0.00081191
                      3,                 1.1471,                 2.2685,                0.98701,                 1.0469,                 2.0589,                0.89848,                 0.5972,                0.20122,                0.25203,                0.17043,                 1.6227,                 2.8943,                 1.2747,                 1.7018,                 3.0172,                 1.1728,              0.0011874,              0.0011874,              0.0011874
                      4,                 1.0963,                 2.0935,                0.95149,                  1.008,                 1.8184,                0.87243,                0.31338,                0.29728,                0.25143,                0.17506,                  1.385,                 2.2019,                 1.1455,                  1.504,                 2.5439,                 1.1525,              0.0011572,              0.0011572,              0.0011572
                      5,                0.99351,                 1.8042,                0.95193,                0.99026,                 1.6286,                0.87913,                0.58568,                0.27038,                0.29906,                0.20323,                 1.4286,                  2.219,                 1.1506,                 1.5356,                 2.5013,                 1.1478,              0.0011572,              0.0011572,              0.0011572
                      6,                 1.0302,                 1.7367,                0.95297,                0.99638,                 1.5655,                0.88187,                0.40188,                0.37349,                0.34564,                 0.2431,                 1.3898,                 2.1713,                 1.1234,                  1.505,                 2.1949,                 1.1129,              0.0011263,              0.0011263,              0.0011263
                      7,                0.97385,                 1.6512,                0.95372,                0.97609,                 1.4749,                0.89902,                0.41241,                0.35157,                0.36374,                 0.2484,                  1.441,                 2.0076,                 1.1645,                 1.5145,                 2.1028,                 1.1354,              0.0010953,              0.0010953,              0.0010953
                      8,                0.96318,                 1.6293,                 0.8966,                0.96041,                 1.4344,                0.83936,                0.48351,                0.36341,                 0.3826,                0.26067,                 1.4561,                  1.969,                 1.1711,                 1.5578,                 1.9143,                 1.1476,              0.0010644,              0.0010644,              0.0010644
                      9,                0.88726,                 1.5421,                0.88999,                0.88596,                 1.3276,                0.84331,                 0.4461,                0.36979,                0.37623,                0.26294,                  1.338,                 1.9469,                 1.1027,                 1.3785,                 2.1172,                 1.0767,              0.0010334,              0.0010334,              0.0010334
                     10,                0.95916,                 1.5167,                0.94788,                0.92896,                 1.3776,                 0.8778,                0.43802,                0.36606,                0.37922,                0.26624,                 1.2806,                 2.0049,                 1.1188,                 1.3799,                 2.1544,                 1.1047,              0.0010025,              0.0010025,              0.0010025
                     11,                0.83887,                 1.5044,                0.88872,                 0.8513,                   1.34,                0.84256,                0.43531,                0.36542,                0.35764,                0.25753,                 1.3558,                 2.0322,                 1.1238,                 1.4124,                 2.0662,                 1.1187,             0.00097156,             0.00097156,             0.00097156
                     12,                0.81861,                 1.3169,                0.83881,                0.80912,                 1.1099,                0.80324,                0.40661,                0.40833,                0.39388,                0.27453,                 1.2553,                 2.0236,                 1.0715,                 1.3555,                 2.2364,                 1.0758,             0.00094062,             0.00094062,             0.00094062
                     13,                0.70716,                 1.2845,                0.85773,                0.71074,                 1.1184,                0.83127,                0.49996,                0.41013,                0.43699,                 0.3094,                 1.2308,                 1.7889,                 1.0714,                  1.277,                 1.8873,                 1.0456,             0.00090969,             0.00090969,             0.00090969
