                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90868,                 4.8293,                0.87464,                0.82195,                 10.822,                0.78919,                0.32481,                0.32079,                0.34307,                0.22921,                 1.3111,                 2.8598,                 1.0308,                 1.2324,                 3.8407,                0.97822,             0.00041585,             0.00041585,             0.00041585
                      2,                0.98571,                 2.2368,                0.89434,                0.88744,                 2.4888,                0.82352,                0.39774,                0.31202,                0.32067,                0.20658,                 1.4007,                 2.5444,                 1.1021,                 1.4358,                 2.8055,                 1.0761,             0.00081878,             0.00081878,             0.00081878
                      3,                 1.1346,                 2.0912,                0.96902,                  1.055,                 1.8948,                0.87551,                 0.6163,                0.28483,                0.34071,                 0.2003,                 1.4305,                 2.1093,                 1.1433,                 1.5965,                 2.4678,                 1.1096,               0.001208,               0.001208,               0.001208
                      4,                 1.0916,                 1.8779,                0.94521,                 1.0527,                 1.7072,                 0.8837,                0.41492,                0.30074,                0.31117,                0.20781,                 1.4711,                 2.1668,                 1.1908,                 1.5013,                 2.3554,                 1.1304,              0.0011881,              0.0011881,              0.0011881
                      5,                 1.0054,                 1.6676,                0.93834,                0.99894,                 1.5606,                0.89183,                0.49163,                0.40385,                0.39965,                0.25872,                 1.4415,                 2.0557,                 1.1216,                 1.4891,                 2.0849,                 1.0949,              0.0011881,              0.0011881,              0.0011881
                      6,                0.93969,                 1.6238,                0.92342,                 0.9131,                 1.4578,                 0.8599,                0.62217,                0.27764,                0.36724,                  0.248,                 1.3618,                 2.1126,                 1.1484,                 1.4554,                 2.3595,                 1.1283,              0.0011675,              0.0011675,              0.0011675
                      7,                0.95912,                  1.678,                 0.9456,                0.97966,                 1.5076,                0.90827,                0.45209,                  0.435,                0.40024,                 0.2662,                 1.5034,                 2.2979,                 1.2011,                  1.573,                 2.4684,                 1.1705,              0.0011469,              0.0011469,              0.0011469
                      8,                0.92893,                 1.5723,                0.87864,                0.92763,                 1.3664,                0.84364,                 0.4164,                0.22761,                 0.2139,                0.14048,                 2.0242,                 3.2806,                 1.4277,                 1.8833,                 3.8391,                 1.2988,              0.0011263,              0.0011263,              0.0011263
                      9,                0.87442,                 1.4658,                0.89054,                0.86495,                 1.2912,                0.83849,                0.52579,                0.39847,                0.44148,                0.31381,                 1.2243,                 1.9047,                 1.0729,                 1.3787,                 2.0311,                 1.0828,              0.0011056,              0.0011056,              0.0011056
                     10,                0.90786,                 1.5011,                0.93229,                0.91778,                 1.3409,                 0.8913,                 0.5112,                0.43884,                0.43225,                0.29249,                 1.2705,                 1.8879,                  1.087,                 1.4374,                 1.9335,                  1.081,               0.001085,               0.001085,               0.001085
                     11,                0.80838,                  1.414,                0.87856,                0.84346,                 1.2298,                0.83436,                0.51923,                 0.4053,                0.44287,                0.31281,                 1.2671,                 1.9252,                 1.0806,                 1.3919,                 1.9874,                 1.1041,              0.0010644,              0.0010644,              0.0010644
                     12,                0.80778,                 1.3381,                0.85517,                0.86943,                 1.1465,                0.81886,                0.48219,                0.35748,                0.37594,                0.26508,                 1.2668,                 2.0432,                 1.0703,                 1.3635,                 2.3365,                 1.0717,              0.0010438,              0.0010438,              0.0010438
                     13,                0.75862,                 1.3236,                0.87566,                0.77283,                 1.1627,                0.83979,                0.51291,                0.45773,                0.43406,                0.31419,                 1.1804,                 1.7624,                 1.0472,                 1.2934,                 1.9807,                 1.0776,              0.0010231,              0.0010231,              0.0010231
                     14,                0.73355,                 1.2926,                0.83983,                0.74164,                 1.1315,                0.80474,                0.53155,                0.41912,                0.45551,                0.31755,                 1.2544,                 2.0584,                 1.0718,                 1.2885,                 2.0277,                 1.0545,              0.0010025,              0.0010025,              0.0010025
                     15,                0.72849,                 1.2774,                0.83756,                0.75556,                 1.1623,                0.80301,                0.48299,                0.49248,                 0.4927,                0.35514,                 1.2593,                 1.8612,                 1.0775,                 1.2625,                 1.8208,                 1.0423,             0.00098187,             0.00098187,             0.00098187
                     16,                0.72047,                 1.1673,                0.85181,                0.72114,                0.98559,                0.82069,                0.53673,                0.45326,                0.50502,                0.36374,                 1.1666,                 1.6552,                 1.0386,                 1.2632,                 1.7096,                 1.0533,             0.00096125,             0.00096125,             0.00096125
                     17,                0.73646,                 1.2288,                0.83497,                0.72777,                 0.9936,                0.79826,                0.55547,                0.47756,                0.50771,                0.35851,                 1.2335,                 1.8699,                 1.0692,                 1.2676,                  1.797,                 1.0473,             0.00094062,             0.00094062,             0.00094062
