                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9007,                 7.5515,                0.82322,                0.23768,                0.22043,                0.22277,                0.18116,                  1.044,                 5.0362,                0.88762,             0.00041585,             0.00041585,             0.00041585
                      2,                0.80809,                 5.7075,                0.80902,                0.37555,                0.24989,                0.32073,                0.25132,                  1.005,                 4.3901,                0.87672,             0.00081878,             0.00081878,             0.00081878
                      3,                0.78838,                 4.8519,                0.81155,                0.62807,                 0.2352,                0.44019,                0.32726,                0.98685,                 4.1116,                 0.8808,               0.001208,               0.001208,               0.001208
                      4,                0.80223,                 4.2583,                0.81516,                0.55641,                0.32428,                0.43164,                0.33298,                 1.1254,                 3.6128,                 0.9084,              0.0011881,              0.0011881,              0.0011881
                      5,                0.79183,                 3.6004,                0.82885,                0.60452,                0.29429,                0.45252,                0.34277,                 1.0639,                 3.4819,                0.91964,              0.0011881,              0.0011881,              0.0011881
                      6,                0.77089,                 3.2631,                0.83093,                0.55745,                0.36915,                0.45799,                0.34993,                 1.0803,                 3.1603,                0.94037,              0.0011675,              0.0011675,              0.0011675
                      7,                0.80098,                 2.7957,                0.83751,                0.65891,                0.23787,                0.44214,                0.35128,                 1.0354,                   2.96,                0.93535,              0.0011469,              0.0011469,              0.0011469
                      8,                0.76781,                 2.7281,                0.81027,                0.61223,                0.29917,                0.45586,                0.35091,                 1.0206,                 2.5943,                0.90142,              0.0011263,              0.0011263,              0.0011263
                      9,                0.75633,                 2.3225,                0.81558,                0.69444,                0.31383,                0.52132,                0.40214,                 1.0782,                 2.4832,                0.90637,              0.0011056,              0.0011056,              0.0011056
                     10,                0.77275,                 2.1259,                0.84489,                0.60543,                0.44596,                0.53934,                0.44091,                0.98525,                  2.246,                0.90755,               0.001085,               0.001085,               0.001085
                     11,                0.71818,                 1.9596,                0.81256,                  0.619,                0.43667,                0.51469,                0.39919,                0.98855,                 2.0841,                0.90181,              0.0010644,              0.0010644,              0.0010644
                     12,                0.69785,                 1.8396,                0.80211,                0.71062,                0.49525,                0.59838,                0.46803,                 1.0034,                 2.0522,                 0.9181,              0.0010438,              0.0010438,              0.0010438
                     13,                 0.6588,                 1.6208,                0.82162,                0.81378,                0.40004,                0.61918,                0.51781,                0.98283,                  1.893,                0.90707,              0.0010231,              0.0010231,              0.0010231
                     14,                0.65732,                 1.6261,                0.79718,                0.74679,                0.37271,                0.55695,                0.44712,                0.96422,                 2.1356,                0.90798,              0.0010025,              0.0010025,              0.0010025
                     15,                0.63616,                  1.617,                 0.7921,                 0.6406,                0.44436,                 0.5683,                 0.4458,                0.98275,                  1.991,                  0.908,             0.00098187,             0.00098187,             0.00098187
                     16,                0.64279,                 1.4576,                0.81101,                0.73638,                0.49998,                0.62948,                0.49392,                0.99385,                 1.7445,                0.91155,             0.00096125,             0.00096125,             0.00096125
                     17,                0.67305,                 1.4763,                0.79712,                0.72298,                 0.4081,                0.57086,                0.44858,                 1.0079,                 1.8511,                0.91006,             0.00094062,             0.00094062,             0.00094062
                     18,                0.61879,                 1.3775,                0.78854,                 0.6452,                0.55362,                0.59056,                0.46611,                 1.0262,                 1.8264,                0.92257,                0.00092,                0.00092,                0.00092
                     19,                0.63412,                 1.3049,                0.80984,                0.66931,                0.49952,                0.57727,                0.45305,                0.99948,                 1.8809,                0.90781,             0.00089938,             0.00089938,             0.00089938
                     20,                 0.5898,                 1.3475,                 0.7874,                0.60233,                  0.378,                 0.4929,                0.39834,                0.97318,                 1.7587,                0.90664,             0.00087875,             0.00087875,             0.00087875
                     21,                0.58653,                 1.3033,                0.79019,                 0.6629,                 0.4402,                0.55213,                0.43207,                0.99156,                 1.8776,                 0.9252,             0.00085813,             0.00085813,             0.00085813
                     22,                 0.5905,                 1.2718,                0.77553,                0.61749,                0.44708,                0.54236,                0.44829,                0.95299,                 1.7441,                0.90431,              0.0008375,              0.0008375,              0.0008375
                     23,                 0.5771,                 1.1842,                0.80106,                0.62883,                0.52257,                0.57673,                0.46647,                 0.9351,                 1.6421,                 0.8979,             0.00081688,             0.00081688,             0.00081688
                     24,                0.57581,                 1.1654,                0.78423,                0.74274,                0.47858,                 0.6065,                0.47168,                 1.0008,                 1.7548,                0.91175,             0.00079625,             0.00079625,             0.00079625
                     25,                0.56158,                 1.2068,                0.78465,                0.58533,                0.48013,                0.54608,                0.41752,                0.98481,                 1.7274,                0.90597,             0.00077563,             0.00077563,             0.00077563
                     26,                0.55734,                 1.1455,                 0.7787,                0.67425,                0.51863,                0.59454,                 0.4757,                0.99569,                 1.7274,                0.90927,               0.000755,               0.000755,               0.000755
                     27,                0.58642,                 1.1201,                0.79003,                0.67943,                0.46874,                0.56469,                0.44479,                0.91536,                 1.7672,                0.88902,             0.00073437,             0.00073437,             0.00073437
                     28,                0.55559,                 1.0687,                0.79083,                0.66625,                0.45605,                 0.5734,                0.46747,                0.95375,                  1.846,                0.89879,             0.00071375,             0.00071375,             0.00071375
                     29,                0.53852,                 1.0758,                0.77415,                0.68708,                0.48076,                0.59804,                 0.4854,                0.96715,                 1.7266,                0.90505,             0.00069313,             0.00069313,             0.00069313
                     30,                0.53047,                 1.0272,                0.78064,                0.68723,                0.52429,                0.60995,                0.49168,                 0.9444,                 1.6687,                0.90138,              0.0006725,              0.0006725,              0.0006725
                     31,                 0.5215,                0.99594,                0.78376,                0.70215,                0.46117,                0.58988,                0.48334,                 0.9549,                 1.6704,                0.89955,             0.00065188,             0.00065188,             0.00065188
                     32,                0.52024,                  1.007,                0.77727,                0.73446,                0.55399,                 0.6438,                0.50573,                0.93637,                 1.5956,                0.89451,             0.00063125,             0.00063125,             0.00063125
                     33,                0.49691,                0.98667,                0.77014,                0.67514,                0.58125,                0.63219,                0.50311,                0.91413,                 1.5342,                0.87664,             0.00061062,             0.00061062,             0.00061062
                     34,                0.50418,                0.98644,                0.78449,                0.72198,                0.49474,                0.59624,                0.48447,                0.94845,                 1.7356,                0.89806,                0.00059,                0.00059,                0.00059
                     35,                0.50452,                0.98926,                0.78147,                0.67423,                0.51647,                0.58035,                0.47373,                0.91093,                 1.6516,                0.89009,             0.00056938,             0.00056938,             0.00056938
                     36,                0.48772,                0.91765,                0.76929,                0.67782,                0.52454,                0.59612,                0.49553,                0.92619,                 1.7332,                0.89251,             0.00054875,             0.00054875,             0.00054875
                     37,                0.45189,                0.89022,                0.76076,                0.73848,                0.49573,                0.61776,                0.51903,                0.90853,                 1.7162,                0.89233,             0.00052812,             0.00052812,             0.00052812
                     38,                0.45445,                0.92468,                0.77174,                0.69512,                0.53207,                0.60574,                0.50064,                0.93415,                 1.7328,                0.89783,              0.0005075,              0.0005075,              0.0005075
                     39,                0.47892,                0.90715,                0.75659,                 0.7191,                0.49918,                0.58982,                0.47822,                0.94169,                 1.8083,                    0.9,             0.00048687,             0.00048687,             0.00048687
                     40,                0.45297,                0.88746,                0.76353,                0.68736,                0.47059,                0.57928,                0.47805,                0.91814,                 1.7773,                0.88768,             0.00046625,             0.00046625,             0.00046625
