                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89537,                 4.8445,                0.87104,                0.82101,                 10.838,                0.79039,                0.47153,                0.37872,                 0.3928,                0.26229,                 1.2933,                 2.4896,                 1.0309,                 1.2997,                 3.6706,                 1.0139,             0.00041585,             0.00041585,             0.00041585
                      2,                0.93458,                 2.1674,                0.89059,                0.89207,                 2.3968,                0.84273,                0.36396,                0.33862,                0.34261,                0.23156,                 1.4085,                 2.4809,                  1.089,                 1.3998,                 2.6144,                 1.0697,             0.00081604,             0.00081604,             0.00081604
                      3,                  1.075,                 2.0418,                 0.9471,                0.99289,                 2.0668,                  0.869,                0.86739,                0.23656,                0.33476,                0.21328,                 1.6249,                 2.5063,                 1.3739,                 1.5846,                 2.6652,                 1.1549,              0.0011997,              0.0011997,              0.0011997
                      4,                 1.0582,                 1.7613,                0.92563,                 1.0375,                   1.66,                0.88746,                0.40446,                0.36858,                 0.3296,                0.20537,                 1.3864,                 2.2385,                 1.1191,                  1.502,                 2.4033,                 1.1673,              0.0011757,              0.0011757,              0.0011757
                      5,                0.94351,                 1.8255,                0.93842,                0.97091,                 1.6838,                0.89744,                0.39693,                0.37591,                 0.3266,                0.21353,                  1.352,                 2.2432,                 1.1057,                 1.5534,                 2.2069,                 1.1314,              0.0011757,              0.0011757,              0.0011757
                      6,                0.95457,                 1.7413,                0.92315,                0.92866,                 1.6189,                0.86388,                0.26355,                0.25821,                0.22571,                0.14764,                  1.658,                 313.95,                 1.6464,                 1.6343,                 10.634,                 1.6715,               0.001151,               0.001151,               0.001151
                      7,                0.93523,                 1.6744,                0.93536,                0.93713,                 1.6543,                0.88943,                0.37603,                0.34979,                0.35102,                0.23985,                 1.3958,                 1.9864,                  1.153,                 1.4865,                 2.2724,                 1.1156,              0.0011263,              0.0011263,              0.0011263
                      8,                0.94019,                 1.6307,                0.89229,                0.91795,                  1.383,                 0.8373,                0.37309,                0.35057,                0.37637,                0.26677,                 1.3413,                 2.1133,                 1.0888,                 1.4396,                 2.3803,                 1.0877,              0.0011015,              0.0011015,              0.0011015
                      9,                0.92984,                 1.5172,                0.89778,                  0.913,                 1.3493,                  0.843,                0.52786,                0.42415,                0.42071,                0.29606,                 1.3021,                 2.0406,                 1.0729,                 1.4202,                  1.979,                 1.0688,              0.0010768,              0.0010768,              0.0010768
                     10,                0.95023,                 1.5147,                0.92196,                0.93905,                 1.3387,                0.87503,                0.47507,                0.43001,                0.43769,                0.29326,                 1.3188,                 1.8593,                 1.0898,                 1.5146,                 1.9581,                 1.1195,               0.001052,               0.001052,               0.001052
                     11,                0.86761,                 1.4037,                0.88548,                0.87256,                 1.2129,                0.85112,                0.41585,                0.38061,                0.37139,                0.25654,                 1.3028,                 2.1032,                 1.0923,                 1.4669,                 2.4492,                  1.139,              0.0010273,              0.0010273,              0.0010273
                     12,                0.84826,                 1.3055,                0.85401,                0.81884,                 1.1157,                0.82014,                0.47745,                0.40831,                0.41883,                0.29776,                 1.3057,                 2.0009,                 1.0935,                 1.3665,                 2.2396,                 1.0819,              0.0010025,              0.0010025,              0.0010025
                     13,                0.75974,                 1.2454,                0.87486,                0.78835,                 1.1052,                0.85204,                0.46814,                0.47376,                0.46936,                 0.3394,                  1.253,                 1.7697,                 1.0955,                 1.3419,                 1.9601,                  1.077,             0.00097775,             0.00097775,             0.00097775
                     14,                0.74465,                 1.2444,                0.85475,                0.76843,                 1.0635,                0.81747,                0.56992,                0.42717,                0.46281,                 0.3311,                 1.2335,                 1.8941,                 1.0837,                 1.3634,                 1.8349,                 1.0912,               0.000953,               0.000953,               0.000953
                     15,                0.68641,                 1.2987,                0.84001,                0.75405,                 1.1414,                0.81464,                0.45925,                0.47201,                0.44869,                 0.3302,                 1.2103,                 1.8383,                 1.0777,                 1.2921,                 2.0359,                 1.0521,             0.00092825,             0.00092825,             0.00092825
                     16,                0.72143,                 1.1897,                0.85073,                0.71806,                 1.0061,                0.82326,                0.58438,                0.47877,                 0.4852,                0.35327,                 1.2166,                 1.7015,                 1.0519,                 1.2794,                 1.7836,                 1.0772,              0.0009035,              0.0009035,              0.0009035
                     17,                 0.7328,                 1.2527,                0.83617,                0.73831,                 1.0316,                0.80609,                0.69172,                 0.3212,                0.44067,                0.31564,                 1.1954,                 1.9714,                 1.0541,                 1.2928,                 2.1441,                  1.051,             0.00087875,             0.00087875,             0.00087875
                     18,                0.68856,                 1.1485,                0.82851,                0.72371,                0.97578,                0.80373,                0.47867,                0.43717,                 0.4643,                0.32781,                 1.1962,                 1.8473,                 1.0696,                 1.2843,                 1.9776,                 1.0704,               0.000854,               0.000854,               0.000854
                     19,                0.72624,                  1.121,                0.85188,                0.72345,                 1.0082,                0.81951,                0.51304,                0.45531,                0.45595,                0.33231,                 1.2179,                 2.0939,                 1.0643,                 1.2843,                 2.1111,                 1.0636,             0.00082925,             0.00082925,             0.00082925
                     20,                0.68278,                 1.1491,                0.83338,                0.69138,                0.97404,                0.80506,                0.49378,                0.46073,                 0.4647,                0.33206,                 1.1992,                 1.8488,                 1.0517,                  1.284,                 1.8526,                 1.0574,              0.0008045,              0.0008045,              0.0008045
                     21,                0.66458,                 1.1633,                0.82133,                0.68083,                0.96042,                0.79273,                0.50519,                0.50863,                0.50091,                0.35639,                  1.237,                 1.8628,                 1.0819,                 1.3251,                 2.0401,                 1.0613,             0.00077975,             0.00077975,             0.00077975
                     22,                0.62457,                 1.0405,                0.80702,                0.64124,                 0.9206,                0.79548,                0.46833,                0.50954,                0.49229,                0.35813,                 1.1353,                 1.8019,                 1.0404,                 1.2241,                 1.8643,                  1.042,               0.000755,               0.000755,               0.000755
                     23,                0.61702,                 1.0754,                0.83193,                 0.6332,                0.94701,                0.81318,                0.54522,                0.53334,                0.53864,                 0.3932,                 1.1253,                 1.7909,                 1.0328,                 1.2059,                  1.833,                 1.0461,             0.00073025,             0.00073025,             0.00073025
                     24,                0.62155,                 1.0074,                0.81237,                0.62166,                0.84362,                0.78641,                0.55145,                0.48181,                0.51567,                0.37673,                 1.1435,                 1.8865,                 1.0592,                 1.1892,                 1.8781,                 1.0458,              0.0007055,              0.0007055,              0.0007055
                     25,                0.61524,                 1.0019,                0.81853,                0.61503,                0.81112,                0.79072,                0.66426,                0.52642,                0.55832,                0.39955,                 1.2093,                 1.8471,                 1.0573,                 1.2954,                 1.9087,                 1.0598,             0.00068075,             0.00068075,             0.00068075
                     26,                0.58336,                0.98761,                0.81215,                 0.6029,                0.84372,                0.79055,                0.52368,                0.53155,                0.49828,                0.36086,                 1.1641,                 1.9124,                 1.0529,                 1.2763,                 1.9232,                 1.0571,               0.000656,               0.000656,               0.000656
                     27,                0.57232,                0.96187,                0.80776,                0.58633,                0.83574,                0.79131,                0.62278,                0.38632,                0.49204,                0.36348,                 1.0792,                 1.8584,                 1.0327,                 1.2146,                 1.9777,                 1.0555,             0.00063125,             0.00063125,             0.00063125
                     28,                0.58614,                0.95726,                0.82225,                  0.576,                0.84169,                0.79847,                0.55175,                0.43719,                0.48526,                0.36481,                 1.1087,                 1.8922,                 1.0299,                 1.1793,                 2.0599,                 1.0589,              0.0006065,              0.0006065,              0.0006065
                     29,                0.54041,                 0.9339,                0.78873,                0.54992,                0.77606,                0.76907,                0.58817,                 0.4907,                0.50498,                0.37613,                 1.1094,                 1.8493,                 1.0051,                 1.1994,                 1.9167,                0.99886,             0.00058175,             0.00058175,             0.00058175
                     30,                 0.5633,                0.89641,                0.80391,                  0.578,                0.74219,                0.78078,                0.53357,                0.52304,                0.53183,                0.38932,                 1.1288,                 1.8258,                  1.014,                 1.2075,                 1.8769,                 1.0265,               0.000557,               0.000557,               0.000557
                     31,                0.54619,                0.88141,                0.80094,                0.57161,                0.74203,                0.77898,                0.54331,                0.54859,                0.51884,                0.38595,                 1.1324,                 1.9378,                 1.0255,                 1.1982,                 1.7952,                 1.0242,             0.00053225,             0.00053225,             0.00053225
                     32,                0.53981,                0.89008,                0.79427,                0.56592,                0.73508,                0.78049,                0.51309,                0.47794,                0.50386,                0.37788,                 1.0861,                 1.8857,                 1.0199,                 1.1569,                 2.0321,                 1.0297,              0.0005075,              0.0005075,              0.0005075
                     33,                 0.5188,                0.85181,                0.80015,                0.50977,                  0.723,                0.77517,                 0.5509,                0.53353,                 0.5453,                0.40368,                 1.1394,                 1.8416,                  1.044,                  1.206,                 1.8309,                 1.0431,             0.00048275,             0.00048275,             0.00048275
