                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80333,                 3.5191,                0.86589,                0.30108,                0.15054,                0.22147,                 0.1627,                 1.1889,                 2.5544,                 1.0073,             0.00041585,             0.00041585,             0.00041585
                      2,                0.91073,                 2.2847,                0.89809,                0.31915,                0.12097,                0.22208,                0.18683,                  1.237,                 2.2192,                 1.0507,             0.00081878,             0.00081878,             0.00081878
                      3,                0.99402,                 2.1426,                0.92772,                0.33333,                0.06989,                0.20161,                0.16688,                 1.5895,                 2.4649,                 1.2203,               0.001208,               0.001208,               0.001208
                      4,                 1.0964,                 2.1448,                0.95514,                0.33333,                0.05645,                0.19489,                 0.1642,                 1.6384,                  2.542,                 1.2556,              0.0011881,              0.0011881,              0.0011881
                      5,                0.96674,                 1.8132,                0.93921,                0.65152,                0.06115,                0.35754,                0.17523,                 1.3845,                 2.4738,                 1.1417,              0.0011881,              0.0011881,              0.0011881
                      6,                0.95786,                 1.6823,                0.93178,                0.30556,                0.11828,                0.21617,                0.17611,                 1.4775,                 2.1521,                 1.1901,              0.0011675,              0.0011675,              0.0011675
                      7,                0.94777,                 1.5613,                0.94478,                0.98113,                0.15871,                0.57343,                0.46045,                 1.3755,                  2.179,                 1.1394,              0.0011469,              0.0011469,              0.0011469
                      8,                0.93991,                 1.5908,                0.90176,                0.82787,                0.22315,                0.52991,                0.40656,                 1.4295,                 2.0232,                 1.1458,              0.0011263,              0.0011263,              0.0011263
                      9,                0.83099,                 1.6267,                0.87586,                0.66667,                0.11692,                0.39178,                0.30798,                 1.3084,                 2.0016,                 1.1374,              0.0011056,              0.0011056,              0.0011056
                     10,                0.89783,                 1.4896,                0.93531,                0.82222,                0.17226,                0.49708,                0.38109,                 1.3535,                  2.143,                 1.1234,               0.001085,               0.001085,               0.001085
                     11,                0.83398,                 1.4054,                0.88556,                0.70539,                0.30484,                0.49187,                0.39582,                 1.2563,                 2.0291,                 1.1078,              0.0010644,              0.0010644,              0.0010644
                     12,                0.77566,                 1.3265,                0.84988,                0.65608,                0.17337,                0.41708,                0.34529,                 1.2226,                 2.0324,                 1.0796,              0.0010438,              0.0010438,              0.0010438
                     13,                0.73759,                 1.3365,                  0.873,                 0.4058,                 0.2882,                0.35142,                0.26777,                 1.2858,                 1.7236,                 1.1171,              0.0010231,              0.0010231,              0.0010231
                     14,                0.78086,                 1.3184,                0.85408,                0.84673,                0.25271,                0.55431,                0.41478,                 1.2836,                  1.844,                 1.1271,              0.0010025,              0.0010025,              0.0010025
                     15,                0.74859,                 1.3518,                0.85229,                0.78333,                0.28259,                0.53042,                0.41567,                 1.2727,                 1.7436,                 1.1031,             0.00098187,             0.00098187,             0.00098187
                     16,                0.75753,                 1.1871,                0.86412,                0.71806,                0.23667,                 0.4828,                0.40145,                  1.207,                 1.8952,                 1.0528,             0.00096125,             0.00096125,             0.00096125
                     17,                0.72036,                  1.225,                0.83044,                0.75844,                0.24095,                0.49992,                0.40017,                 1.2607,                 2.0668,                 1.0883,             0.00094062,             0.00094062,             0.00094062
                     18,                0.68501,                 1.1851,                0.83871,                0.55556,                0.19351,                0.37139,                0.29572,                  1.293,                 1.8953,                 1.1309,                0.00092,                0.00092,                0.00092
                     19,                0.73192,                 1.1506,                0.87003,                0.74118,                0.34604,                0.53413,                0.41603,                 1.1965,                 1.8436,                 1.1059,             0.00089938,             0.00089938,             0.00089938
                     20,                0.68367,                 1.0986,                0.84064,                0.52895,                0.22978,                0.38112,                0.30018,                 1.2286,                 1.7621,                  1.092,             0.00087875,             0.00087875,             0.00087875
                     21,                0.68096,                 1.1585,                0.82494,                0.67245,                0.28229,                0.47019,                0.36382,                 1.2758,                  1.797,                 1.1298,             0.00085813,             0.00085813,             0.00085813
                     22,                0.65798,                 1.0782,                0.81782,                0.69744,                0.32601,                0.51811,                0.42022,                 1.2221,                  1.772,                 1.1133,              0.0008375,              0.0008375,              0.0008375
                     23,                0.62855,                 1.0712,                0.83226,                0.77315,                0.30174,                0.54002,                0.42193,                 1.2081,                 2.1093,                 1.1021,             0.00081688,             0.00081688,             0.00081688
                     24,                0.63178,                 1.0336,                0.81691,                 0.5249,                  0.311,                0.41104,                0.32893,                 1.1312,                 1.6941,                 1.0668,             0.00079625,             0.00079625,             0.00079625
                     25,                0.62889,                 1.0318,                0.82004,                0.74369,                0.37364,                0.54515,                0.43114,                 1.1884,                 1.7126,                 1.0512,             0.00077563,             0.00077563,             0.00077563
                     26,                0.62511,                 1.0419,                0.82128,                 0.7303,                0.32416,                0.52466,                0.40377,                 1.2176,                 1.7637,                 1.0811,               0.000755,               0.000755,               0.000755
                     27,                0.63943,                 1.0366,                0.82729,                0.74074,                0.24462,                0.48237,                0.38085,                 1.2202,                 1.8269,                 1.0922,             0.00073437,             0.00073437,             0.00073437
                     28,                0.64021,                 0.9665,                0.83284,                0.75551,                0.37641,                0.55551,                0.43293,                 1.1702,                  1.816,                 1.0543,             0.00071375,             0.00071375,             0.00071375
                     29,                0.56924,                0.94842,                0.79525,                0.72248,                0.33957,                0.51664,                0.42114,                 1.1416,                 1.7748,                 1.0644,             0.00069313,             0.00069313,             0.00069313
                     30,                0.59452,                0.97132,                0.81217,                0.70653,                0.42423,                0.55239,                  0.448,                 1.1418,                 1.5124,                 1.0794,              0.0006725,              0.0006725,              0.0006725
                     31,                0.57762,                0.91616,                 0.8065,                0.75534,                0.39896,                0.55963,                0.44977,                 1.1317,                 1.7122,                 1.0516,             0.00065188,             0.00065188,             0.00065188
                     32,                0.56047,                0.91984,                0.80003,                0.73728,                0.36324,                0.53888,                0.41915,                 1.1768,                  1.795,                 1.0731,             0.00063125,             0.00063125,             0.00063125
