                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87423,                 3.4855,                0.87727,                0.78416,                 6.9113,                0.81304,                0.59523,                0.29728,                0.35045,                0.23764,                 1.3594,                 2.4406,                 1.0419,                 1.2372,                  3.067,                0.98799,             0.00041585,             0.00041585,             0.00041585
                      2,                  1.004,                 2.2415,                0.91768,                0.92536,                 2.3211,                0.84722,                 0.7006,                0.25522,                0.30319,                0.22466,                 1.3314,                 2.3171,                 1.1065,                 1.2997,                 2.6223,                 1.0598,             0.00081878,             0.00081878,             0.00081878
                      3,                 1.0195,                  2.024,                0.92979,                0.96384,                 1.8094,                0.86067,                0.60718,                0.31768,                0.33732,                0.23295,                 1.4466,                 2.2612,                  1.135,                 1.5069,                  2.377,                 1.1128,               0.001208,               0.001208,               0.001208
                      4,                 1.1196,                 2.0119,                0.93941,                 1.0692,                  1.813,                  0.877,                0.24331,                0.32688,                0.28189,                0.18118,                 1.4816,                 2.1141,                 1.1982,                 1.6682,                 2.3976,                 1.2062,              0.0011881,              0.0011881,              0.0011881
                      5,                 1.0026,                 1.8445,                0.94782,                0.96379,                 1.6631,                0.87725,                0.51117,                0.32382,                0.28568,                 0.1655,                 1.5212,                  2.338,                 1.1746,                 1.7054,                 2.5569,                 1.1824,              0.0011881,              0.0011881,              0.0011881
                      6,                0.95905,                 1.6811,                0.92781,                 0.9637,                 1.5019,                0.86898,                0.30068,                0.30315,                0.30625,                0.21952,                 1.4968,                 2.2706,                 1.1905,                 1.4986,                 2.2804,                 1.1532,              0.0011675,              0.0011675,              0.0011675
                      7,                0.97514,                 1.5636,                0.95269,                0.95827,                 1.3991,                0.89716,                0.39182,                0.37175,                0.37035,                 0.2595,                 1.3864,                  2.056,                  1.135,                 1.3832,                 2.0126,                 1.1217,              0.0011469,              0.0011469,              0.0011469
                      8,                0.94276,                 1.5458,                0.89397,                0.90523,                  1.355,                0.83552,                0.51307,                0.33705,                 0.4012,                0.27441,                 1.4027,                 2.1091,                 1.1213,                 1.5041,                 2.1906,                 1.1288,              0.0011263,              0.0011263,              0.0011263
                      9,                0.89205,                  1.487,                0.89203,                0.88014,                 1.2826,                0.82995,                0.43568,                0.38865,                0.37868,                0.26543,                 1.3943,                    2.2,                 1.1279,                 1.3669,                 2.3143,                  1.074,              0.0011056,              0.0011056,              0.0011056
                     10,                0.96455,                 1.5741,                0.95257,                0.89698,                 1.3453,                 0.8845,                0.63761,                  0.286,                0.39171,                0.27067,                 1.3709,                 2.0817,                   1.12,                 1.4531,                 2.1885,                 1.1086,               0.001085,               0.001085,               0.001085
                     11,                0.86138,                 1.4749,                0.88773,                0.86955,                 1.3021,                 0.8466,                0.52135,                0.41046,                0.41154,                0.28569,                 1.3838,                 1.9043,                 1.1422,                 1.5044,                 1.9242,                 1.1351,              0.0010644,              0.0010644,              0.0010644
                     12,                0.84276,                 1.3962,                0.86416,                0.85309,                 1.2568,                0.81815,                0.52697,                0.36212,                0.40686,                0.29001,                   1.29,                 1.8818,                 1.1059,                 1.4012,                 2.2098,                 1.0955,              0.0010438,              0.0010438,              0.0010438
                     13,                0.75528,                 1.3266,                0.87415,                0.76502,                 1.1902,                0.83451,                0.51419,                0.38238,                 0.4347,                0.31662,                 1.2706,                 1.7822,                    1.1,                 1.4026,                 1.9461,                 1.0849,              0.0010231,              0.0010231,              0.0010231
                     14,                0.74393,                 1.3202,                0.84705,                0.74451,                 1.1573,                0.80251,                0.49493,                0.37839,                0.45216,                0.31743,                 1.2668,                 2.1339,                 1.1157,                 1.4043,                 2.0198,                 1.1302,              0.0010025,              0.0010025,              0.0010025
                     15,                0.71743,                 1.3147,                0.84128,                0.74884,                 1.1646,                0.79803,                0.59248,                0.36686,                0.44713,                0.32395,                 1.2349,                   1.88,                  1.053,                 1.3516,                 1.8491,                 1.0414,             0.00098187,             0.00098187,             0.00098187
                     16,                  0.765,                 1.2027,                0.85442,                0.77939,                  1.041,                0.81381,                0.51627,                0.44168,                0.46153,                0.32554,                 1.2115,                 1.8664,                 1.0487,                 1.3579,                 1.7809,                 1.0774,             0.00096125,             0.00096125,             0.00096125
                     17,                0.73202,                 1.2361,                0.83264,                0.75941,                 1.0354,                0.79374,                0.53559,                0.43442,                0.45661,                0.33668,                 1.2183,                 2.0251,                 1.0682,                 1.3272,                 2.0271,                 1.0651,             0.00094062,             0.00094062,             0.00094062
                     18,                0.69901,                 1.1885,                0.82947,                0.72195,                 1.0133,                0.79661,                0.45828,                0.47896,                0.46903,                0.33059,                 1.2154,                   1.72,                 1.0686,                 1.3634,                 1.7348,                   1.08,                0.00092,                0.00092,                0.00092
