                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68534,                 21.939,                 0.7586,                0.75591,                 116.26,                 0.7058,                0.06371,                0.18815,                0.05069,                0.03925,                0.66718,                 13.525,                0.81695,                 0.8197,                 70.295,                0.80479,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                0.63957,                 16.128,                0.73811,                0.76022,                 66.878,                 0.6891,                0.07217,                0.47825,                0.09244,                0.08063,                0.68353,                 11.404,                0.82458,                0.75728,                 48.908,                 0.7865,             7.2009e-05,             7.2009e-05,             7.2009e-05
                      3,                0.64573,                  14.06,                0.74204,                0.68466,                 50.539,                 0.6777,                0.08355,                0.55349,                 0.1101,                0.09558,                0.67471,                 9.9466,                0.81814,                0.70851,                 42.875,                 0.7945,              0.0001025,              0.0001025,              0.0001025
                      4,                0.73513,                 12.238,                0.74368,                0.69509,                 45.593,                0.68241,                0.48509,                 0.3174,                 0.1915,                 0.1545,                0.78458,                 8.3517,                0.82608,                0.77049,                 38.226,                0.79857,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      5,                0.72216,                 10.104,                 0.7623,                0.69123,                 38.933,                0.70174,                0.48858,                0.31777,                0.20674,                  0.172,                0.78738,                  7.793,                0.82893,                0.76777,                 34.915,                0.80042,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      6,                 0.6687,                 11.009,                 0.6939,                0.65808,                 36.165,                0.63811,                0.50052,                0.30487,                0.21938,                0.18341,                0.76212,                 7.2029,                0.82857,                0.76296,                 31.076,                0.79882,             9.1428e-05,             9.1428e-05,             9.1428e-05
                      7,                0.63056,                 8.4029,                0.72956,                  0.632,                 31.008,                0.68205,                0.26771,                0.40305,                   0.24,                0.20757,                0.71695,                 6.6606,                0.82197,                0.71199,                 28.556,                0.80195,             8.5785e-05,             8.5785e-05,             8.5785e-05
                      8,                0.69097,                 7.5873,                0.76998,                0.68491,                 28.654,                0.70431,                0.52917,                0.24898,                0.25939,                0.21358,                0.75326,                 5.9563,                0.82491,                 0.7775,                  25.61,                0.80083,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      9,                0.57043,                 8.1392,                0.69124,                0.60645,                 26.426,                0.66514,                0.32792,                0.35912,                0.27246,                0.23291,                0.70138,                 5.6857,                0.82865,                0.70279,                 23.882,                 0.8027,             7.4499e-05,             7.4499e-05,             7.4499e-05
                     10,                 0.6166,                 7.2562,                 0.7411,                0.64874,                 24.468,                0.69616,                0.29595,                0.43384,                0.29948,                0.25275,                0.69365,                 5.2752,                0.82757,                0.74366,                 22.036,                0.79912,             6.8856e-05,             6.8856e-05,             6.8856e-05
                     11,                0.55395,                 8.4131,                0.68635,                0.53271,                 27.304,                 0.6303,                0.41708,                0.34813,                0.31192,                0.26436,                0.71836,                 4.9713,                0.83998,                0.75837,                 21.077,                0.80541,             6.3213e-05,             6.3213e-05,             6.3213e-05
                     12,                0.57275,                 7.8257,                0.68365,                0.57222,                 25.675,                0.62317,                 0.3371,                 0.3998,                0.29376,                0.24897,                0.71355,                 4.8916,                0.83978,                0.76349,                 19.881,                 0.8088,              5.757e-05,              5.757e-05,              5.757e-05
                     13,                0.55535,                 7.4588,                0.69107,                 0.5588,                  24.31,                 0.6279,                0.30782,                0.45889,                0.29868,                0.25507,                0.70978,                 4.7756,                0.83933,                0.74909,                 19.096,                0.80911,             5.1927e-05,             5.1927e-05,             5.1927e-05
                     14,                0.53356,                 6.9693,                 0.6888,                0.50361,                 23.203,                 0.6325,                0.30822,                0.47963,                0.30725,                0.26479,                0.70253,                 4.6686,                0.83927,                0.72834,                 18.407,                0.80675,             4.6284e-05,             4.6284e-05,             4.6284e-05
                     15,                0.52176,                 6.9274,                0.66914,                0.54027,                 22.077,                0.61872,                 0.3112,                0.44779,                0.30538,                0.26141,                0.69506,                 4.5487,                0.84198,                0.74901,                  17.61,                0.80556,             4.0641e-05,             4.0641e-05,             4.0641e-05
                     16,                0.52295,                 6.6146,                0.68761,                0.51259,                 21.391,                0.61703,                 0.2965,                0.48856,                0.30579,                0.26341,                0.69496,                 4.3948,                0.84131,                0.72656,                  17.09,                0.80389,             3.4998e-05,             3.4998e-05,             3.4998e-05
                     17,                0.50631,                 6.4916,                0.66828,                0.49602,                 20.777,                0.62183,                0.31583,                0.48093,                0.32541,                  0.282,                0.69429,                  4.455,                 0.8411,                0.70423,                  16.52,                0.80416,             2.9355e-05,             2.9355e-05,             2.9355e-05
                     18,                0.50534,                 6.3828,                0.67453,                0.50482,                 20.332,                0.62271,                0.32602,                0.45605,                0.32342,                0.27929,                0.69216,                 4.4173,                0.84154,                0.70217,                 16.225,                0.80476,             2.3712e-05,             2.3712e-05,             2.3712e-05
                     19,                0.48705,                 6.2419,                0.69105,                0.47427,                 19.879,                0.63003,                0.34622,                0.43829,                0.31509,                0.27234,                0.68498,                 4.2633,                0.84133,                0.69669,                 15.859,                0.80434,             1.8069e-05,             1.8069e-05,             1.8069e-05
                     20,                0.51404,                 6.1125,                0.68224,                0.48625,                 19.565,                0.62414,                0.34258,                 0.4404,                0.31536,                 0.2729,                0.68349,                  4.242,                0.84262,                 0.6992,                 15.717,                 0.8049,             1.2426e-05,             1.2426e-05,             1.2426e-05
