                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61508,                 10.495,                0.75284,                 0.6026,                 31.334,                0.71142,                0.54177,                0.29108,                0.16845,                0.14256,                0.63463,                 6.9113,                0.84262,                0.61132,                 25.635,                0.81603,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                0.55207,                 8.1841,                0.74393,                0.51966,                 25.807,                0.69931,                0.56054,                0.33421,                0.28038,                0.23821,                0.63614,                 5.6764,                0.83919,                0.62463,                 21.376,                 0.8144,             7.4509e-05,             7.4509e-05,             7.4509e-05
                      3,                0.55214,                 6.9903,                0.74453,                 0.5343,                 21.525,                0.71586,                0.28477,                0.62525,                0.32814,                0.28618,                0.60992,                 5.1676,                0.83727,                0.59451,                 19.048,                0.81367,             0.00011001,             0.00011001,             0.00011001
                      4,                0.67499,                 6.7963,                0.75999,                0.57717,                  19.89,                0.70173,                0.29937,                  0.448,                0.39614,                0.33177,                0.68287,                 4.9439,                 0.8577,                0.66129,                 15.892,                0.82888,             0.00010836,             0.00010836,             0.00010836
                      5,                0.60481,                 5.5159,                0.77142,                0.59286,                 16.614,                0.73199,                0.37851,                0.47802,                0.46358,                0.38623,                0.68015,                 5.0041,                0.85965,                0.65696,                 14.522,                0.83362,             0.00010836,             0.00010836,             0.00010836
                      6,                 0.5758,                  5.926,                0.70969,                0.51681,                 15.104,                0.65939,                0.42638,                0.62188,                0.53471,                0.45738,                0.67772,                 4.0534,                0.85441,                0.68603,                 12.557,                 0.8357,             0.00010648,             0.00010648,             0.00010648
                      7,                0.55184,                 4.4228,                0.72508,                0.52219,                 12.818,                0.68797,                0.41224,                0.63955,                0.51994,                0.45606,                0.64451,                 3.8601,                0.84857,                0.64435,                 11.401,                0.83187,             0.00010459,             0.00010459,             0.00010459
                      8,                 0.5703,                 4.0103,                0.77514,                0.54587,                 11.543,                  0.741,                0.52208,                0.56298,                0.56012,                0.48524,                0.64919,                 4.0886,                0.84239,                0.69095,                 10.318,                0.83047,             0.00010271,             0.00010271,             0.00010271
                      9,                0.48955,                 4.5173,                0.68661,                0.49413,                 10.451,                0.65623,                0.51389,                0.62843,                 0.5575,                0.49336,                0.64168,                 3.5017,                0.84398,                0.67257,                  9.535,                0.83434,             0.00010083,             0.00010083,             0.00010083
                     10,                 0.5447,                 4.0152,                0.75221,                0.52467,                  9.541,                0.71236,                0.49096,                0.67868,                0.53824,                0.46143,                0.63826,                 3.3096,                0.84293,                0.66066,                 8.7271,                0.82789,             9.8952e-05,             9.8952e-05,             9.8952e-05
