epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1429,1.71175,19.7152,1.66136,0.48347,0.61472,0.59742,0.495,1.33095,2.28593,1.61092,3.83248e-05,3.83248e-05,3.83248e-05
2,120.363,1.76245,9.36315,1.62652,0.93341,0.83117,0.93562,0.74457,1.41231,0.97646,1.61576,7.3814e-05,7.3814e-05,7.3814e-05
3,160.303,1.78007,6.17694,1.62549,0.92682,0.87725,0.94246,0.75763,1.46188,0.89794,1.6207,0.000105409,0.000105409,0.000105409
4,199.931,1.6711,4.92476,1.63108,0.94561,0.84848,0.9434,0.73314,1.51702,0.99228,1.61912,0.000100477,0.000100477,0.000100477
5,238.815,1.66563,4.1057,1.63401,0.95903,0.87879,0.94671,0.76801,1.41671,0.8734,1.62007,9.4636e-05,9.4636e-05,9.4636e-05
6,278.338,1.60774,3.32169,1.60475,0.90739,0.90476,0.93816,0.76906,1.37953,0.93493,1.60575,8.8795e-05,8.8795e-05,8.8795e-05
7,317.996,1.65412,2.89668,1.61413,0.92726,0.88297,0.94587,0.78546,1.3163,0.81948,1.60623,8.2954e-05,8.2954e-05,8.2954e-05
8,357.484,1.58908,2.64964,1.60854,0.95342,0.88604,0.95053,0.78521,1.33618,0.76509,1.60639,7.7113e-05,7.7113e-05,7.7113e-05
9,396.88,1.49526,2.48863,1.60884,0.97526,0.85321,0.93934,0.7714,1.35611,0.86775,1.60043,7.1272e-05,7.1272e-05,7.1272e-05
10,435.316,1.54733,2.23662,1.61641,0.95649,0.88745,0.94006,0.79116,1.31966,0.88908,1.60198,6.5431e-05,6.5431e-05,6.5431e-05
11,487.207,1.44349,2.87159,1.601,0.95521,0.88312,0.94431,0.79044,1.29904,0.85296,1.59733,5.959e-05,5.959e-05,5.959e-05
12,525.619,1.46353,2.58417,1.59612,0.95836,0.89671,0.94794,0.79127,1.32618,0.79464,1.60475,5.3749e-05,5.3749e-05,5.3749e-05
13,564.614,1.40944,2.37005,1.58642,0.9845,0.82513,0.93943,0.77693,1.34371,0.88109,1.61561,4.7908e-05,4.7908e-05,4.7908e-05
14,602.379,1.40443,2.2194,1.59973,0.93483,0.88312,0.94587,0.78066,1.35805,0.80255,1.60991,4.2067e-05,4.2067e-05,4.2067e-05
15,640.404,1.34181,2.13417,1.58169,0.94127,0.89177,0.945,0.79794,1.28566,0.82503,1.60444,3.6226e-05,3.6226e-05,3.6226e-05
16,679.052,1.35739,2.01316,1.58619,0.96307,0.90321,0.95177,0.80186,1.26286,0.76651,1.59789,3.0385e-05,3.0385e-05,3.0385e-05
17,718.352,1.31539,1.91244,1.58719,0.95414,0.88745,0.9447,0.7953,1.31759,0.78821,1.60703,2.4544e-05,2.4544e-05,2.4544e-05
18,756.695,1.28177,1.81423,1.60953,0.97493,0.8961,0.95227,0.81318,1.21465,0.70804,1.59947,1.8703e-05,1.8703e-05,1.8703e-05
19,795.581,1.27763,1.78203,1.56626,0.97175,0.89347,0.9511,0.80848,1.19984,0.72493,1.59336,1.2862e-05,1.2862e-05,1.2862e-05
20,833.243,1.23951,1.74777,1.58537,0.96514,0.90043,0.94849,0.80567,1.20704,0.73184,1.59844,7.021e-06,7.021e-06,7.021e-06
