epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.462,0.82537,7.51801,0.82777,0,0,0,0,0.40806,7.11741,0.7912,5.8e-06,5.8e-06,5.8e-06
2,351.426,0.78685,7.20453,0.82114,0,0,0,0,0.48691,7.10474,0.79032,1.19178e-05,1.19178e-05,1.19178e-05
3,523.052,0.73289,7.37304,0.81664,0,0,0,0,0.5626,7.10524,0.78949,1.7117e-05,1.7117e-05,1.7117e-05
4,687.357,0.72664,6.9508,0.79738,0,0,0,0,0.58683,7.14756,0.80233,2.13974e-05,2.13974e-05,2.13974e-05
5,854.347,0.80739,6.82149,0.77754,0,0,0,0,0.59717,7.18978,0.80667,2.4759e-05,2.4759e-05,2.4759e-05
6,1012.24,0.86574,8.15271,0.77811,0,0,0,0,0.62164,7.17234,0.803,2.7202e-05,2.7202e-05,2.7202e-05
7,1171.82,0.86126,7.32697,0.76672,0,0,0,0,0.64645,7.17234,0.79953,2.87262e-05,2.87262e-05,2.87262e-05
8,1328.81,0.77854,6.99359,0.79001,0,0,0,0,0.72405,7.30811,0.80788,2.93318e-05,2.93318e-05,2.93318e-05
9,1482.92,0.78248,6.64118,0.78376,0,0,0,0,0.78398,7.26983,0.81397,2.90186e-05,2.90186e-05,2.90186e-05
10,1640.25,0.7837,5.90608,0.79169,0,0,0,0,0.8127,7.16657,0.81545,2.77866e-05,2.77866e-05,2.77866e-05
11,1795.08,0.77293,5.42018,0.83382,0,0,0,0,0.83882,7.04311,0.81288,2.5636e-05,2.5636e-05,2.5636e-05
12,1950.37,0.73682,5.4477,0.80419,0,0,0,0,0.83351,7.09442,0.81184,2.25666e-05,2.25666e-05,2.25666e-05
13,2107.44,0.76907,5.20443,0.77857,0.5,0.08333,0.29166,0.175,0.81376,7.09494,0.81024,1.85786e-05,1.85786e-05,1.85786e-05
14,2264.03,0.65785,4.64204,0.78357,1,0.10606,0.55302,0.33181,0.79652,7.02993,0.80846,1.36718e-05,1.36718e-05,1.36718e-05
15,2422.88,0.6572,4.66297,0.78085,1,0.12879,0.56438,0.37783,0.7934,7.00533,0.80694,7.84624e-06,7.84624e-06,7.84624e-06
