                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87295,                 4.0157,                 0.8477,                0.80621,                 9.4907,                0.78962,                0.35564,                0.03922,                0.00852,                0.00658,                 1.6578,                 7.9826,                 1.0946,                 1.4593,                 7.0988,                 1.0095,             0.00047387,             0.00047387,             0.00047387
                      2,                 1.0725,                 3.2865,                0.87895,                0.94628,                 3.6542,                0.80474,                0.74775,                 0.1634,                0.12611,                0.07627,                 1.6815,                   24.6,                 1.0804,                 1.5267,                 14.289,                 0.9575,             0.00093452,             0.00093452,             0.00093452
                      3,                 1.4225,                 6.6509,                 1.0218,                 1.1787,                 5.6893,                0.87888,                0.74775,                 0.1634,                0.12611,                0.07627,                 2.4318,             3.2304e+05,                 23.012,                 1.3333,                  91326,                  4.168,              0.0013795,              0.0013795,              0.0013795
                      4,                  1.566,                 5.4394,                 1.0416,                 1.3179,                 3.1822,                0.90301,                0.50323,                0.38092,                0.19863,                0.10642,                  1.788,                 11.282,                 1.2208,                   1.88,                 73.896,                 1.1602,              0.0013583,              0.0013583,              0.0013583
                      5,                 1.7978,                 3.0394,                 1.1521,                 1.5267,                 2.3208,                0.96898,                0.00242,                 0.4251,                0.00193,                0.00082,                 2.0425,                 278.73,                 1.6607,                 1.8186,                 1806.8,                 1.2373,              0.0013583,              0.0013583,              0.0013583
                      6,                 1.5182,                 2.1617,                 1.0558,                  1.248,                 1.7086,                0.88678,                0.67056,                0.13376,                0.16658,                0.10447,                 1.9275,                 3.3259,                 1.2718,                 1.8118,                 3.6425,                 1.1408,              0.0013347,              0.0013347,              0.0013347
                      7,                 1.4379,                 1.6473,                 1.0096,                 1.2997,                 1.3207,                0.91066,                0.56432,                0.32392,                0.19195,                0.12277,                 1.6557,                 3.2359,                 1.1625,                 1.6142,                 3.4646,                 1.0852,              0.0013111,              0.0013111,              0.0013111
                      8,                 1.4155,                 1.6641,                 1.0201,                 1.2716,                 1.4729,                0.92212,                0.88024,                0.15033,                 0.2638,                0.16255,                 1.7287,                 2.3666,                 1.0953,                 1.7221,                 2.3157,                 1.0724,              0.0012875,              0.0012875,              0.0012875
                      9,                 1.3306,                 1.5215,                0.94935,                 1.2754,                 1.3241,                0.86804,                0.57432,                 0.2981,                0.23471,                0.13611,                 1.5624,                 2.1298,                 1.0567,                 1.6869,                 2.4674,                 1.0398,               0.001264,               0.001264,               0.001264
                     10,                 1.3463,                 1.5949,                 0.9638,                 1.2797,                 1.4531,                0.89735,                0.52124,                0.23608,                0.19516,                0.12273,                 1.6283,                 2.7761,                 1.1034,                 1.8845,                 3.0195,                 1.1065,              0.0012404,              0.0012404,              0.0012404
                     11,                 1.2391,                 1.2921,                0.97438,                 1.1688,                 1.1115,                0.89573,                 0.8027,                0.34144,                0.42873,                0.26175,                 1.5404,                  1.995,                 1.0199,                 1.7506,                 1.9091,                 1.0631,              0.0012168,              0.0012168,              0.0012168
                     12,                 1.1783,                 1.3204,                0.94302,                 1.2374,                 1.0488,                0.89406,                0.66418,                0.40362,                0.69038,                0.46486,                 1.6984,                 1.7931,                 1.0654,                 1.7314,                 1.9526,                 1.0527,              0.0011932,              0.0011932,              0.0011932
                     13,                 1.3162,                 1.2586,                0.94501,                 1.2299,                 1.0265,                0.88309,                0.73347,                0.37516,                0.34185,                 0.2085,                 1.5612,                 1.7538,                 1.0284,                 1.6288,                 1.7141,                 1.0261,              0.0011696,              0.0011696,              0.0011696
                     14,                 1.2468,                 1.1213,                0.92936,                 1.2285,                0.85253,                0.88116,                0.69013,                0.43498,                0.38836,                 0.2549,                 1.3046,                 1.6717,                0.97288,                 1.4539,                 1.5239,                 1.0135,              0.0011461,              0.0011461,              0.0011461
                     15,                 1.1854,                 1.0412,                0.92197,                   1.15,                0.93839,                0.86172,                0.72975,                0.33595,                0.40548,                0.27759,                 1.4926,                 1.7619,                 1.0094,                 1.5695,                 1.6609,                 1.0212,              0.0011225,              0.0011225,              0.0011225
                     16,                0.97935,                0.89681,                 0.8732,                0.98238,                0.77325,                0.83538,                0.75014,                0.38797,                0.41024,                0.27529,                 1.2138,                 1.5364,                 0.9458,                  1.466,                  1.577,                0.99412,              0.0010989,              0.0010989,              0.0010989
                     17,                0.98559,                0.88273,                0.88115,                 1.0073,                0.78038,                0.83771,                0.78176,                0.38614,                0.40669,                0.28492,                 1.1982,                 1.4982,                0.96327,                 1.3108,                 1.5375,                0.94205,              0.0010753,              0.0010753,              0.0010753
