                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1172,                 7.2687,                  0.964,                0.99112,                 15.275,                 0.8808,                 0.0085,                   0.25,                0.06288,                0.03197,                 1.9093,                 49.459,                 1.2887,                 1.8077,                 11.657,                 1.1651,             0.00054935,             0.00054935,             0.00054935
                      2,                 1.5441,                 5.7363,                 1.0667,                    1.3,                 8.8546,                0.91872,                0.44566,                0.22727,                0.25175,                0.15725,                 1.9498,                 115.34,                 1.3982,                 1.8642,                 36.646,                 1.3116,              0.0010686,              0.0010686,              0.0010686
                      3,                 2.1369,                 7.7929,                 1.2725,                 1.6307,                 7.8394,                 1.0614,                0.44566,                0.22727,                0.25175,                0.15725,                 2.5813,                 8.5759,                 1.6137,                 2.3227,                 22.253,                  1.511,              0.0015511,              0.0015511,              0.0015511
                      4,                 2.1313,                 7.4129,                 1.2438,                 1.6231,                 7.2901,                 1.0548,                0.00014,                0.02273,                  8e-05,                  4e-05,                 2.9071,                 3041.7,                 2.4209,                 2.1122,                 13.817,                 1.3279,               0.001502,               0.001502,               0.001502
                      5,                  2.024,                 5.7299,                 1.2646,                 1.4835,                 5.9324,                 1.0296,                0.00037,                0.09091,                0.00105,                0.00045,                 2.6399,                 47.521,                 1.6389,                 2.7389,                 9.6289,                 1.5608,               0.001502,               0.001502,               0.001502
                      6,                 1.9589,                 5.1929,                 1.1896,                 1.4754,                 5.0153,                 0.9675,                 0.0143,                0.15152,                0.00304,                0.00171,                 2.5935,                 93.508,                 3.5934,                 2.2705,                  27232,                 2.1563,               0.001447,               0.001447,               0.001447
                      7,                 1.6826,                 4.2714,                 1.1249,                 1.3999,                 4.2668,                0.93932,                0.00022,                0.16667,                0.00017,                0.00012,                 3.4708,                 1445.2,                  10.45,                 2.5404,             1.1471e+05,                 2.8409,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.5119,                 3.8516,                  1.082,                   1.23,                 3.2571,                0.91739,                0.37736,                0.10606,                0.09419,                0.08317,                 2.0442,                 47.901,                 2.7089,                 1.5675,                 27.229,                 1.7076,              0.0013369,              0.0013369,              0.0013369
                      9,                   1.67,                 2.9696,                 1.1375,                 1.3924,                 2.7364,                0.97511,                0.51707,                0.15909,                0.01764,                0.01357,                 2.0682,                 154.92,                 1.5922,                 1.6211,                 27.033,                 1.2389,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.8451,                 3.9911,                 1.1583,                 1.3952,                 3.0334,                 0.9563,                0.00263,                0.35606,                0.00616,                0.00534,                 2.2661,                 454.77,                 1.9038,                 1.7359,                  89.37,                 1.7162,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.6484,                 3.1999,                 1.1189,                 1.3349,                 3.1076,                0.91956,                0.64476,                0.22727,                 0.1874,                0.10224,                 2.0448,                 3.2828,                 1.5683,                 2.0588,                 5.5896,                 1.4392,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.6865,                 4.0031,                 1.1392,                  1.414,                 6.0149,                0.98987,                0.68655,                0.24364,                0.15181,                0.06615,                 2.2463,                 6.0089,                 1.6783,                 2.1043,                 6.8304,                  1.493,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.8032,                 2.9319,                 1.1734,                 1.5876,                 2.7243,                 1.0314,                0.31753,                0.15909,                0.18574,                0.08119,                 2.1916,                 3.0918,                 1.6372,                 2.0096,                 2.9576,                 1.4707,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.6579,                 2.5774,                 1.1215,                 1.3617,                 2.5004,                0.94735,                0.14755,                0.11364,                0.10638,                0.06403,                 2.4641,                 3.3404,                 2.2666,                 2.0015,                  4.165,                  1.498,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.5026,                 2.0014,                 1.1093,                 1.2373,                 1.9765,                0.93431,                0.15123,                0.13636,                0.12172,                0.07418,                 2.1737,                 3.1753,                 1.7756,                 1.9364,                 3.7008,                 1.4136,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.3448,                 1.6391,                 1.0103,                 1.1148,                 1.7441,                  0.887,                0.29876,                0.43939,                 0.3136,                0.17067,                 1.7428,                 2.4647,                 1.3961,                 1.7737,                 2.5214,                 1.3156,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.2696,                 1.7298,                0.98585,                 1.2111,                 1.6884,                0.88523,                0.43839,                0.51448,                0.44509,                0.21224,                 1.5429,                 2.3373,                  1.289,                 1.8761,                 2.4062,                 1.3777,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.2601,                 1.8532,                0.99445,                 1.2451,                  1.751,                0.92712,                 0.7618,                0.39227,                 0.4442,                0.21541,                 1.6803,                 2.1591,                 1.4039,                 1.7699,                 2.4651,                 1.4421,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.1537,                 1.6189,                0.97136,                 1.1116,                 1.5103,                0.87541,                0.75456,                0.40705,                0.46498,                0.23071,                 1.6942,                 1.9245,                 1.3425,                 1.7873,                 2.1175,                 1.3235,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.2115,                 1.6294,                0.91531,                 1.1304,                 1.4959,                0.81117,                 0.7672,                0.43939,                0.48515,                0.23635,                  1.577,                 2.2283,                   1.28,                  1.882,                 1.7991,                 1.3034,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.1851,                 1.5105,                0.94566,                 1.1113,                 1.2151,                0.76678,                0.60163,                0.43939,                0.39014,                0.24918,                 1.5622,                 2.2349,                 1.2709,                 1.9081,                 1.9961,                 1.2764,             0.00062179,             0.00062179,             0.00062179
                     22,                  1.166,                 1.4611,                0.91606,                 1.0288,                 1.1917,                 0.7805,                0.65541,                0.47727,                0.47763,                0.27217,                 1.5837,                 2.4313,                 1.3097,                 1.7994,                 2.0773,                 1.3057,             0.00056678,             0.00056678,             0.00056678
                     23,                  1.145,                 1.4317,                0.90008,                0.94818,                 1.1857,                 0.7806,                0.66537,                0.47727,                0.48311,                0.28486,                  1.677,                 2.4291,                 1.2792,                 1.7611,                 2.0877,                 1.2766,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.0491,                 1.2603,                0.88272,                  0.887,                  1.063,                0.77727,                 0.4945,                0.52273,                 0.3868,                0.23954,                 1.5964,                 2.2731,                 1.2836,                 1.6909,                 2.4328,                 1.2869,             0.00045676,             0.00045676,             0.00045676
                     25,                0.96447,                 1.1942,                0.86981,                 0.8327,                0.99621,                0.77442,                0.52984,                0.49382,                0.39164,                0.24133,                 1.6044,                 2.1802,                 1.2983,                 1.6838,                 2.4723,                 1.2851,             0.00040175,             0.00040175,             0.00040175
                     26,                0.96176,                 1.1308,                0.87565,                0.81017,                0.95091,                 0.7613,                 0.5681,                0.47727,                 0.3977,                0.27523,                 1.5351,                 1.9991,                 1.2552,                  1.649,                 2.3356,                 1.2357,             0.00034674,             0.00034674,             0.00034674
                     27,                 0.8972,                 1.0655,                0.85787,                 0.7949,                0.94353,                0.74939,                0.53858,                    0.5,                0.40171,                0.26443,                 1.5272,                 1.9163,                 1.2422,                 1.6092,                 2.2682,                 1.2355,             0.00029172,             0.00029172,             0.00029172
                     28,                0.85052,                0.99897,                0.84452,                 0.7434,                0.87449,                0.75328,                0.58471,                0.45455,                0.42331,                0.27324,                 1.5041,                 1.9226,                 1.2315,                 1.4633,                 2.2826,                 1.2389,             0.00023671,             0.00023671,             0.00023671
                     29,                0.81902,                0.98462,                0.85064,                 0.7406,                0.83492,                0.75827,                0.69541,                0.45379,                 0.4239,                0.28857,                 1.5127,                 2.0036,                 1.2465,                  1.535,                  2.416,                 1.2217,              0.0001817,              0.0001817,              0.0001817
                     30,                0.82336,                0.98181,                0.85137,                0.70399,                0.86182,                0.75453,                0.67406,                0.47106,                0.43916,                0.29217,                 1.4026,                 2.0162,                  1.227,                 1.4791,                 2.1779,                 1.2337,             0.00012669,             0.00012669,             0.00012669
