                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3193,                 29.753,                 1.9467,                 1.6517,                 71.465,                  1.391,                0.00075,                0.03781,                 0.0004,                0.00013,                 1.4694,                 9.9866,                 1.2843,                 1.3729,                 69.595,                 1.0778,             0.00027638,             0.00027638,             0.00027638
                      2,                  2.388,                 13.777,                 2.0215,                 1.6833,                 24.801,                 1.4906,                 0.0104,                0.16017,                  0.012,                0.00619,                 1.4937,                 6.4522,                 1.3364,                 1.1559,                 15.703,                 1.2066,             0.00054947,             0.00054947,             0.00054947
                      3,                 2.6555,                 9.8545,                 2.0853,                 1.8249,                  13.34,                 1.5828,                0.40179,                0.03054,                 0.0102,                0.00403,                 2.4788,                 18.848,                 2.2629,                 2.1061,                 20.574,                 2.0256,             0.00081799,             0.00081799,             0.00081799
                      4,                 2.7963,                    7.4,                 2.2147,                 2.0567,                 8.7007,                 1.6863,                 0.0019,                0.17236,                0.00797,                0.00425,                 1.8547,                 6.0052,                 1.5387,                 1.5053,                 8.0503,                 1.4436,             0.00081238,             0.00081238,             0.00081238
                      5,                 2.9848,                 6.4237,                 2.4036,                 2.1207,                 6.5861,                 1.7794,                0.00147,                0.04409,                0.00139,                0.00054,                 2.5589,                 5.8295,                 2.0838,                 1.8864,                 7.1275,                 1.7371,             0.00081238,             0.00081238,             0.00081238
                      6,                 2.9617,                 5.5458,                 2.3386,                 2.1293,                 5.6213,                 1.7707,                0.00099,                0.18477,                0.00142,                0.00042,                 2.5964,                 18.644,                 2.1847,                 2.0541,                 7.1911,                 1.9719,             0.00080551,             0.00080551,             0.00080551
                      7,                 2.8401,                 5.0342,                 2.2725,                 2.0599,                  4.874,                 1.7649,                0.00099,                0.18477,                0.00142,                0.00042,                 4.5461,                   9489,                 47.838,                 2.7214,                  55219,                 8.0818,             0.00079864,             0.00079864,             0.00079864
                      8,                 2.7889,                 4.7779,                 2.3267,                 1.9348,                 4.4526,                 1.7918,                0.00168,                0.15338,                0.00135,                0.00042,                 2.4931,                 5.1885,                 2.2908,                 2.4906,                 6.6284,                 2.4837,             0.00079177,             0.00079177,             0.00079177
                      9,                 2.8755,                 4.6158,                  2.221,                 2.0865,                 4.4174,                 1.7994,                0.00106,                0.15098,                0.00092,                0.00029,                 2.3302,                 5.9645,                 2.2399,                 2.6336,                 7.1849,                  2.446,             0.00078489,             0.00078489,             0.00078489
                     10,                  2.913,                 4.5114,                 2.3284,                 2.2122,                 4.2422,                 1.8407,                0.00128,                0.23878,                 0.0039,                0.00148,                 2.5277,                 4.7373,                 2.3793,                  2.361,                 6.9322,                 2.4102,             0.00077802,             0.00077802,             0.00077802
