                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0827,                 14.408,                0.99195,                0.98698,                 53.459,                0.85061,                0.78574,                 0.0406,                0.10794,                0.07897,                 1.0538,                 11.216,                 1.0436,                 1.0136,                  46.16,                0.90882,             0.00027638,             0.00027638,             0.00027638
                      2,                 1.1095,                   13.3,                 1.0285,                0.94438,                 48.569,                0.87944,                0.55974,                0.12425,                0.10121,                0.06662,                 1.0995,                  10.93,                 1.0253,                 1.0341,                 43.424,                0.97139,             0.00054856,             0.00054856,             0.00054856
                      3,                 1.0802,                 14.171,                0.98359,                0.91885,                 47.509,                 0.8614,                0.45289,                0.13172,                0.08921,                0.06619,                 1.0858,                 10.458,                 1.0539,                0.91044,                 40.577,                 0.9973,             0.00081524,             0.00081524,             0.00081524
                      4,                 1.0994,                 12.833,                 1.0332,                0.94014,                 43.943,                0.93581,                0.46885,                0.15656,                0.12813,                0.08552,                 1.1078,                 9.8462,                 1.0587,                 1.0442,                 39.658,                 1.0566,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.1485,                 13.683,                 1.0517,                0.99768,                 44.281,                0.94404,                 0.7098,                0.12943,                0.12133,                0.08748,                 1.0673,                 9.6393,                 1.0497,                0.93678,                 37.113,                0.98232,             0.00080826,             0.00080826,             0.00080826
                      6,                 1.0674,                 13.212,                0.98752,                0.91776,                 41.067,                0.90923,                0.44198,                0.27832,                 0.1096,                 0.0781,                 1.0875,                 9.0479,                   1.05,                 1.0001,                 35.248,                 1.0245,             0.00080001,             0.00080001,             0.00080001
                      7,                 1.0729,                 11.936,                 1.0338,                 0.9644,                 38.145,                0.93135,                0.57455,                0.18133,                0.13098,                0.09711,                 0.9789,                 8.4854,                 1.0495,                0.88029,                 32.551,                0.96598,             0.00079177,             0.00079177,             0.00079177
                      8,                  1.031,                 11.301,                 1.0102,                0.88707,                 37.691,                0.92045,                 0.5065,                0.11448,                0.12366,                0.08985,                 1.0177,                 8.2682,                 1.0458,                 0.9284,                 31.937,                 0.9888,             0.00078352,             0.00078352,             0.00078352
                      9,                 1.0112,                 9.0337,                 1.0247,                0.91553,                 33.784,                  0.956,                0.48682,                0.27904,                0.13407,                0.10003,                 1.1075,                 8.0263,                 1.0317,                 0.9723,                 30.753,                 1.0147,             0.00077527,             0.00077527,             0.00077527
                     10,                0.99761,                 9.6745,                 1.0257,                0.89073,                 34.065,                0.94528,                0.44935,                0.12381,                0.13212,                0.09932,                  1.001,                 7.5782,                 1.0425,                0.94717,                 28.887,                 1.0195,             0.00076703,             0.00076703,             0.00076703
                     11,                 1.0124,                 9.2253,                 1.0302,                0.90234,                  31.09,                0.95576,                0.41324,                0.19994,                0.16902,                0.12559,                 1.0951,                 7.1665,                  1.076,                  1.007,                 28.209,                 1.0552,             0.00075878,             0.00075878,             0.00075878
                     12,                 1.0171,                 8.4871,                 1.0152,                0.96041,                 28.218,                0.98823,                0.50446,                 0.2478,                0.20024,                 0.1344,                 1.0013,                 6.8235,                 1.0495,                 1.0563,                 26.863,                 1.0629,             0.00075053,             0.00075053,             0.00075053
                     13,                0.96244,                 9.3092,                0.98213,                0.92256,                 29.482,                  0.935,                0.52313,                0.34329,                0.23737,                0.17614,                0.97004,                 6.3169,                 1.0322,                 1.0101,                 24.586,                 1.0425,             0.00074229,             0.00074229,             0.00074229
                     14,                0.93224,                 8.6464,                0.98265,                0.95656,                 27.244,                0.94157,                0.54313,                0.26552,                0.29337,                 0.2112,                0.95515,                 6.0982,                 1.0482,                 1.0139,                 23.823,                 1.0475,             0.00073404,             0.00073404,             0.00073404
                     15,                0.90938,                 7.2308,                0.97449,                0.86238,                 24.369,                0.93163,                0.50345,                 0.3353,                0.26939,                0.20305,                0.98522,                 5.8138,                 1.0749,                0.93689,                 22.551,                 1.0452,             0.00072579,             0.00072579,             0.00072579
                     16,                0.93602,                 7.3777,                0.98024,                0.89905,                 22.988,                 0.9347,                0.63788,                0.28757,                0.30269,                0.21336,                0.95611,                   5.58,                 1.0385,                0.99247,                 21.292,                 1.0301,             0.00071755,             0.00071755,             0.00071755
                     17,                0.91916,                 7.1871,                0.93248,                0.89314,                 22.857,                0.91676,                0.58641,                0.31002,                0.29409,                0.21268,                0.94141,                 5.1784,                 1.0386,                0.94981,                 20.416,                 1.0951,              0.0007093,              0.0007093,              0.0007093
                     18,                0.90915,                 6.7834,                 0.9779,                0.91198,                 22.299,                0.94114,                0.58894,                  0.301,                0.30154,                0.21915,                0.88824,                 5.1064,                 1.0384,                0.93924,                 19.312,                 1.0885,             0.00070105,             0.00070105,             0.00070105
                     19,                0.86996,                 6.3516,                0.96177,                0.85716,                 21.264,                0.93494,                0.65292,                0.22463,                0.28557,                0.20923,                0.96268,                 4.9581,                 1.1014,                0.95462,                 18.592,                 1.1491,             0.00069281,             0.00069281,             0.00069281
                     20,                0.83674,                 6.0822,                0.94423,                 0.8306,                 19.659,                0.91955,                0.58464,                0.35553,                0.33239,                0.25296,                0.94683,                 4.8897,                 1.0491,                0.93374,                 18.116,                 1.0742,             0.00068456,             0.00068456,             0.00068456
                     21,                0.87156,                 5.6196,                0.96837,                0.86556,                 18.979,                0.94455,                 0.5269,                0.34346,                0.33989,                 0.2662,                0.91731,                 4.4774,                 1.0249,                0.91489,                 16.486,                  1.026,             0.00067631,             0.00067631,             0.00067631
                     22,                0.84439,                  5.872,                0.93699,                0.84476,                 17.963,                0.90302,                0.61037,                0.37266,                  0.365,                0.27239,                0.94801,                 4.2549,                 1.0664,                0.98804,                 15.898,                 1.0686,             0.00066807,             0.00066807,             0.00066807
                     23,                0.85734,                 5.6167,                0.94527,                0.85112,                 17.014,                0.91401,                0.71587,                0.34563,                0.38883,                0.29262,                0.93546,                  4.307,                  1.044,                0.95149,                 15.189,                 1.0433,             0.00065982,             0.00065982,             0.00065982
                     24,                0.84217,                 5.0512,                0.93178,                0.84818,                 15.517,                0.90618,                0.68787,                0.33006,                0.34862,                 0.2686,                0.94096,                 3.9818,                 1.0503,                0.95581,                  14.39,                  1.015,             0.00065157,             0.00065157,             0.00065157
                     25,                0.82555,                 4.7736,                0.96121,                0.83625,                  15.36,                0.92263,                0.66392,                0.28259,                0.36169,                0.27981,                0.89081,                 3.7928,                 1.0438,                0.92621,                 13.848,                 1.0297,             0.00064333,             0.00064333,             0.00064333
                     26,                0.81583,                 4.8018,                 0.9469,                0.80134,                 14.813,                0.91804,                0.77595,                0.31343,                0.39922,                 0.3103,                0.90846,                 3.8388,                 1.0601,                0.94881,                 13.429,                 1.0634,             0.00063508,             0.00063508,             0.00063508
                     27,                0.82881,                  4.737,                0.94186,                0.84106,                 13.953,                0.91578,                0.72635,                0.38392,                0.43634,                0.33638,                0.84368,                  3.765,                 1.0212,                0.90457,                 12.651,                0.99716,             0.00062683,             0.00062683,             0.00062683
                     28,                0.81459,                  4.524,                0.92071,                0.80682,                 13.189,                 0.8856,                0.61752,                0.44601,                0.42021,                0.31869,                0.89107,                  3.404,                 1.0644,                0.91264,                 12.027,                 1.0792,             0.00061859,             0.00061859,             0.00061859
                     29,                0.76769,                 4.3112,                0.91414,                 0.7962,                 13.014,                0.89763,                0.62339,                0.44964,                0.40536,                0.31204,                0.87007,                  3.409,                0.99157,                0.93957,                 11.653,                 1.0023,             0.00061034,             0.00061034,             0.00061034
                     30,                0.84795,                 4.0422,                 0.9304,                0.88143,                 11.991,                 0.9042,                0.60646,                0.45927,                0.40679,                0.31645,                 0.9098,                 3.2687,                 1.0238,                0.94719,                 11.281,                0.98131,             0.00060209,             0.00060209,             0.00060209
                     31,                0.83119,                  3.759,                0.95298,                0.85623,                 11.476,                 0.9116,                0.56498,                 0.4217,                0.41952,                0.31879,                 0.9308,                 3.3485,                 1.0412,                0.96469,                 11.109,                 1.0368,             0.00059385,             0.00059385,             0.00059385
                     32,                0.87156,                 3.8568,                0.93916,                 0.8613,                 11.259,                0.89565,                0.72872,                 0.3881,                0.39518,                0.30345,                0.87388,                  3.213,                 1.0162,                0.88328,                 10.711,                 1.0207,              0.0005856,              0.0005856,              0.0005856
                     33,                0.77999,                 3.5628,                0.90286,                 0.7848,                 11.218,                 0.8822,                0.59665,                0.46738,                0.40808,                0.31484,                 0.8737,                 3.2071,                 1.0232,                0.96407,                 10.145,                 1.0478,             0.00057735,             0.00057735,             0.00057735
                     34,                0.82687,                  3.776,                0.92741,                0.80388,                 10.542,                0.89199,                0.65586,                0.38379,                0.40402,                 0.3238,                0.90215,                 3.0208,                 1.0188,                0.89031,                 9.8349,                 1.0056,             0.00056911,             0.00056911,             0.00056911
                     35,                0.78546,                 3.6319,                0.91686,                0.77886,                 10.246,                0.87933,                0.70947,                0.39227,                0.42899,                0.32678,                 0.9919,                 3.1252,                   1.09,                0.99559,                 9.4708,                 1.0576,             0.00056086,             0.00056086,             0.00056086
                     36,                0.83282,                 3.4163,                0.94637,                 0.7983,                 9.9422,                0.89074,                0.56668,                0.51478,                0.43644,                0.34567,                0.90789,                 2.9568,                 1.0309,                 0.9534,                 8.8085,                  1.052,             0.00055261,             0.00055261,             0.00055261
                     37,                0.75604,                 3.3314,                0.89132,                0.75209,                 9.3054,                0.86213,                0.67822,                0.48361,                0.44604,                0.35739,                0.87858,                 3.0159,                 1.0172,                0.88627,                 8.8195,                 1.0245,             0.00054437,             0.00054437,             0.00054437
                     38,                0.79587,                 3.1596,                0.89911,                0.77918,                 9.2855,                0.87471,                0.67335,                0.42274,                0.48086,                0.37765,                0.86057,                 2.7197,                 1.0152,                0.84229,                  8.408,                 1.0163,             0.00053612,             0.00053612,             0.00053612
                     39,                0.73746,                 3.0939,                0.89711,                0.75932,                  8.702,                0.87697,                0.69649,                0.38772,                0.45078,                0.34467,                0.90678,                 2.9134,                 1.0305,                0.88397,                 8.2028,                 1.0235,             0.00052787,             0.00052787,             0.00052787
                     40,                 0.7894,                 2.8411,                0.94257,                0.77987,                 8.7225,                0.88821,                0.67046,                0.41935,                0.45228,                0.35172,                  0.974,                 2.8646,                 1.0493,                0.97865,                 8.2096,                 1.0163,             0.00051963,             0.00051963,             0.00051963
                     41,                 0.7545,                 2.8899,                0.91003,                0.76259,                 8.5017,                0.87941,                0.69824,                0.38035,                 0.4086,                 0.3206,                0.90379,                 2.7502,                 1.0207,                0.97031,                 8.0806,                0.99923,             0.00051138,             0.00051138,             0.00051138
                     42,                0.76288,                 2.8272,                0.90018,                0.74783,                 8.1996,                 0.8614,                0.69912,                0.38725,                0.46724,                0.36649,                0.84315,                 2.5328,                 1.0213,                0.93994,                 7.5251,                0.99141,             0.00050313,             0.00050313,             0.00050313
                     43,                0.73362,                 2.8848,                0.89109,                0.73748,                 7.9783,                0.85015,                0.82444,                 0.3635,                0.46701,                 0.3703,                0.83424,                 2.5568,                 1.0066,                0.89209,                  7.477,                0.98727,             0.00049489,             0.00049489,             0.00049489
                     44,                0.76003,                 2.7786,                0.90194,                0.74254,                 7.6433,                0.85997,                0.66984,                0.44167,                0.46753,                0.35471,                0.89322,                 2.5144,                 1.0298,                0.92699,                  7.162,                 1.0109,             0.00048664,             0.00048664,             0.00048664
                     45,                0.72072,                 2.2185,                 0.9035,                0.75144,                 7.2767,                0.87722,                0.65322,                0.53705,                 0.4912,                0.37951,                0.87393,                 2.3521,                 1.0325,                0.89879,                 6.9072,                 1.0058,             0.00047839,             0.00047839,             0.00047839
                     46,                0.70855,                 2.5907,                0.86971,                0.71744,                 7.2577,                0.82361,                0.74891,                0.44862,                0.49394,                 0.4003,                0.81234,                 2.3788,                 1.0053,                0.88598,                 6.7909,                0.99392,             0.00047015,             0.00047015,             0.00047015
                     47,                0.69557,                  2.206,                0.89976,                 0.6845,                 6.8794,                0.85139,                0.75711,                 0.4616,                0.51052,                0.41481,                0.82783,                 2.3575,                  1.011,                0.88282,                 6.5173,                 1.0077,              0.0004619,              0.0004619,              0.0004619
                     48,                0.67072,                 2.4049,                0.86836,                0.69691,                 6.7383,                0.82985,                0.74517,                0.37055,                0.43949,                0.36228,                0.82179,                 2.3285,                 1.0238,                0.82904,                 6.4439,                 1.0043,             0.00045365,             0.00045365,             0.00045365
                     49,                0.72511,                  2.517,                0.87383,                 0.7427,                  6.636,                0.83062,                0.62412,                 0.4762,                0.45889,                0.37062,                0.84729,                 2.4297,                 1.0143,                0.89036,                 6.4056,                 1.0314,             0.00044541,             0.00044541,             0.00044541
                     50,                0.68377,                 2.0355,                0.86797,                0.68484,                 6.1905,                0.84477,                0.67902,                0.51639,                0.51496,                0.41454,                0.86618,                 2.2794,                 1.0327,                0.97601,                 6.3327,                 1.0609,             0.00043716,             0.00043716,             0.00043716
                     51,                0.67797,                 2.0854,                0.88547,                0.69029,                  6.121,                0.85888,                 0.7453,                0.45641,                 0.4906,                0.38232,                0.88211,                 2.1883,                 1.0256,                0.91315,                 6.0292,                 1.0193,             0.00042891,             0.00042891,             0.00042891
                     52,                0.70553,                 2.1372,                0.87618,                0.71677,                 5.9813,                0.85067,                0.82798,                0.36938,                0.48133,                0.37217,                0.87493,                 2.2789,                 1.0333,                0.98535,                 5.9033,                 1.0285,             0.00042066,             0.00042066,             0.00042066
                     53,                0.65917,                 1.9152,                0.86831,                0.69382,                 5.9055,                0.84259,                0.75451,                0.43525,                 0.4988,                0.38032,                0.86645,                 2.2279,                 1.0377,                0.98735,                 5.9063,                 1.0069,             0.00041242,             0.00041242,             0.00041242
