                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4063,                 33.182,                0.65264,                0.30514,                0.15317,                0.06704,                0.05059,                0.75266,                  1.524,                0.15612,             0.00041529,             0.00041529,             0.00041529
                      2,                0.64954,                 1.3586,                0.17749,                 0.6008,                0.10774,                0.07651,                0.04794,                 1.2636,                0.94175,                0.43577,             0.00082372,             0.00082372,             0.00082372
                      3,                 0.4501,                 1.4976,                0.10097,                0.80832,                0.18965,                0.05634,                 0.0347,                 0.4589,                 1.6631,                0.05447,              0.0012239,              0.0012239,              0.0012239
                      4,                 0.9574,                 1.3729,                0.30879,                0.81537,                0.03169,                0.01505,                0.01002,                 2.5073,                0.24489,                0.98414,              0.0012129,              0.0012129,              0.0012129
                      5,                0.75404,                 1.1578,                0.24474,                0.26842,                 0.1926,                0.01673,                0.01016,                0.70728,                 1.3667,                0.15364,              0.0012129,              0.0012129,              0.0012129
                      6,                0.32855,                 1.4166,                0.04652,                0.85217,                0.17342,                0.09541,                0.06192,                 0.5142,                 1.1309,                 0.0606,              0.0012005,              0.0012005,              0.0012005
                      7,                0.34148,                  1.034,                0.06192,                0.84363,                0.17342,                 0.0908,                0.06458,                0.59235,                  1.185,                0.16336,              0.0011881,              0.0011881,              0.0011881
                      8,                0.31927,                0.96225,                  0.051,                0.60418,                0.16549,                0.08503,                 0.0608,                0.59098,                 1.1697,                0.18027,              0.0011757,              0.0011757,              0.0011757
                      9,                0.32331,                0.91443,                0.05808,                0.18742,                0.23313,                 0.1293,                 0.0942,                0.53059,                 1.1979,                0.09177,              0.0011634,              0.0011634,              0.0011634
                     10,                0.37927,                0.80517,                0.07812,                0.37565,                0.12676,                0.09946,                0.06645,                0.65988,                 1.0767,                0.14084,               0.001151,               0.001151,               0.001151
                     11,                0.44442,                 1.0048,                0.08277,                0.13332,                  0.241,                0.10624,                0.07638,                0.62632,                 1.1094,                0.11894,              0.0011386,              0.0011386,              0.0011386
                     12,                0.40917,                0.78912,                0.07435,                0.42543,                0.24318,                0.12142,                0.07964,                0.63591,                 1.1503,                0.11339,              0.0011263,              0.0011263,              0.0011263
                     13,                0.37429,                0.84387,                0.05415,                0.45555,                0.29417,                0.17122,                0.11732,                0.49252,                 1.0738,                 0.0645,              0.0011139,              0.0011139,              0.0011139
                     14,                0.40463,                0.82419,                0.09514,                0.45941,                0.29436,                0.16344,                0.11037,                0.50836,                 1.1303,                0.05355,              0.0011015,              0.0011015,              0.0011015
                     15,                0.36813,                0.72915,                0.06617,                0.44989,                0.27009,                0.16276,                0.11073,                0.44672,                 1.2607,                0.05409,              0.0010891,              0.0010891,              0.0010891
                     16,                0.35027,                0.82847,                0.06384,                0.73127,                0.27502,                0.17954,                0.13068,                0.36764,                 1.2461,                0.04001,              0.0010768,              0.0010768,              0.0010768
                     17,                0.37807,                0.70685,                0.06126,                  0.718,                0.24758,                0.17602,                0.12476,                0.35267,                 1.2263,                0.03453,              0.0010644,              0.0010644,              0.0010644
                     18,                0.43283,                0.67312,                 0.0844,                0.71392,                0.27338,                0.16867,                0.11483,                0.43056,                 1.3398,                 0.0546,               0.001052,               0.001052,               0.001052
                     19,                0.35954,                 0.8272,                0.06423,                0.74461,                0.25104,                0.17027,                0.11627,                0.45738,                 1.1708,                0.05053,              0.0010396,              0.0010396,              0.0010396
                     20,                0.41052,                0.77613,                0.08019,                0.69315,                0.27517,                0.16853,                 0.1132,                0.41696,                 1.2605,                0.04377,              0.0010273,              0.0010273,              0.0010273
                     21,                0.36889,                0.74983,                0.06671,                0.72643,                0.26831,                0.17092,                0.12438,                0.39642,                  1.251,                0.03978,              0.0010149,              0.0010149,              0.0010149
                     22,                0.30578,                0.63541,                0.04587,                 0.7372,                0.29153,                0.19175,                0.14235,                 0.3181,                 1.2887,                0.03376,              0.0010025,              0.0010025,              0.0010025
                     23,                0.30246,                0.68253,                0.05286,                0.76594,                 0.2414,                0.18638,                0.13292,                0.35527,                 1.2162,                0.03737,             0.00099013,             0.00099013,             0.00099013
                     24,                0.34268,                0.70722,                0.05524,                0.70256,                0.27728,                0.17788,                0.12987,                0.42975,                 1.1136,                0.05383,             0.00097775,             0.00097775,             0.00097775
                     25,                0.28917,                0.78012,                0.03662,                0.73216,                0.26836,                0.20993,                0.15273,                0.40605,                 1.1635,                 0.0485,             0.00096537,             0.00096537,             0.00096537
                     26,                0.30994,                0.65481,                0.05983,                0.76522,                0.28447,                0.21935,                0.16327,                0.42507,                0.99794,                0.04947,               0.000953,               0.000953,               0.000953
                     27,                0.34045,                0.56236,                0.05087,                0.75606,                0.29283,                0.20572,                 0.1481,                0.33246,                 1.2265,                0.02848,             0.00094062,             0.00094062,             0.00094062
                     28,                 0.2601,                 0.6026,                0.03898,                0.78342,                0.28763,                 0.2325,                0.17635,                0.34103,                 1.1174,                0.03181,             0.00092825,             0.00092825,             0.00092825
                     29,                0.27339,                0.57722,                 0.0434,                0.49552,                0.29075,                0.21989,                0.15649,                0.32381,                 1.1888,                 0.0288,             0.00091588,             0.00091588,             0.00091588
                     30,                0.30596,                0.57695,                0.04557,                0.62415,                0.33135,                0.27019,                0.20288,                0.40257,                 1.0343,                  0.038,              0.0009035,              0.0009035,              0.0009035
                     31,                0.29888,                0.62394,                0.04951,                0.72525,                0.34057,                0.24545,                0.18265,                 0.3179,                   1.25,                0.02902,             0.00089112,             0.00089112,             0.00089112
                     32,                0.26675,                0.58929,                0.03703,                0.61344,                0.32507,                0.24056,                0.17218,                0.36009,                 1.1337,                0.03034,             0.00087875,             0.00087875,             0.00087875
                     33,                0.31664,                0.57323,                0.04515,                0.62531,                 0.3247,                0.24989,                0.17262,                0.39239,                 1.0773,                 0.0374,             0.00086637,             0.00086637,             0.00086637
                     34,                0.28414,                0.57984,                0.03698,                0.54229,                0.30979,                0.21558,                0.13824,                0.42787,                  1.087,                0.03388,               0.000854,               0.000854,               0.000854
                     35,                0.31844,                0.61045,                0.04791,                0.58097,                 0.3019,                0.20822,                0.14548,                 0.3809,                 1.2673,                0.03629,             0.00084162,             0.00084162,             0.00084162
                     36,                 0.3253,                0.70093,                0.04919,                0.22684,                0.27534,                0.19203,                0.12066,                0.41745,                  1.196,                 0.0406,             0.00082925,             0.00082925,             0.00082925
                     37,                0.37474,                0.59343,                0.05812,                 0.7615,                0.31829,                0.24896,                0.15527,                0.45833,                 1.1559,                0.04312,             0.00081688,             0.00081688,             0.00081688
                     38,                0.29724,                0.55774,                0.03777,                0.61955,                0.32891,                0.22375,                0.15982,                0.35062,                 1.2401,                0.03191,              0.0008045,              0.0008045,              0.0008045
                     39,                0.29276,                0.50335,                0.03845,                0.61782,                0.35402,                0.26721,                0.18706,                0.37188,                 1.0899,                0.03982,             0.00079213,             0.00079213,             0.00079213
                     40,                0.34913,                0.52292,                0.05739,                 0.6529,                0.34431,                0.26158,                0.18614,                0.38351,                 1.0806,                0.03744,             0.00077975,             0.00077975,             0.00077975
                     41,                0.30314,                  0.475,                0.05203,                0.43158,                0.36124,                0.28857,                0.21218,                0.33985,                 1.0868,                 0.0335,             0.00076738,             0.00076738,             0.00076738
                     42,                 0.3132,                0.53029,                0.06536,                0.66489,                0.32331,                0.24566,                 0.1838,                 0.3605,                 1.2924,                0.03589,               0.000755,               0.000755,               0.000755
                     43,                0.28378,                0.60948,                0.03868,                0.77031,                0.29119,                0.21706,                0.15963,                0.38411,                 1.1537,                0.03634,             0.00074263,             0.00074263,             0.00074263
                     44,                0.32993,                0.66655,                0.05169,                0.50053,                 0.3082,                0.23083,                0.16357,                 0.4428,                 1.1409,                0.04087,             0.00073025,             0.00073025,             0.00073025
                     45,                0.37225,                0.62891,                0.06318,                0.36819,                0.35656,                0.23912,                0.16915,                0.40415,                 1.1436,                0.03818,             0.00071788,             0.00071788,             0.00071788
                     46,                0.36763,                0.66805,                0.06387,                0.59742,                0.31709,                0.23942,                0.16911,                0.41904,                 1.0376,                0.03902,              0.0007055,              0.0007055,              0.0007055
                     47,                 0.3646,                0.65214,                0.05102,                0.73182,                0.26389,                0.20534,                0.14456,                0.36536,                 1.2543,                0.03701,             0.00069313,             0.00069313,             0.00069313
                     48,                0.32099,                0.62564,                0.04978,                0.65635,                0.30375,                0.21043,                0.15284,                0.35213,                 1.1702,                0.03129,             0.00068075,             0.00068075,             0.00068075
                     49,                0.33129,                0.51901,                0.04905,                0.39563,                 0.3647,                0.25735,                 0.1865,                0.44377,                 1.1069,                0.04118,             0.00066838,             0.00066838,             0.00066838
                     50,                0.25718,                0.52811,                0.04424,                0.38812,                0.37902,                0.25155,                0.18902,                0.41557,                 1.1587,                0.04576,               0.000656,               0.000656,               0.000656
                     51,                 0.2871,                0.47774,                0.05362,                0.37916,                0.38978,                0.26026,                0.19368,                0.34178,                 1.1872,                0.03309,             0.00064362,             0.00064362,             0.00064362
                     52,                0.24791,                0.45357,                0.03323,                0.31349,                0.32622,                 0.2392,                0.17919,                0.38117,                 1.2824,                0.03754,             0.00063125,             0.00063125,             0.00063125
