epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.9463,0.79263,8.26524,0.84884,0.28231,0.33581,0.23487,0.17076,1.20218,2.53193,0.97149,0.000415287,0.000415287,0.000415287
2,192.429,0.91458,3.58311,0.90798,0.20981,0.24466,0.16053,0.12714,1.20084,2.82966,1.02892,0.000823717,0.000823717,0.000823717
3,284.593,1.04326,2.80305,1.03829,0.19159,0.14437,0.16119,0.11196,1.24774,2.28911,1.05092,0.0012239,0.0012239,0.0012239
4,376.522,1.11617,2.97528,1.03735,0.19436,0.25077,0.19384,0.13226,1.31729,1.99963,1.06212,0.00121287,0.00121287,0.00121287
5,468.426,1.10283,2.29022,1.00297,0.39648,0.1557,0.145,0.09968,1.36344,2.06375,1.06811,0.0012005,0.0012005,0.0012005
6,560.399,0.98729,1.95224,1.02466,0.20128,0.1382,0.16739,0.12203,1.23797,2.03006,1.05691,0.00118812,0.00118812,0.00118812
7,652.794,0.9319,1.5738,0.99491,0.29429,0.39321,0.24853,0.1875,1.26438,2.20163,1.04185,0.00117575,0.00117575,0.00117575
8,746.553,0.8983,1.30386,0.96297,0.35768,0.34526,0.29193,0.22379,1.17097,1.83153,1.01128,0.00116337,0.00116337,0.00116337
9,840.238,0.86476,1.25026,0.95912,0.19517,0.37247,0.21547,0.15588,1.14474,1.77925,1.00509,0.001151,0.001151,0.001151
10,932.267,0.85906,1.05124,0.91182,0.28187,0.45574,0.27309,0.19682,1.19577,2.17854,1.03024,0.00113863,0.00113863,0.00113863
11,1024.02,0.80221,0.96985,0.90096,0.35323,0.39042,0.29018,0.2238,1.15821,2.28316,1.00659,0.00112625,0.00112625,0.00112625
12,1117.64,0.77842,0.9557,0.92395,0.40792,0.34041,0.317,0.24719,1.13906,1.725,0.99972,0.00111388,0.00111388,0.00111388
13,1211.3,0.77613,0.85571,0.88493,0.37286,0.40226,0.33037,0.2604,1.16361,1.9303,1.00749,0.0011015,0.0011015,0.0011015
14,1304.45,0.75915,0.86044,0.88255,0.34274,0.36393,0.29589,0.22668,1.13824,1.86873,0.99459,0.00108913,0.00108913,0.00108913
15,1396.26,0.72571,0.79688,0.87208,0.36628,0.34793,0.29544,0.2317,1.12988,2.05742,1.00243,0.00107675,0.00107675,0.00107675
16,1488.13,0.73807,0.81272,0.90464,0.32608,0.42187,0.2944,0.22512,1.15646,2.05039,0.99772,0.00106437,0.00106437,0.00106437
17,1580.02,0.71852,0.8655,0.86525,0.37059,0.41604,0.31526,0.23604,1.11563,1.99571,0.99426,0.001052,0.001052,0.001052
18,1672.77,0.7204,0.81586,0.8832,0.29931,0.39716,0.27744,0.20823,1.10179,2.034,0.99415,0.00103962,0.00103962,0.00103962
