epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,120.048,1.9368,46.935,0.79662,0,0,0,0,1.73619,4.67635,0.79972,0.000276375,0.000276375,0.000276375
2,244.254,1.3449,3.18066,0.45516,6e-05,0.05682,0.0001,6e-05,1.11869,1.43901,0.36135,0.0005449,0.0005449,0.0005449
3,359.692,1.29731,1.1382,0.43824,0.12639,0.09659,0.01209,0.00943,0.65515,1.65041,0.17864,0.000804262,0.000804262,0.000804262
4,474.269,0.78844,1.42527,0.22109,nan,0.0625,0.00712,0.00503,nan,nan,nan,0.000791767,0.000791767,0.000791767
5,586.929,0.43993,1.65303,0.11725,0.39286,0.24847,0.03947,0.02514,0.29447,1.76029,0.0477,0.000778022,0.000778022,0.000778022
6,700.396,0.56529,1.30708,0.20168,nan,0.08523,0.01842,0.01484,nan,nan,nan,0.000764278,0.000764278,0.000764278
7,812.871,0.56168,1.47369,0.14946,0.51711,0.13844,0.04751,0.03615,0.39411,1.51309,0.14327,0.000750533,0.000750533,0.000750533
8,927.27,0.4226,1.42962,0.11551,0.75715,0.12,0.03078,0.02391,0.29898,1.67225,0.05704,0.000736788,0.000736788,0.000736788
9,1040.8,0.37554,1.49677,0.08453,0.77711,0.09091,0.04615,0.03461,0.29079,1.45611,0.05187,0.000723044,0.000723044,0.000723044
10,1153.28,0.38322,1.18188,0.08746,0.77774,0.10227,0.05543,0.04489,0.32757,1.17561,0.07236,0.000709299,0.000709299,0.000709299
11,1267.82,0.39496,1.08987,0.08501,0.56071,0.16548,0.1026,0.07161,0.41255,1.19925,0.09512,0.000695555,0.000695555,0.000695555
12,1383.87,0.37497,1.12104,0.07661,0.57594,0.18466,0.10455,0.08246,0.38006,1.13116,0.09408,0.00068181,0.00068181,0.00068181
13,1497.81,0.30644,1.13485,0.05956,0.62576,0.11509,0.07074,0.05766,0.29968,1.13592,0.05565,0.000668066,0.000668066,0.000668066
14,1610.4,0.33693,1.05692,0.07867,0.43098,0.20901,0.10749,0.08718,0.42336,1.06569,0.12516,0.000654321,0.000654321,0.000654321
15,1724.46,0.24115,1.07525,0.03583,0.35277,0.24446,0.16418,0.12898,0.27437,1.16779,0.04932,0.000640577,0.000640577,0.000640577
16,1838.18,0.29152,1.03827,0.05274,0.77048,0.2081,0.16885,0.11708,0.36886,1.02636,0.05799,0.000626832,0.000626832,0.000626832
17,1949.65,0.27202,1.06875,0.03807,0.78077,0.35849,0.28175,0.1953,0.30873,1.01885,0.05147,0.000613088,0.000613088,0.000613088
18,2064.1,0.29973,1.01898,0.05758,0.61693,0.36315,0.20975,0.16142,0.25896,1.09822,0.03812,0.000599343,0.000599343,0.000599343
19,2175.3,0.2733,0.94359,0.04601,0.40553,0.2871,0.15534,0.12506,0.24284,1.11721,0.03695,0.000585599,0.000585599,0.000585599
20,2286.62,0.23575,0.8774,0.03907,0.36147,0.29361,0.24406,0.19993,0.24457,1.00502,0.03719,0.000571854,0.000571854,0.000571854
21,2400.29,0.25785,0.91657,0.04392,0.53159,0.32841,0.24565,0.19537,0.25629,0.97666,0.04068,0.00055811,0.00055811,0.00055811
22,2513.39,0.23663,0.84473,0.03173,0.71005,0.45733,0.41701,0.32723,0.25228,0.95018,0.0379,0.000544365,0.000544365,0.000544365
23,2627.94,0.23455,0.84576,0.03156,0.78605,0.49385,0.46962,0.37194,0.24814,0.94073,0.03701,0.000530621,0.000530621,0.000530621
24,2743.14,0.21992,0.85783,0.03021,0.75208,0.49607,0.48143,0.38816,0.24915,1.00395,0.03898,0.000516877,0.000516877,0.000516877
25,2856.91,0.2197,0.85819,0.02883,0.76225,0.50092,0.45281,0.35927,0.2567,0.98985,0.03748,0.000503132,0.000503132,0.000503132
26,2968.36,0.20974,0.77799,0.02799,0.77099,0.47843,0.47465,0.38231,0.24773,0.93957,0.03731,0.000489387,0.000489387,0.000489387
27,3080.98,0.24834,0.77709,0.03341,0.83462,0.53432,0.52948,0.4141,0.25476,0.83536,0.03779,0.000475643,0.000475643,0.000475643
28,3193.97,0.24883,0.69812,0.03682,0.70859,0.58863,0.55171,0.44868,0.23811,0.88812,0.0364,0.000461898,0.000461898,0.000461898
29,3308.04,0.21607,0.66353,0.03801,0.8237,0.46392,0.48228,0.39473,0.23928,0.95135,0.03707,0.000448154,0.000448154,0.000448154
30,3419.72,0.20723,0.77103,0.0249,0.71211,0.56054,0.54506,0.44482,0.23924,0.81875,0.03718,0.000434409,0.000434409,0.000434409
31,3530.99,0.20573,0.62096,0.03047,0.6901,0.51956,0.49779,0.39601,0.24853,0.83366,0.03534,0.000420665,0.000420665,0.000420665
32,3644.6,0.20679,0.62236,0.02908,0.87248,0.51007,0.54862,0.44398,0.23129,0.76855,0.03653,0.00040692,0.00040692,0.00040692
33,3755.97,0.17401,0.61782,0.02431,0.85403,0.58487,0.56839,0.44099,0.25717,0.80863,0.03934,0.000393176,0.000393176,0.000393176
34,3867.69,0.19884,0.70637,0.02494,0.82702,0.49361,0.53543,0.43385,0.26127,0.83575,0.05263,0.000379431,0.000379431,0.000379431
35,3980.15,0.20018,0.60527,0.02614,0.73869,0.55313,0.52456,0.41328,0.26749,0.82826,0.0531,0.000365687,0.000365687,0.000365687
36,4093.19,0.22665,0.58772,0.03137,0.83195,0.51124,0.54055,0.43706,0.2857,0.79518,0.04907,0.000351942,0.000351942,0.000351942
37,4205.08,0.19944,0.57056,0.02337,0.83434,0.5416,0.55691,0.44875,0.26569,0.79087,0.03992,0.000338198,0.000338198,0.000338198
38,4318.85,0.17711,0.50116,0.02148,0.85599,0.55384,0.56292,0.44924,0.31191,0.7301,0.06443,0.000324453,0.000324453,0.000324453
39,4433.6,0.17791,0.54299,0.02274,0.83639,0.54476,0.51931,0.40996,0.30781,0.86424,0.06613,0.000310709,0.000310709,0.000310709
40,4546.03,0.17544,0.58077,0.02406,0.73963,0.5424,0.54023,0.42471,0.29787,0.7665,0.05208,0.000296964,0.000296964,0.000296964
41,4658.24,0.17524,0.47812,0.02187,0.77714,0.56521,0.58928,0.46743,0.30002,0.66939,0.05156,0.00028322,0.00028322,0.00028322
42,4772.59,0.19314,0.45289,0.02575,0.7231,0.52363,0.5258,0.41785,0.28357,0.76919,0.0484,0.000269475,0.000269475,0.000269475
43,4884.42,0.17428,0.53042,0.0219,0.82794,0.55565,0.50725,0.40675,0.27259,0.83871,0.04909,0.000255731,0.000255731,0.000255731
44,4995.94,0.18785,0.49336,0.028,0.73664,0.57878,0.54484,0.43446,0.29702,0.75967,0.05585,0.000241986,0.000241986,0.000241986
45,5108.41,0.15154,0.43539,0.01957,0.8648,0.58149,0.57966,0.47201,0.29834,0.70545,0.05167,0.000228242,0.000228242,0.000228242
46,5221.16,0.15111,0.41934,0.01945,0.76329,0.61104,0.58221,0.4709,0.32306,0.69897,0.05957,0.000214497,0.000214497,0.000214497
47,5332.29,0.15523,0.48942,0.01878,0.71087,0.58981,0.56382,0.45848,0.26567,0.73877,0.04415,0.000200753,0.000200753,0.000200753
48,5445.09,0.15219,0.46363,0.01884,0.73513,0.59499,0.57073,0.46239,0.30641,0.71313,0.05671,0.000187008,0.000187008,0.000187008
49,5558.03,0.16195,0.44331,0.01957,0.73604,0.56805,0.56204,0.47119,0.27964,0.74881,0.04611,0.000173264,0.000173264,0.000173264
50,5670.2,0.14493,0.41494,0.01804,0.69769,0.56735,0.53684,0.43001,0.29148,0.85078,0.04918,0.00015952,0.00015952,0.00015952
51,5772.99,0.14396,0.34928,0.01805,0.73761,0.58109,0.56838,0.46521,0.30945,0.73515,0.05654,0.000145775,0.000145775,0.000145775
52,5874.73,0.13909,0.32606,0.01753,0.75102,0.57401,0.57588,0.47385,0.31067,0.70378,0.05723,0.000132031,0.000132031,0.000132031
53,5976.29,0.13288,0.30074,0.01633,0.74334,0.56347,0.56113,0.45454,0.26957,0.75002,0.04523,0.000118286,0.000118286,0.000118286
54,6075.73,0.1228,0.28785,0.01527,0.76368,0.55981,0.54582,0.45273,0.26232,0.78832,0.0454,0.000104542,0.000104542,0.000104542
55,6175.15,0.11701,0.26606,0.01396,0.75366,0.55766,0.54386,0.45353,0.26596,0.80386,0.04492,9.0797e-05,9.0797e-05,9.0797e-05
56,6274.66,0.11717,0.26811,0.0142,0.74549,0.5683,0.55219,0.45058,0.30052,0.79319,0.05409,7.70525e-05,7.70525e-05,7.70525e-05
57,6374.61,0.11473,0.26451,0.01361,0.7264,0.52773,0.53877,0.43859,0.3346,0.73892,0.0787,6.3308e-05,6.3308e-05,6.3308e-05
58,6474.56,0.11071,0.25195,0.01317,0.73824,0.52671,0.53559,0.4352,0.39873,0.69943,0.09833,4.95635e-05,4.95635e-05,4.95635e-05
59,6574.53,0.10198,0.24209,0.01203,0.72402,0.52766,0.53443,0.43598,0.38668,0.72388,0.09553,3.5819e-05,3.5819e-05,3.5819e-05
60,6674.06,0.10386,0.2456,0.01262,0.74324,0.52775,0.53177,0.43367,0.38924,0.71804,0.09257,2.20745e-05,2.20745e-05,2.20745e-05
