                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3579,                     21,                0.57305,                0.81263,                0.17958,                0.07326,                0.05441,                 0.4077,                 1.3641,                0.05541,             0.00041529,             0.00041529,             0.00041529
                      2,                0.42292,                 1.0827,                 0.0975,                0.59594,                0.19366,                0.10024,                0.05593,                0.55755,                0.97041,                0.05651,             0.00081823,             0.00081823,             0.00081823
                      3,                 0.3904,                0.81069,                0.09354,                0.84385,                0.13122,                0.12344,                0.07395,                 0.6776,                0.96644,                  0.131,              0.0012074,              0.0012074,              0.0012074
                      4,                0.40221,                 0.7905,                 0.0621,                0.37656,                0.24356,                0.13851,                0.09317,                 0.4253,                 1.1124,                0.04079,              0.0011881,              0.0011881,              0.0011881
                      5,                0.39066,                 1.2294,                0.06652,                0.41278,                0.19395,                0.11854,                0.08911,                0.54543,                 1.1743,                0.08394,              0.0011881,              0.0011881,              0.0011881
                      6,                0.35275,                0.82939,                0.06141,                0.86758,                 0.1787,                 0.1407,                0.09701,                0.47794,                 1.0591,                 0.0567,              0.0011675,              0.0011675,              0.0011675
                      7,                0.39223,                0.75789,                0.08354,                0.47815,                0.26034,                0.16206,                0.09422,                0.87106,                0.89162,                0.15217,              0.0011469,              0.0011469,              0.0011469
                      8,                0.35462,                0.72512,                0.05899,                 0.4654,                0.21201,                0.13249,                0.07941,                0.83174,                 0.8978,                0.15206,              0.0011263,              0.0011263,              0.0011263
                      9,                0.52711,                0.77703,                0.09977,                0.40774,                0.12946,                0.06307,                0.03076,                 1.0445,                0.90126,                0.21215,              0.0011056,              0.0011056,              0.0011056
                     10,                0.49318,                0.85865,                0.08969,                0.40931,                0.12782,                0.09513,                0.04794,                 1.4258,                0.71233,                0.33713,               0.001085,               0.001085,               0.001085
                     11,                 0.4758,                0.74563,                0.09568,                0.42445,                0.18165,                0.13608,                0.08003,                0.60504,                 1.0945,                0.07008,              0.0010644,              0.0010644,              0.0010644
                     12,                0.42446,                0.70929,                0.08727,                0.73069,                0.24035,                0.16733,                0.11763,                0.51306,                   1.05,                0.07813,              0.0010438,              0.0010438,              0.0010438
                     13,                0.34195,                 0.6165,                0.05707,                0.73809,                0.29353,                0.21129,                0.15067,                0.42145,                 1.1207,                0.04899,              0.0010231,              0.0010231,              0.0010231
                     14,                0.34624,                0.65701,                0.05538,                0.74492,                0.15744,                0.11722,                0.07281,                 0.8673,                 0.8977,                0.14933,              0.0010025,              0.0010025,              0.0010025
                     15,                0.35669,                0.58698,                0.06121,                0.73479,                0.22186,                0.14839,                0.10357,                0.67699,                0.92219,                0.13919,             0.00098187,             0.00098187,             0.00098187
                     16,                0.30993,                0.65833,                 0.0463,                0.46811,                0.14868,                0.12729,                0.09293,                0.89814,                0.81843,                0.21671,             0.00096125,             0.00096125,             0.00096125
                     17,                0.30069,                0.59491,                0.04461,                0.72943,                0.27164,                0.19772,                0.13968,                0.51169,                 1.0939,                0.08398,             0.00094062,             0.00094062,             0.00094062
                     18,                0.34834,                0.62637,                0.05918,                0.67855,                0.24083,                0.12854,                0.08789,                0.83079,                 1.0326,                0.15212,                0.00092,                0.00092,                0.00092
                     19,                0.29526,                0.58801,                0.03681,                0.69058,                0.15241,                  0.114,                0.08194,                0.81018,                0.96721,                0.19316,             0.00089938,             0.00089938,             0.00089938
                     20,                 0.3465,                0.56085,                0.05199,                0.73936,                0.24592,                0.12924,                 0.0798,                0.51966,                 1.2678,                0.07742,             0.00087875,             0.00087875,             0.00087875
                     21,                0.30308,                0.64585,                0.04771,                0.75556,                0.30869,                0.21841,                0.16207,                 0.4021,                 1.0264,                0.05296,             0.00085813,             0.00085813,             0.00085813
                     22,                0.27485,                0.52677,                0.04048,                0.43761,                 0.1567,                0.07773,                0.05465,                 1.0124,                0.75997,                0.27779,              0.0008375,              0.0008375,              0.0008375
                     23,                0.27026,                0.52512,                 0.0421,                 0.7589,                0.30952,                0.19788,                0.14136,                0.41439,                 1.1082,                0.06085,             0.00081688,             0.00081688,             0.00081688
                     24,                0.30914,                0.58504,                0.05375,                0.38944,                0.34024,                0.27593,                0.19036,                0.42931,                 1.0113,                0.04295,             0.00079625,             0.00079625,             0.00079625
                     25,                0.24319,                0.58504,                0.03233,                 0.7509,                0.30578,                0.21517,                0.15668,                0.38966,                 1.1939,                0.04959,             0.00077563,             0.00077563,             0.00077563
                     26,                0.29013,                0.52299,                0.04439,                0.49144,                0.30454,                0.20119,                0.14259,                0.39528,                 1.2644,                 0.0487,               0.000755,               0.000755,               0.000755
                     27,                0.28436,                0.50863,                0.03636,                0.73428,                0.28986,                0.20125,                0.13326,                0.46402,                 1.0634,                0.05243,             0.00073437,             0.00073437,             0.00073437
                     28,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00071375,             0.00071375,             0.00071375
                     29,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00069313,             0.00069313,             0.00069313
                     30,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,              0.0006725,              0.0006725,              0.0006725
                     31,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00065188,             0.00065188,             0.00065188
                     32,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00063125,             0.00063125,             0.00063125
                     33,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00061062,             0.00061062,             0.00061062
                     34,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,                0.00059,                0.00059,                0.00059
                     35,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00056938,             0.00056938,             0.00056938
                     36,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00054875,             0.00054875,             0.00054875
                     37,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00052812,             0.00052812,             0.00052812
                     38,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,              0.0005075,              0.0005075,              0.0005075
                     39,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00048687,             0.00048687,             0.00048687
                     40,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00046625,             0.00046625,             0.00046625
                     41,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00044563,             0.00044563,             0.00044563
                     42,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,               0.000425,               0.000425,               0.000425
                     43,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00040438,             0.00040438,             0.00040438
                     44,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00038375,             0.00038375,             0.00038375
                     45,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00036313,             0.00036313,             0.00036313
                     46,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,              0.0003425,              0.0003425,              0.0003425
                     47,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00032188,             0.00032188,             0.00032188
                     48,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00030125,             0.00030125,             0.00030125
                     49,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00028063,             0.00028063,             0.00028063
                     50,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,                0.00026,                0.00026,                0.00026
                     51,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00023938,             0.00023938,             0.00023938
                     52,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00021875,             0.00021875,             0.00021875
                     53,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00019813,             0.00019813,             0.00019813
                     54,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,              0.0001775,              0.0001775,              0.0001775
                     55,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00015688,             0.00015688,             0.00015688
                     56,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00013625,             0.00013625,             0.00013625
                     57,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             0.00011563,             0.00011563,             0.00011563
                     58,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,                9.5e-05,                9.5e-05,                9.5e-05
                     59,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     60,                    nan,                    nan,                    nan,                0.73428,                0.28986,                0.20125,                0.13326,                    nan,                    nan,                    nan,              5.375e-05,              5.375e-05,              5.375e-05
