                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86108,                 10.138,                0.88582,                0.85776,                 38.553,                0.81042,                 0.4306,                0.27763,                 0.1555,                0.11362,                 1.2012,                 4.4955,                 1.0003,                 1.3134,                 8.7911,                0.96065,             0.00041529,             0.00041529,             0.00041529
                      2,                 1.0173,                 4.2727,                 1.0162,                 1.0088,                 8.5475,                0.90231,                0.59008,                0.21269,                0.08784,                0.05878,                 1.3841,                 3.9885,                 1.1133,                 1.4601,                 6.9797,                 1.0425,             0.00081823,             0.00081823,             0.00081823
                      3,                 1.2021,                 3.6473,                 1.1785,                 1.1291,                 5.2517,                0.95898,                0.00119,                0.00985,                0.00061,                0.00039,                  2.151,                 4519.6,                 7.5249,                 1.8358,                  13874,                 3.4072,              0.0012074,              0.0012074,              0.0012074
                      4,                 1.5365,                 3.8693,                 1.2717,                 1.2492,                 3.8532,                 1.0906,                0.56826,                0.00721,                0.00731,                0.00396,                   2.55,                  11771,                 17.281,                 2.0183,                 9.2227,                 6.4208,              0.0011881,              0.0011881,              0.0011881
                      5,                 1.4759,                 3.1119,                 1.3222,                 1.4252,                 2.8996,                 1.1928,                0.61112,                0.14551,                0.09149,                 0.0558,                 1.4591,                 2.7722,                 1.1836,                 1.6544,                 3.4089,                 1.2797,              0.0011881,              0.0011881,              0.0011881
                      6,                 1.3579,                 2.4081,                 1.2488,                 1.2483,                 2.5521,                 1.0717,                0.32554,                0.17142,                0.04705,                0.03001,                 1.5228,                 5.7382,                 1.3424,                 1.6336,                 4.4712,                 1.2432,              0.0011675,              0.0011675,              0.0011675
                      7,                 1.1761,                 1.7489,                 1.2095,                  1.151,                 1.8391,                 1.0582,                0.20898,                0.25733,                0.17546,                0.10986,                   1.42,                 2.1648,                 1.1665,                 1.4986,                 2.5757,                 1.1307,              0.0011469,              0.0011469,              0.0011469
                      8,                 1.0284,                 1.3918,                 1.1037,                 1.0597,                 1.4797,                 1.0049,                0.71925,                0.22241,                0.21392,                0.12724,                 1.4388,                   2.16,                 1.1949,                 1.6061,                 2.4719,                 1.1777,              0.0011263,              0.0011263,              0.0011263
                      9,                 1.1296,                 1.3543,                 1.1529,                 1.0762,                 1.2644,                 1.0172,                0.43535,                0.31468,                0.19787,                 0.1182,                 1.4987,                 2.0387,                 1.1962,                 1.5361,                 2.1708,                  1.186,              0.0011056,              0.0011056,              0.0011056
                     10,                 1.0457,                 1.2027,                 1.1181,                 1.0201,                 1.1252,                0.98912,                0.22243,                0.34632,                0.18782,                 0.1231,                 1.3807,                 2.1415,                 1.1569,                 1.3875,                 2.3768,                 1.1257,               0.001085,               0.001085,               0.001085
