epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,244.333,1.44861,22.3174,0.60357,0.80438,0.19187,0.06894,0.04845,0.3815,1.47717,0.04348,0.000415287,0.000415287,0.000415287
2,489.89,0.41147,1.17652,0.0889,0.85421,0.17077,0.09341,0.05667,0.45873,1.20775,0.04055,0.000818226,0.000818226,0.000818226
3,732.048,0.47039,0.92432,0.09599,0.63275,0.15224,0.10198,0.05029,0.84444,1.00476,0.11495,0.00120742,0.00120742,0.00120742
4,970.52,0.47261,0.94828,0.07414,nan,0.42264,0.12362,0.05907,nan,nan,nan,0.00118812,0.00118812,0.00118812
5,1209.86,0.40836,0.84284,0.07044,0.44532,0.21346,0.1482,0.10127,nan,nan,nan,0.0011675,0.0011675,0.0011675
6,1452.43,0.46954,0.66109,0.14151,0.67219,0.21615,0.15481,0.0954,0.65299,1.01682,0.11827,0.00114688,0.00114688,0.00114688
7,1689.9,0.55793,0.72214,0.18157,0.65657,0.17109,0.1258,0.08221,0.96522,0.93049,0.22225,0.00112625,0.00112625,0.00112625
8,1927.62,0.39593,0.73375,0.07102,0,0,0,0,nan,nan,nan,0.00110563,0.00110563,0.00110563
9,2165.2,0.4133,0.68682,0.07963,0.48351,0.15435,0.10114,0.07382,nan,nan,nan,0.001085,0.001085,0.001085
10,2401.69,0.42953,0.66561,0.07225,0.2024,0.22272,0.12437,0.08003,nan,nan,nan,0.00106437,0.00106437,0.00106437
11,2639.47,0.46051,0.70411,0.09483,0.41779,0.22398,0.12937,0.09372,nan,nan,nan,0.00104375,0.00104375,0.00104375
12,2879.49,0.39187,0.71083,0.08141,nan,0.19565,0.12406,0.08647,nan,nan,nan,0.00102312,0.00102312,0.00102312
13,3115.71,0.35189,0.70057,0.06514,0.46162,0.16054,0.10183,0.06758,nan,nan,nan,0.0010025,0.0010025,0.0010025
14,3352.63,0.38568,0.67116,0.06641,0.51267,0.02394,0.0253,0.01917,nan,nan,nan,0.000981875,0.000981875,0.000981875
15,3589.55,0.3647,0.65048,0.05941,nan,0.29125,0.10771,0.06307,nan,nan,nan,0.00096125,0.00096125,0.00096125
16,3827.52,0.33741,0.67111,0.05777,0.46454,0.15032,0.08396,0.05556,nan,nan,nan,0.000940625,0.000940625,0.000940625
17,4064.87,0.3299,0.60271,0.06206,0.20706,0.18758,0.135,0.09209,nan,nan,nan,0.00092,0.00092,0.00092
18,4303.78,0.36897,0.62659,0.07119,0.23153,0.22008,0.15469,0.10533,nan,nan,nan,0.000899375,0.000899375,0.000899375
19,4545.93,0.29447,0.61014,0.05329,0.49709,0.2546,0.17761,0.12089,nan,nan,nan,0.00087875,0.00087875,0.00087875
20,4785.88,0.3302,0.58678,0.07278,0.49025,0.24232,0.17885,0.11651,nan,nan,nan,0.000858125,0.000858125,0.000858125
21,5022.7,0.29081,0.60881,0.05764,nan,0.21466,0.13111,0.09994,nan,nan,nan,0.0008375,0.0008375,0.0008375
22,5263.26,0.25816,0.5703,0.03712,0.4883,0.11123,0.08958,0.06773,nan,nan,nan,0.000816875,0.000816875,0.000816875
23,5500.74,0.2484,0.50642,0.03213,0.53731,0.12826,0.10234,0.07751,nan,nan,nan,0.00079625,0.00079625,0.00079625
24,5738.06,0.28426,0.51717,0.04584,0.26573,0.14971,0.11253,0.0818,nan,nan,nan,0.000775625,0.000775625,0.000775625
25,5975.82,0.26335,0.54187,0.03414,0.47263,0.19217,0.14137,0.09443,nan,nan,nan,0.000755,0.000755,0.000755
26,6213.58,0.27176,0.55473,0.03958,0.49364,0.16769,0.12357,0.08455,nan,nan,nan,0.000734375,0.000734375,0.000734375
27,6450.41,0.2592,0.53464,0.03369,0.47456,0.21547,0.17881,0.12329,nan,nan,nan,0.00071375,0.00071375,0.00071375
