epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.188,1.70126,61.1982,1.87771,0.17435,0.09945,0.1253,0.09901,2.39194,37.979,2.13928,0.000415287,0.000415287,0.000415287
2,363,1.9551,12.85,2.08897,0.31119,0.03167,0.1724,0.09728,2.89664,5.85767,2.51763,0.000818226,0.000818226,0.000818226
3,490.816,2.73262,8.86749,2.68287,0.15463,0.07111,0.10371,0.06439,3.86062,6.96258,3.30959,0.00120742,0.00120742,0.00120742
4,607.159,2.62494,7.84334,2.72905,0.14247,0.10731,0.09928,0.06725,3.26301,7.26049,2.77594,0.00118812,0.00118812,0.00118812
5,723.092,2.64602,5.94235,2.70873,0.19643,0.03873,0.11758,0.08249,nan,nan,nan,0.0011675,0.0011675,0.0011675
6,839.173,2.34903,4.3892,2.52682,0.1265,0.11653,0.12088,0.08436,2.80181,4.68972,2.47919,0.00114688,0.00114688,0.00114688
7,955.575,2.17993,3.64332,2.39137,0.23129,0.02869,0.1298,0.09501,nan,nan,nan,0.00112625,0.00112625,0.00112625
8,1072.05,2.06934,3.04258,2.33987,0.16994,0.17932,0.14213,0.09539,2.68774,4.35356,2.42082,0.00110563,0.00110563,0.00110563
9,1188.89,2.12487,2.83293,2.37931,0.17273,0.25508,0.15434,0.11235,2.85828,4.57802,2.41273,0.001085,0.001085,0.001085
10,1310.62,2.09136,2.49462,2.26866,0.18054,0.15593,0.14954,0.09391,2.98627,4.31216,2.46834,0.00106437,0.00106437,0.00106437
11,1436.93,1.94763,2.47128,2.18223,0.26522,0.10047,0.17079,0.12758,2.74707,4.30323,2.37901,0.00104375,0.00104375,0.00104375
12,1566,1.90822,2.33504,2.2617,0.20148,0.17442,0.17033,0.12012,2.72726,4.06723,2.3943,0.00102312,0.00102312,0.00102312
13,1686.75,1.83129,2.03993,2.15965,0.27547,0.28621,0.22432,0.15336,2.67599,4.27291,2.3112,0.0010025,0.0010025,0.0010025
14,1803.74,1.73262,2.01082,2.0525,0.27157,0.24819,0.20244,0.14005,2.61495,4.40401,2.34083,0.000981875,0.000981875,0.000981875
15,1919.58,1.73499,1.83372,2.09613,0.21913,0.20745,0.17304,0.12783,2.4856,3.91354,2.25823,0.00096125,0.00096125,0.00096125
16,2036.11,1.73045,1.82198,2.08434,0.27847,0.28196,0.2262,0.14976,2.59453,4.21139,2.31593,0.000940625,0.000940625,0.000940625
17,2154.52,1.71047,1.67549,2.06358,0.22557,0.2463,0.18191,0.13046,2.55867,4.44286,2.31447,0.00092,0.00092,0.00092
18,2272.77,1.73115,1.68864,2.1014,0.30022,0.25506,0.22834,0.14869,2.6442,4.49437,2.30104,0.000899375,0.000899375,0.000899375
19,2391.22,1.65833,1.71684,2.04951,0.29382,0.24811,0.23326,0.15123,2.5327,3.69637,2.29392,0.00087875,0.00087875,0.00087875
20,2516.96,1.68216,1.63585,2.06931,0.21832,0.24858,0.18729,0.14083,2.54422,4.11522,2.24871,0.000858125,0.000858125,0.000858125
21,2644.03,1.60835,1.67938,2.03756,0.3256,0.29904,0.26913,0.19308,2.37218,3.73352,2.21861,0.0008375,0.0008375,0.0008375
22,2767.83,1.50327,1.47112,1.9568,0.34272,0.29836,0.26021,0.16878,2.50311,3.77929,2.24177,0.000816875,0.000816875,0.000816875
23,2884.09,1.52644,1.49482,1.95809,0.31453,0.2693,0.24332,0.17476,2.38423,4.37767,2.21981,0.00079625,0.00079625,0.00079625
24,3000.62,1.53493,1.45657,1.97462,0.25138,0.29648,0.21935,0.1599,2.43807,4.0133,2.25804,0.000775625,0.000775625,0.000775625
25,3116.89,1.48745,1.31775,1.97365,0.26095,0.23367,0.21883,0.16715,2.46188,4.14052,2.23941,0.000755,0.000755,0.000755
26,3233.73,1.49155,1.40668,1.95244,0.32337,0.37694,0.31785,0.22712,2.44706,4.50225,2.2747,0.000734375,0.000734375,0.000734375
27,3351.78,1.46546,1.32708,1.93585,0.34638,0.34557,0.28167,0.20608,2.39491,4.34052,2.2295,0.00071375,0.00071375,0.00071375
28,3474.41,1.42439,1.32396,1.9255,0.24902,0.25513,0.20719,0.15658,2.34215,3.98063,2.20554,0.000693125,0.000693125,0.000693125
29,3600.19,1.40398,1.293,1.9411,0.33021,0.37847,0.25333,0.17933,2.33877,5.1246,2.18843,0.0006725,0.0006725,0.0006725
30,3725.65,1.33064,1.25811,1.88131,0.39337,0.33748,0.34632,0.25777,2.29797,3.54419,2.17019,0.000651875,0.000651875,0.000651875
31,3845.98,1.30355,1.21561,1.88215,0.28754,0.28179,0.23668,0.18942,2.30157,4.57445,2.15304,0.00063125,0.00063125,0.00063125
32,3963.95,1.35352,1.19234,1.85437,0.33504,0.32504,0.28275,0.20886,2.36825,3.86147,2.16435,0.000610625,0.000610625,0.000610625
33,4080.86,1.31057,1.08343,1.83031,0.36181,0.32721,0.29037,0.20992,2.37555,4.38009,2.19894,0.00059,0.00059,0.00059
34,4199.35,1.30371,1.09892,1.85776,0.36267,0.31105,0.30579,0.20753,2.33436,4.37502,2.16279,0.000569375,0.000569375,0.000569375
35,4315.12,1.35742,1.15356,1.84259,0.5888,0.34207,0.40096,0.29143,2.27714,3.85626,2.14201,0.00054875,0.00054875,0.00054875
36,4441.81,1.24526,1.04139,1.81175,0.39033,0.29465,0.29221,0.22421,2.30535,4.37072,2.16564,0.000528125,0.000528125,0.000528125
37,4569.1,1.30472,1.21024,1.85611,0.48416,0.31918,0.36485,0.27276,2.29366,4.06855,2.16844,0.0005075,0.0005075,0.0005075
38,4687.48,1.27731,1.04238,1.82235,0.27081,0.30353,0.2527,0.19293,2.3244,4.31921,2.1564,0.000486875,0.000486875,0.000486875
39,4803.6,1.25107,1.07044,1.83906,0.46578,0.32497,0.30832,0.22883,2.26333,3.94671,2.14217,0.00046625,0.00046625,0.00046625
40,4920.34,1.235,1.04628,1.83065,0.56378,0.38613,0.41353,0.27206,2.29829,4.2866,2.15328,0.000445625,0.000445625,0.000445625
41,5038.56,1.21496,0.97243,1.79156,0.42776,0.35105,0.32603,0.24213,2.23049,3.96891,2.12309,0.000425,0.000425,0.000425
