                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4063,                 51.771,                0.46864,                0.00012,                0.03622,                  8e-05,                  6e-05,                 1.4299,                 9.2656,                 0.5317,             0.00027638,             0.00027638,             0.00027638
                      2,                 1.3211,                 3.5804,                0.42087,                0.00039,                0.11568,                0.00027,                 0.0002,                0.52161,                 2.1513,                 0.1264,             0.00054719,             0.00054719,             0.00054719
                      3,                0.75168,                 1.6413,                 0.1837,                  4e-05,                0.09375,                0.00057,                0.00038,                0.87212,                 1.5962,                0.29524,             0.00081112,             0.00081112,             0.00081112
                      4,                0.56264,                 1.9152,                0.17627,                0.00089,                  0.125,                0.01201,                0.00901,                0.66402,                 1.9209,                0.33492,             0.00080207,             0.00080207,             0.00080207
                      5,                0.64521,                 1.9883,                0.22538,                  0.138,                0.22585,                0.03341,                0.02057,                0.50766,                 1.7984,                0.21661,             0.00080207,             0.00080207,             0.00080207
                      6,                0.34578,                 1.9641,                0.07667,                0.00041,                0.11932,                0.00162,                0.00104,                0.19556,                 2.4665,                 0.0287,             0.00079177,             0.00079177,             0.00079177
                      7,                0.29302,                 1.9375,                0.04865,                0.50397,                  0.125,                0.00592,                0.00385,                0.76387,                 1.3382,                0.20168,             0.00078146,             0.00078146,             0.00078146
                      8,                0.30977,                 1.4528,                0.04819,                0.29146,                0.03977,                 0.0252,                0.02139,                 0.7907,                0.99742,                    0.2,             0.00077115,             0.00077115,             0.00077115
                      9,                0.33261,                 1.3042,                0.06208,                  1e-05,                0.00781,                  1e-05,                  1e-05,                  1.038,                0.79954,                 0.3024,             0.00076084,             0.00076084,             0.00076084
                     10,                0.36096,                 1.2252,                0.08755,                0.62735,                0.00781,                0.00082,                 0.0005,                0.39353,                  1.505,                0.06124,             0.00075053,             0.00075053,             0.00075053
                     11,                0.32592,                  1.318,                0.05558,                0.76498,                0.02841,                0.01915,                0.01496,                0.62056,                 1.6635,                0.17429,             0.00074022,             0.00074022,             0.00074022
                     12,                0.34918,                 1.2332,                0.06518,                0.26071,                0.04545,                0.00902,                0.00615,                0.59618,                 1.3281,                0.17119,             0.00072992,             0.00072992,             0.00072992
                     13,                  0.309,                 1.1786,                0.05525,                0.63425,                0.05682,                0.00851,                0.00573,                0.58151,                 1.2573,                0.19624,             0.00071961,             0.00071961,             0.00071961
                     14,                0.37505,                 1.1151,                 0.0727,                0.54659,                 0.1047,                0.02996,                0.02181,                0.60066,                 1.1207,                0.13898,              0.0007093,              0.0007093,              0.0007093
                     15,                0.36217,                 1.0956,                0.05474,                0.69732,                0.11625,                0.06452,                0.05017,                 0.5691,                 1.0736,                0.11887,             0.00069899,             0.00069899,             0.00069899
                     16,                0.33875,                 1.1038,                0.05152,                 0.0235,                 0.1775,                0.04148,                0.03139,                0.40861,                 1.3495,                0.08358,             0.00068868,             0.00068868,             0.00068868
                     17,                0.30619,                  1.055,                0.04896,                0.02706,                0.15128,                0.02776,                0.01613,                0.38012,                 1.3565,                0.07764,             0.00067837,             0.00067837,             0.00067837
                     18,                0.31962,                 1.1177,                0.05551,                0.58872,                0.08941,                0.04024,                0.03217,                0.49585,                 1.1828,                0.15253,             0.00066807,             0.00066807,             0.00066807
                     19,                 0.2954,                 1.1277,                0.05051,                0.46702,                0.16548,                0.10973,                0.08976,                0.25081,                 1.2157,                 0.0417,             0.00065776,             0.00065776,             0.00065776
                     20,                0.25623,                 1.1721,                0.04528,                0.63906,                 0.1408,                0.08598,                 0.0689,                0.28848,                 1.2765,                0.04427,             0.00064745,             0.00064745,             0.00064745
                     21,                0.30684,                 1.0656,                0.05599,                0.22022,                0.27116,                0.15539,                0.12375,                0.32263,                 1.1611,                0.05086,             0.00063714,             0.00063714,             0.00063714
                     22,                0.32423,                0.99714,                0.06328,                0.46582,                0.25372,                0.16634,                0.12531,                0.30146,                 1.1398,                0.04572,             0.00062683,             0.00062683,             0.00062683
                     23,                0.31058,                0.94922,                0.04955,                0.38697,                0.33208,                0.34904,                0.28763,                0.25448,                 1.1962,                0.04045,             0.00061652,             0.00061652,             0.00061652
                     24,                0.28328,                0.99475,                0.04727,                0.44936,                0.32446,                0.24294,                 0.1931,                0.29253,                 1.1145,                0.04629,             0.00060622,             0.00060622,             0.00060622
                     25,                0.29444,                0.95904,                0.04685,                0.58883,                0.38204,                0.31606,                0.24822,                0.27992,                 1.1134,                0.04702,             0.00059591,             0.00059591,             0.00059591
                     26,                0.29256,                0.95086,                0.04814,                0.67039,                0.33568,                0.29876,                 0.2454,                0.43671,                0.93526,                0.08076,              0.0005856,              0.0005856,              0.0005856
                     27,                0.28104,                0.97208,                0.03943,                0.79932,                 0.3888,                0.42128,                0.34995,                0.47143,                 1.0365,                0.11993,             0.00057529,             0.00057529,             0.00057529
                     28,                0.29002,                0.89164,                0.04652,                0.83382,                0.54752,                 0.5422,                0.42163,                0.35927,                0.84987,                0.06239,             0.00056498,             0.00056498,             0.00056498
                     29,                0.30071,                0.84577,                0.04992,                0.82375,                0.48681,                0.48578,                 0.3712,                0.34223,                 0.8684,                0.05374,             0.00055467,             0.00055467,             0.00055467
                     30,                0.28018,                0.81956,                0.03981,                   0.72,                0.51848,                0.57131,                0.45618,                0.27533,                0.90505,                0.04972,             0.00054437,             0.00054437,             0.00054437
                     31,                 0.2812,                0.77176,                0.04412,                0.79569,                0.50556,                0.52039,                0.42313,                 0.2819,                0.79619,                0.05144,             0.00053406,             0.00053406,             0.00053406
                     32,                0.28294,                0.77823,                0.05197,                0.52718,                0.48714,                0.48741,                0.39572,                0.35023,                0.89332,                0.05884,             0.00052375,             0.00052375,             0.00052375
                     33,                0.24714,                0.76301,                0.04503,                0.66436,                 0.5172,                0.51408,                0.40689,                 0.2835,                0.94814,                0.04602,             0.00051344,             0.00051344,             0.00051344
                     34,                0.25989,                0.69889,                0.03855,                0.59422,                0.48891,                  0.502,                0.40617,                0.30214,                0.93885,                0.04673,             0.00050313,             0.00050313,             0.00050313
                     35,                0.22781,                0.65859,                 0.0313,                0.50411,                0.46626,                 0.4271,                0.35047,                0.27504,                 1.2161,                 0.0438,             0.00049282,             0.00049282,             0.00049282
                     36,                0.24993,                 0.6787,                0.03428,                0.52851,                0.43756,                0.41965,                0.35005,                0.28431,                 1.0693,                0.04177,             0.00048252,             0.00048252,             0.00048252
                     37,                0.25783,                0.64551,                0.04556,                0.63807,                0.44999,                0.39052,                0.33165,                0.32787,                0.92725,                0.04862,             0.00047221,             0.00047221,             0.00047221
                     38,                0.22933,                0.60187,                0.03354,                0.70403,                0.44965,                0.44509,                0.37384,                0.35732,                0.84639,                0.06144,              0.0004619,              0.0004619,              0.0004619
                     39,                0.22207,                 0.6763,                0.03196,                0.81978,                0.47511,                0.46799,                0.38869,                0.37464,                 0.8507,                0.06963,             0.00045159,             0.00045159,             0.00045159
                     40,                0.24429,                0.67812,                0.03878,                0.70001,                0.36931,                0.33798,                0.27594,                0.25249,                 1.2185,                0.04054,             0.00044128,             0.00044128,             0.00044128
                     41,                0.23261,                0.67882,                0.03276,                 0.8115,                0.51842,                0.50327,                0.41667,                0.25849,                0.79725,                0.05025,             0.00043097,             0.00043097,             0.00043097
