                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84378,                 14.489,                0.86511,                0.14783,                0.14541,                 0.1286,                0.09209,                 1.1536,                   10.6,                0.93122,             0.00041529,             0.00041529,             0.00041529
                      2,                0.85921,                 11.345,                0.88203,                0.17491,                0.12691,                0.13267,                0.10827,                 1.0741,                 8.9425,                0.96575,             0.00082166,             0.00082166,             0.00082166
                      3,                0.87529,                 10.098,                0.92668,                0.16088,                0.22812,                0.15576,                0.11983,                 1.1118,                 8.1381,                0.98282,              0.0012177,              0.0012177,              0.0012177
                      4,                0.88481,                 9.0153,                0.90892,                0.27463,                 0.1975,                0.20471,                0.15686,                 1.1754,                 7.7047,                0.99113,              0.0012036,              0.0012036,              0.0012036
                      5,                0.92998,                 7.9609,                0.91665,                0.22841,                0.25406,                0.19788,                0.15036,                 1.1435,                 7.4867,                 0.9523,              0.0012036,              0.0012036,              0.0012036
                      6,                 0.8344,                 7.0594,                0.88547,                 0.2365,                0.12491,                0.15705,                0.12465,                 1.1043,                 6.8018,                0.94717,              0.0011881,              0.0011881,              0.0011881
                      7,                0.83254,                 6.1208,                0.88986,                0.37433,                 0.2308,                0.27265,                0.22049,                 1.0548,                  5.916,                0.94385,              0.0011727,              0.0011727,              0.0011727
                      8,                0.79423,                 5.4195,                0.87146,                 0.3537,                0.25067,                0.26031,                0.21406,                 1.0546,                 5.6501,                0.95353,              0.0011572,              0.0011572,              0.0011572
                      9,                0.78199,                 5.2529,                0.88976,                0.39818,                0.24717,                0.28835,                0.24118,                 1.0751,                 5.3049,                0.96681,              0.0011417,              0.0011417,              0.0011417
                     10,                0.76915,                 5.0504,                0.86003,                0.30936,                 0.3423,                0.26388,                0.21486,                 1.0941,                 4.8579,                0.96034,              0.0011263,              0.0011263,              0.0011263
                     11,                0.72231,                 4.0258,                0.86039,                0.40546,                0.28106,                0.29468,                0.23859,                 1.0796,                 4.3312,                0.96608,              0.0011108,              0.0011108,              0.0011108
                     12,                0.72083,                 3.5075,                0.87095,                0.30558,                 0.3463,                 0.2763,                0.22973,                 1.0143,                 4.0395,                0.93664,              0.0010953,              0.0010953,              0.0010953
