epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,207.982,1.28853,31.6196,0.59916,0.03423,0.22623,0.05548,0.03626,0.49272,1.67366,0.12511,0.000415287,0.000415287,0.000415287
2,414.278,0.46013,1.42503,0.10038,0.80256,0.19542,0.1053,0.07308,0.27439,2.53585,0.02414,0.000821658,0.000821658,0.000821658
3,617.822,0.31348,1.44304,0.04772,0.85457,0.17518,0.12675,0.06221,0.53303,1.04962,0.03861,0.00121772,0.00121772,0.00121772
4,819.159,0.43741,0.84952,0.06685,0.58712,0.22623,0.12003,0.08802,0.35412,1.13288,0.03435,0.00120359,0.00120359,0.00120359
5,1023.61,0.33043,0.89462,0.04449,0.58462,0.27741,0.09018,0.06179,0.35403,1.13655,0.03412,0.00118812,0.00118812,0.00118812
6,1226.61,0.32109,0.90409,0.04178,0.35321,0.19065,0.11229,0.07732,0.37117,1.09582,0.03833,0.00117266,0.00117266,0.00117266
7,1439.89,0.31907,0.78333,0.04006,0.41122,0.24694,0.15665,0.09798,0.4519,0.98736,0.0444,0.00115719,0.00115719,0.00115719
8,1650.35,0.297,0.72519,0.03507,0.44867,0.2516,0.16492,0.11377,0.35964,1.17392,0.03802,0.00114172,0.00114172,0.00114172
9,1852.34,0.29399,0.66293,0.03883,0.53502,0.29845,0.27273,0.19984,0.33339,0.98797,0.03173,0.00112625,0.00112625,0.00112625
10,2052.95,0.28425,0.62684,0.02943,0.50589,0.28981,0.23431,0.16501,0.37658,1.05577,0.03667,0.00111078,0.00111078,0.00111078
11,2252.7,0.35647,0.64335,0.04903,0.48363,0.25974,0.18306,0.11809,0.45277,1.13665,0.05156,0.00109531,0.00109531,0.00109531
12,2460.33,0.32723,0.76507,0.04515,0.23662,0.29044,0.19248,0.12256,0.42898,1.22021,0.0488,0.00107984,0.00107984,0.00107984
13,2673.78,0.2703,0.59955,0.03557,0.52004,0.31181,0.26117,0.18435,0.37358,1.02737,0.03854,0.00106437,0.00106437,0.00106437
14,2876.85,0.30582,0.55971,0.04282,0.77668,0.30861,0.25821,0.17575,0.36325,1.11747,0.03366,0.00104891,0.00104891,0.00104891
15,3076.94,0.24763,0.57532,0.02449,0.55134,0.30258,0.26661,0.19609,0.34755,0.94568,0.02934,0.00103344,0.00103344,0.00103344
16,3276.67,0.23893,0.56461,0.0286,0.27733,0.31019,0.25816,0.19119,0.31586,1.10349,0.02718,0.00101797,0.00101797,0.00101797
17,3477.29,0.23009,0.45686,0.03046,0.77947,0.29524,0.26598,0.19593,0.32818,1.13004,0.03603,0.0010025,0.0010025,0.0010025
18,3690.18,0.2355,0.4695,0.03445,0.81465,0.28956,0.28428,0.19959,0.35552,1.03661,0.02837,0.000987031,0.000987031,0.000987031
19,3901.16,0.19092,0.42833,0.01906,0.56624,0.35575,0.28644,0.21068,0.30737,0.98439,0.02835,0.000971562,0.000971562,0.000971562
20,4100.91,0.22231,0.4124,0.02964,0.67557,0.3747,0.31065,0.23123,0.36303,0.99072,0.0314,0.000956094,0.000956094,0.000956094
21,4300.98,0.19587,0.41646,0.02093,0.63672,0.50253,0.38614,0.29997,0.31912,1.02514,0.03248,0.000940625,0.000940625,0.000940625
22,4502.89,0.17188,0.38918,0.01792,0.60258,0.40925,0.29873,0.22291,0.35079,1.20472,0.03439,0.000925156,0.000925156,0.000925156
23,4711.66,0.18615,0.3709,0.01978,0.38378,0.44161,0.33537,0.25989,0.33096,1.09853,0.03307,0.000909688,0.000909688,0.000909688
24,4922.12,0.20355,0.38126,0.02377,0.3784,0.47316,0.34754,0.24884,0.32579,1.15637,0.02691,0.000894219,0.000894219,0.000894219
25,5123.91,0.19468,0.50211,0.02207,0.26416,0.36353,0.24826,0.16604,0.34525,1.2573,0.02891,0.00087875,0.00087875,0.00087875
26,5323.81,0.23236,0.49711,0.02919,0.4061,0.37292,0.2883,0.2212,0.35436,1.13961,0.03504,0.000863281,0.000863281,0.000863281
27,5523.67,0.20728,0.4635,0.02725,0.62118,0.48103,0.41694,0.30852,0.31982,1.0834,0.02854,0.000847813,0.000847813,0.000847813
28,5738.58,0.19125,0.44597,0.01818,0.59548,0.49993,0.41416,0.31949,0.29556,1.01397,0.02531,0.000832344,0.000832344,0.000832344
29,5950.64,0.18458,0.44738,0.02095,0.54496,0.50645,0.38605,0.29291,0.33347,1.20293,0.03555,0.000816875,0.000816875,0.000816875
30,6148.19,0.16898,0.37493,0.01805,0.38677,0.50055,0.35845,0.28003,0.29374,1.06242,0.02426,0.000801406,0.000801406,0.000801406
31,6347.89,0.1658,0.35141,0.01663,0.37391,0.47516,0.34602,0.26517,0.32232,1.40599,0.02812,0.000785938,0.000785938,0.000785938
32,6552.33,0.17296,0.32631,0.02126,0.47097,0.44545,0.37148,0.29527,0.29936,1.18224,0.0301,0.000770469,0.000770469,0.000770469
33,6764.31,0.16063,0.32492,0.01815,0.54478,0.51268,0.38266,0.29669,0.34161,1.20237,0.0329,0.000755,0.000755,0.000755
34,6964.28,0.16143,0.28779,0.01923,0.45492,0.51592,0.37543,0.28483,0.35579,1.15087,0.03513,0.000739531,0.000739531,0.000739531
35,7165.09,0.16942,0.37125,0.02145,0.43088,0.51375,0.38372,0.29417,0.31167,1.18857,0.02618,0.000724062,0.000724062,0.000724062
36,7370.52,0.14973,0.29295,0.01825,0.39488,0.56651,0.39317,0.30186,0.45068,1.14558,0.04359,0.000708594,0.000708594,0.000708594
37,7576.87,0.14778,0.32786,0.01611,0.47278,0.53212,0.4097,0.32029,0.40835,1.14657,0.03869,0.000693125,0.000693125,0.000693125
38,7779.49,0.14507,0.31162,0.01447,0.40589,0.55907,0.38311,0.302,0.29935,1.13093,0.02501,0.000677656,0.000677656,0.000677656
39,7987.59,0.13727,0.25957,0.01307,0.42806,0.53355,0.39376,0.3115,0.29934,1.14427,0.02447,0.000662188,0.000662188,0.000662188
40,8189.95,0.14312,0.28585,0.0143,0.46717,0.51292,0.42303,0.33406,0.37862,1.13887,0.03842,0.000646719,0.000646719,0.000646719
41,8390.27,0.13609,0.25545,0.01243,0.41867,0.55547,0.40074,0.31735,0.35999,1.34272,0.03602,0.00063125,0.00063125,0.00063125
42,8603.28,0.1377,0.27419,0.01395,0.44094,0.49517,0.39152,0.30764,0.31467,1.2444,0.02815,0.000615781,0.000615781,0.000615781
43,8802.05,0.13076,0.26303,0.01174,0.41256,0.54565,0.37797,0.29566,0.30497,1.24414,0.02576,0.000600313,0.000600313,0.000600313
44,9004.4,0.13416,0.27552,0.01141,0.42635,0.52086,0.37249,0.28666,0.32151,1.31612,0.03047,0.000584844,0.000584844,0.000584844
45,9211.95,0.14867,0.2695,0.0143,0.41809,0.553,0.36894,0.29084,0.36867,1.36636,0.03934,0.000569375,0.000569375,0.000569375
46,9411.68,0.14599,0.29739,0.01405,0.42407,0.54584,0.39255,0.30901,0.35312,1.34358,0.03336,0.000553906,0.000553906,0.000553906
47,9616.46,0.14375,0.26887,0.01296,0.4771,0.49178,0.4067,0.32036,0.34653,1.25358,0.03678,0.000538438,0.000538438,0.000538438
48,9820.2,0.14196,0.27827,0.01251,0.45676,0.51092,0.40833,0.31622,0.32658,1.24122,0.02934,0.000522969,0.000522969,0.000522969
49,10027.6,0.12506,0.2415,0.01087,0.44736,0.51764,0.39921,0.31237,0.32619,1.26251,0.03389,0.0005075,0.0005075,0.0005075
50,10234.7,0.11101,0.22803,0.0104,0.42933,0.56201,0.40941,0.32383,0.3886,1.25956,0.0415,0.000492031,0.000492031,0.000492031
