                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0683,                   3.24,                0.92179,                0.06763,                0.11731,                0.04175,                0.03297,                 1.3032,                 5.3432,                 0.9575,             0.00055503,             0.00055503,             0.00055503
                      2,                 1.1692,                 1.7268,                0.93979,                  0.375,                0.00577,                0.18966,                 0.1517,                 1.2448,                  1.639,                0.96364,              0.0010997,              0.0010997,              0.0010997
                      3,                 1.1307,                  1.485,                0.95146,                    0.5,                0.00192,                0.25096,                0.22586,                 1.3388,                   1.82,                0.99296,              0.0016334,              0.0016334,              0.0016334
                      4,                 1.2098,                 1.4429,                0.96782,                0.80278,                0.06562,                0.43246,                0.36134,                 1.4167,                 1.9146,                 1.0207,              0.0016175,              0.0016175,              0.0016175
                      5,                  1.099,                 1.4604,                0.92477,                0.38636,                0.03269,                0.20581,                0.17033,                 1.3403,                 1.7201,                 1.0025,              0.0016175,              0.0016175,              0.0016175
                      6,                  1.057,                 1.3848,                 0.9291,                0.41667,                0.07692,                0.24099,                0.19241,                 1.3048,                 1.7526,                0.99592,               0.001601,               0.001601,               0.001601
                      7,                 1.0491,                 1.2882,                0.91273,                0.41489,                   0.15,                0.27816,                0.21789,                 1.3413,                  1.629,                  1.004,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.0647,                 1.3108,                0.93162,                    0.5,                0.00577,                0.25288,                0.22759,                  1.237,                 1.6157,                0.97274,               0.001568,               0.001568,               0.001568
                      9,                 1.0455,                 1.2417,                 0.9043,                      1,                0.02746,                0.51373,                0.44192,                 1.2141,                 1.6038,                0.97237,              0.0015515,              0.0015515,              0.0015515
                     10,                0.92497,                  1.178,                0.87729,                0.38889,                0.01346,                0.20134,                0.17235,                 1.1952,                 1.5311,                0.94738,               0.001535,               0.001535,               0.001535
                     11,                0.98614,                 1.1334,                0.88123,                0.40426,                0.07308,                0.23489,                0.19798,                 1.1944,                 1.6497,                0.94702,              0.0015185,              0.0015185,              0.0015185
                     12,                0.95452,                 1.1156,                0.88292,                   0.25,                0.00192,                0.12673,                0.11406,                 1.2384,                 1.5873,                  0.977,               0.001502,               0.001502,               0.001502
                     13,                0.90421,                 1.0859,                0.86869,                0.45349,                  0.075,                0.26099,                0.21193,                 1.1761,                 1.5417,                0.96207,              0.0014855,              0.0014855,              0.0014855
                     14,                0.88593,                 1.0572,                0.85603,                0.90566,                0.08516,                0.48908,                0.44201,                  1.173,                 1.4997,                0.95256,               0.001469,               0.001469,               0.001469
                     15,                0.90582,                 1.0534,                0.86743,                0.44444,                0.01538,                0.23045,                0.19576,                 1.1599,                 1.4799,                0.96115,              0.0014525,              0.0014525,              0.0014525
                     16,                0.90498,                 1.0377,                   0.86,                0.41346,                0.08269,                0.24349,                 0.2004,                  1.169,                  1.496,                0.95284,               0.001436,               0.001436,               0.001436
                     17,                0.95577,                 1.0515,                0.86047,                    0.4,                0.04615,                0.22047,                0.17453,                 1.2135,                   1.59,                0.97258,              0.0014195,              0.0014195,              0.0014195
                     18,                0.89701,                0.99961,                0.85483,                    0.5,                0.00192,                0.25096,                0.22586,                 1.2204,                 1.5018,                0.97042,              0.0014029,              0.0014029,              0.0014029
                     19,                0.87796,                 1.0021,                0.85819,                0.48438,                0.05962,                 0.2713,                0.23661,                 1.1638,                 1.4908,                0.96282,              0.0013864,              0.0013864,              0.0013864
                     20,                  0.867,                  1.017,                0.83587,                0.91176,                0.02939,                0.47017,                0.40887,                 1.1288,                 1.6233,                0.94989,              0.0013699,              0.0013699,              0.0013699
                     21,                0.87657,                0.96392,                0.85846,                0.33333,                0.00385,                0.16878,                0.16043,                 1.0923,                  1.512,                0.93429,              0.0013534,              0.0013534,              0.0013534
                     22,                0.83976,                0.96217,                0.84263,                   0.25,                0.02692,                0.13867,                0.12666,                 1.1484,                 1.6295,                0.94573,              0.0013369,              0.0013369,              0.0013369
                     23,                0.81701,                0.95256,                0.83792,                 0.8125,                0.02169,                0.41549,                0.31699,                 1.1162,                 1.5237,                0.94344,              0.0013204,              0.0013204,              0.0013204
                     24,                 0.8489,                0.90852,                0.84587,                0.74004,                0.12578,                0.42877,                0.36765,                 1.0696,                 1.5494,                0.93921,              0.0013039,              0.0013039,              0.0013039
                     25,                0.80305,                0.89474,                0.83101,                 0.7822,                0.15685,                0.46604,                0.40443,                 1.0971,                 1.4899,                0.93344,              0.0012874,              0.0012874,              0.0012874
                     26,                 0.7928,                0.92882,                0.83036,                    0.5,                0.00577,                0.25288,                0.23613,                 1.1544,                 1.5178,                0.96213,              0.0012709,              0.0012709,              0.0012709
                     27,                0.84733,                0.92889,                0.83894,                0.66667,                0.00685,                0.33778,                0.29119,                  1.105,                 1.5961,                0.93541,              0.0012544,              0.0012544,              0.0012544
