                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79178,                 4.6639,                0.81778,                0.28037,                0.37276,                0.24545,                0.18217,                 1.1843,                 4.1288,                0.85201,             0.00041529,             0.00041529,             0.00041529
                      2,                0.96635,                 2.2473,                0.84709,                0.20431,                0.30093,                0.17497,                0.13287,                 1.2692,                 3.1709,                0.87701,             0.00082509,             0.00082509,             0.00082509
                      3,                 1.0205,                 1.8995,                0.90272,                 0.3098,                0.28701,                 0.2842,                 0.1891,                 1.3955,                  2.222,                0.91674,               0.001228,               0.001228,               0.001228
                      4,                 1.0275,                  1.525,                 0.9232,                0.36804,                0.43376,                0.36062,                0.24619,                 1.4045,                 2.0201,                0.95518,              0.0012191,              0.0012191,              0.0012191
                      5,                 1.0937,                 1.5853,                0.93632,                0.45138,                0.21464,                 0.3116,                0.23193,                 1.3747,                 2.0097,                0.94316,              0.0012191,              0.0012191,              0.0012191
                      6,                 1.0304,                  1.142,                0.92974,                0.37161,                0.38027,                0.33627,                0.25414,                 1.2499,                 1.9795,                0.93392,              0.0012087,              0.0012087,              0.0012087
                      7,                0.99415,                 1.0857,                0.93452,                  0.484,                 0.4509,                0.41759,                0.30281,                 1.3878,                 2.2927,                0.95941,              0.0011984,              0.0011984,              0.0011984
                      8,                0.95001,                0.93885,                0.88738,                0.48282,                0.47544,                0.43924,                0.33195,                 1.2812,                  1.904,                0.92274,              0.0011881,              0.0011881,              0.0011881
                      9,                0.92834,                0.95091,                0.90959,                0.60379,                 0.5351,                0.51679,                0.38962,                 1.2221,                 1.6954,                0.91966,              0.0011778,              0.0011778,              0.0011778
                     10,                0.89996,                0.79236,                0.86738,                0.56495,                0.56525,                0.53255,                0.40156,                  1.246,                 1.9459,                0.92484,              0.0011675,              0.0011675,              0.0011675
                     11,                0.83823,                0.80027,                0.86014,                0.51611,                0.59795,                0.50031,                0.37791,                 1.2286,                 1.6294,                0.91319,              0.0011572,              0.0011572,              0.0011572
                     12,                0.80938,                0.80086,                 0.8796,                 0.4511,                0.52947,                0.44911,                0.34462,                 1.1209,                 1.6178,                0.89753,              0.0011469,              0.0011469,              0.0011469
                     13,                0.77475,                 0.7378,                0.85088,                0.57712,                 0.5427,                0.51306,                0.39042,                 1.2222,                 1.9883,                0.92055,              0.0011366,              0.0011366,              0.0011366
