                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87926,                 5.2839,                0.82593,                0.85149,                 14.208,                0.76864,                0.47442,                0.23231,                0.20142,                0.13584,                 1.1532,                 3.9065,                0.90419,                 1.1777,                  5.359,                0.87035,             0.00041529,             0.00041529,             0.00041529
                      2,                 1.0295,                 2.5215,                0.91482,                0.95222,                 3.8887,                0.81939,                0.39289,                0.21843,                0.18921,                0.12663,                 1.3923,                 4.2087,                0.95323,                 1.3493,                  4.402,                0.90089,             0.00082784,             0.00082784,             0.00082784
                      3,                 1.0949,                 2.0286,                0.94301,                0.99483,                  2.513,                0.87952,                  0.442,                0.27981,                0.19234,                0.12178,                 1.4614,                 4.9507,                0.96661,                 1.4684,                 3.9096,                0.95232,              0.0012363,              0.0012363,              0.0012363
                      4,                 1.1709,                 2.4085,                0.98524,                 1.0764,                 2.2012,                0.90333,                0.40662,                 0.2448,                0.19425,                0.10684,                 1.5703,                 2.3629,                 1.0006,                 1.6174,                 2.8211,                0.97985,              0.0012314,              0.0012314,              0.0012314
                      5,                 1.4495,                 1.9699,                 1.0603,                  1.231,                  1.719,                0.90975,                0.39045,                 0.2532,                0.20753,                0.12241,                  1.727,                 2.5211,                 1.0536,                 1.7092,                 2.4811,                 1.0223,              0.0012314,              0.0012314,              0.0012314
                      6,                 1.2981,                  1.863,                 1.0165,                 1.2107,                  1.661,                0.92364,                0.23963,                0.10843,                0.11375,                0.06702,                 2.3213,                 60.001,                 1.4383,                 2.2324,                 4.0138,                 1.2427,              0.0012252,              0.0012252,              0.0012252
                      7,                  1.192,                 1.4269,                0.97939,                 1.0977,                 1.4341,                0.90028,                0.22151,                0.30244,                0.18804,                0.12744,                 1.6254,                 2.6496,                 1.1315,                 1.6856,                 2.6832,                 1.0581,              0.0012191,              0.0012191,              0.0012191
                      8,                  1.109,                  1.176,                0.93101,                 1.0731,                 1.2186,                0.86151,                0.48285,                0.36482,                0.21816,                   0.14,                 1.5397,                 2.2523,                 1.0042,                 1.6344,                   2.58,                 1.0192,              0.0012129,              0.0012129,              0.0012129
                      9,                 1.1192,                 1.2842,                0.97339,                 1.0757,                 1.1823,                0.90129,                0.46219,                0.30549,                0.17637,                0.12071,                 1.5829,                 2.5968,                 1.0603,                 1.4965,                 3.2656,                 1.0275,              0.0012067,              0.0012067,              0.0012067
                     10,                 1.1418,                 1.1057,                0.94902,                 1.0736,                0.99783,                0.86816,                0.48433,                0.31692,                0.18762,                0.11091,                 1.6657,                 2.5946,                 1.2146,                 1.7422,                 2.7563,                 1.0811,              0.0012005,              0.0012005,              0.0012005
