                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.913,                 7.5821,                0.81855,                0.14169,                0.25705,                0.12029,                0.09355,                  1.199,                 7.3009,                0.85379,             0.00041529,             0.00041529,             0.00041529
                      2,                0.90515,                 5.7174,                 0.8409,                0.22706,                0.26745,                 0.1755,                0.13343,                 1.2435,                 6.3482,                0.85584,             0.00081823,             0.00081823,             0.00081823
                      3,                 0.9085,                 4.9549,                0.84763,                0.17263,                0.18282,                0.14853,                0.11772,                 1.2107,                 5.8286,                0.86313,              0.0012074,              0.0012074,              0.0012074
                      4,                0.98552,                 4.9313,                0.87451,                0.22995,                0.24238,                0.19161,                 0.1329,                 1.3318,                 5.5918,                0.86637,              0.0011881,              0.0011881,              0.0011881
                      5,                0.96858,                 4.1247,                0.88295,                0.27357,                0.33428,                0.25457,                0.19453,                 1.2034,                 5.0518,                0.85898,              0.0011881,              0.0011881,              0.0011881
                      6,                0.93593,                 3.6208,                0.86248,                0.25438,                0.25565,                0.22992,                 0.1789,                 1.2019,                 4.5733,                0.86346,              0.0011675,              0.0011675,              0.0011675
                      7,                0.83248,                 3.2075,                0.86484,                0.31466,                0.29703,                0.26166,                0.20271,                 1.1505,                 4.3407,                0.85887,              0.0011469,              0.0011469,              0.0011469
                      8,                0.84726,                 3.0156,                 0.8368,                0.29465,                0.37158,                0.27235,                0.20711,                 1.1505,                 4.1251,                0.85373,              0.0011263,              0.0011263,              0.0011263
                      9,                0.87543,                  2.903,                0.84992,                0.30577,                0.30564,                0.24651,                0.18657,                 1.2009,                 4.1488,                0.85722,              0.0011056,              0.0011056,              0.0011056
                     10,                0.86444,                 2.8133,                0.83394,                0.24413,                0.42831,                0.26759,                0.21055,                  1.089,                 3.9995,                0.85302,               0.001085,               0.001085,               0.001085
                     11,                0.80326,                 2.3596,                0.83914,                0.30116,                0.35038,                0.26622,                0.20548,                 1.1411,                 3.8083,                 0.8592,              0.0010644,              0.0010644,              0.0010644
                     12,                 0.7777,                 2.0785,                 0.8417,                0.31439,                0.30489,                0.28505,                0.21324,                 1.1009,                 3.0224,                 0.8494,              0.0010438,              0.0010438,              0.0010438
                     13,                0.77202,                 2.1502,                0.81916,                0.32551,                0.32388,                0.28992,                0.23019,                  1.077,                 3.0608,                0.84907,              0.0010231,              0.0010231,              0.0010231
                     14,                0.81212,                 1.9988,                0.81044,                0.33162,                0.37336,                0.28441,                0.21628,                 1.1587,                 3.2201,                0.85224,              0.0010025,              0.0010025,              0.0010025
                     15,                0.72577,                 1.7326,                0.82255,                0.34339,                0.35175,                0.29654,                0.23081,                 1.0456,                  2.714,                0.84726,             0.00098187,             0.00098187,             0.00098187
                     16,                0.76566,                  1.682,                0.82253,                0.30219,                0.40244,                0.29784,                0.23418,                 1.0296,                 2.6279,                0.84236,             0.00096125,             0.00096125,             0.00096125
                     17,                0.75585,                 1.5892,                0.81326,                0.36625,                0.39561,                 0.3247,                0.25336,                 1.1557,                 3.1078,                0.85645,             0.00094062,             0.00094062,             0.00094062
                     18,                0.71254,                 1.3954,                0.83195,                0.35515,                 0.4156,                0.30696,                0.23845,                 1.0977,                 2.7804,                0.84799,                0.00092,                0.00092,                0.00092
                     19,                0.69997,                  1.374,                0.80942,                0.43526,                0.38806,                0.35366,                0.26264,                 1.0807,                 2.4512,                0.84878,             0.00089938,             0.00089938,             0.00089938
                     20,                0.71297,                 1.2878,                0.83012,                0.37109,                0.46242,                0.32535,                0.24811,                 1.0657,                 2.7438,                0.84524,             0.00087875,             0.00087875,             0.00087875
                     21,                0.71682,                 1.2342,                0.80678,                0.41383,                0.39152,                0.33247,                0.23705,                 1.0622,                 2.5661,                0.84454,             0.00085813,             0.00085813,             0.00085813
                     22,                0.67702,                 1.1174,                0.81752,                0.42078,                0.40429,                0.34764,                0.26423,                 1.0567,                 2.4116,                0.84805,              0.0008375,              0.0008375,              0.0008375
                     23,                0.74049,                 1.1707,                0.80669,                0.34648,                0.47946,                0.37834,                 0.2835,                 1.0957,                 2.4594,                0.84804,             0.00081688,             0.00081688,             0.00081688
                     24,                0.68796,                 1.1068,                 0.7967,                0.47252,                0.32297,                0.34395,                0.26277,                 1.0961,                 2.2592,                0.84871,             0.00079625,             0.00079625,             0.00079625
                     25,                0.67001,                 1.0273,                0.80889,                0.36935,                0.41329,                0.35154,                0.28229,                 1.0776,                  2.179,                0.84722,             0.00077563,             0.00077563,             0.00077563
                     26,                0.65408,                0.96906,                0.81452,                0.25997,                 0.3836,                0.24622,                0.19404,                 1.0443,                 2.6455,                0.84223,               0.000755,               0.000755,               0.000755
                     27,                0.64531,                0.96996,                0.78823,                0.40406,                0.34385,                0.33502,                0.26084,                 1.0563,                 2.2687,                0.83871,             0.00073437,             0.00073437,             0.00073437
                     28,                 0.6238,                0.92914,                0.80282,                0.42471,                0.44615,                0.36734,                0.26446,                 1.0312,                 2.2772,                 0.8349,             0.00071375,             0.00071375,             0.00071375
                     29,                0.61786,                0.90119,                0.80086,                0.43662,                0.31861,                0.33295,                0.24692,                 1.0543,                  2.271,                0.84362,             0.00069313,             0.00069313,             0.00069313
                     30,                0.62428,                 0.8954,                0.80049,                0.35286,                0.48929,                0.36021,                0.26668,                 1.0588,                 2.7039,                0.83871,              0.0006725,              0.0006725,              0.0006725
