                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94846,                 7.8652,                0.84616,                0.84781,                 18.618,                0.78086,                0.45539,                0.14136,                0.07771,                0.05198,                 1.3358,                 7.8426,                0.90834,                 1.3517,                 17.769,                0.88262,             0.00041529,             0.00041529,             0.00041529
                      2,                  1.077,                 6.7144,                  0.886,                0.88646,                 16.642,                0.79547,                 0.6204,                0.18858,                0.10366,                0.07156,                 1.2745,                 6.7973,                 0.8886,                 1.2421,                  15.56,                0.87687,             0.00082166,             0.00082166,             0.00082166
                      3,                0.99535,                 5.3833,                0.88749,                0.90962,                 14.703,                0.81284,                0.64765,                0.26841,                0.16613,                 0.1088,                 1.2689,                 6.5364,                0.89293,                 1.2834,                 14.042,                0.89167,              0.0012177,              0.0012177,              0.0012177
                      4,                0.96781,                 5.1972,                0.89793,                0.93866,                 13.239,                0.83637,                0.65994,                0.19443,                0.15104,                0.10012,                 1.1625,                 5.6685,                0.88958,                 1.2822,                 12.606,                0.87515,              0.0012036,              0.0012036,              0.0012036
                      5,                 1.0405,                 4.8387,                0.93724,                 1.0111,                 12.041,                0.85416,                0.67104,                0.21251,                0.16454,                0.10492,                 1.2402,                 5.8458,                0.92347,                 1.3383,                 11.965,                0.89465,              0.0012036,              0.0012036,              0.0012036
                      6,                0.97895,                 4.0162,                0.92645,                0.90869,                 10.692,                0.85067,                0.69879,                 0.1946,                0.17421,                0.11505,                 1.2485,                 5.1727,                0.91291,                 1.3316,                 10.574,                 0.8982,              0.0011881,              0.0011881,              0.0011881
                      7,                0.94357,                 3.6436,                0.91729,                0.89226,                 9.6098,                0.85071,                0.67493,                 0.2389,                0.16507,                0.09931,                 1.3379,                 5.8132,                 0.9312,                 1.4298,                 10.077,                0.88967,              0.0011727,              0.0011727,              0.0011727
                      8,                 0.8961,                 3.2765,                0.87041,                0.83595,                 8.4542,                0.82103,                0.68347,                0.20464,                 0.1832,                0.12649,                 1.1275,                 4.3058,                0.89562,                 1.2318,                 8.5439,                0.88619,              0.0011572,              0.0011572,              0.0011572
                      9,                0.90713,                 3.0274,                0.89933,                0.88431,                 7.6597,                0.83882,                0.66953,                0.27315,                0.17614,                0.11963,                 1.2934,                 4.5211,                0.89802,                 1.2654,                 7.9836,                0.88904,              0.0011417,              0.0011417,              0.0011417
                     10,                0.92827,                 3.0048,                0.85548,                0.86381,                 6.7928,                0.79939,                0.64852,                0.29184,                0.19259,                0.13986,                 1.1981,                 4.1425,                0.89875,                 1.2136,                 7.3271,                0.87848,              0.0011263,              0.0011263,              0.0011263
                     11,                0.82197,                 2.5291,                0.85692,                0.83751,                 5.9975,                0.81507,                0.68098,                0.27566,                0.19597,                 0.1319,                 1.1902,                 3.9549,                0.89215,                 1.2263,                 6.5889,                0.87749,              0.0011108,              0.0011108,              0.0011108
                     12,                0.78728,                 2.2145,                0.85807,                0.78868,                 5.2217,                0.82652,                0.46841,                0.34773,                0.21936,                0.15402,                 1.1692,                 3.3119,                0.88701,                 1.2026,                 5.7429,                0.88481,              0.0010953,              0.0010953,              0.0010953
                     13,                0.80001,                 2.2557,                0.84001,                0.77773,                 5.0136,                0.80615,                0.47894,                0.29306,                  0.202,                0.13746,                 1.1502,                 3.3869,                0.88324,                 1.2166,                 5.4693,                0.89542,              0.0010798,              0.0010798,              0.0010798
                     14,                0.83231,                 2.1176,                 0.8251,                0.84596,                 4.4923,                0.78619,                0.52797,                0.29901,                0.23944,                0.15806,                 1.2155,                 3.4326,                0.89719,                 1.2627,                 5.0419,                0.89534,              0.0010644,              0.0010644,              0.0010644
                     15,                0.79915,                 1.8478,                0.84556,                0.76563,                 4.0026,                0.80671,                0.55434,                0.32212,                0.25225,                0.17724,                 1.1421,                  2.825,                0.88624,                 1.2118,                 4.5693,                0.88369,              0.0010489,              0.0010489,              0.0010489
                     16,                 0.8513,                 1.8472,                 0.8423,                0.79635,                 3.7531,                0.79651,                0.54008,                0.31181,                0.22846,                0.16062,                 1.2621,                 3.0569,                0.90237,                 1.2739,                 4.6955,                0.90302,              0.0010334,              0.0010334,              0.0010334
                     17,                0.82464,                 1.7064,                0.83519,                0.74527,                 3.4581,                0.79063,                0.50634,                 0.3936,                0.24127,                0.16034,                 1.2562,                 3.1294,                0.89444,                 1.2881,                 4.5734,                0.89075,               0.001018,               0.001018,               0.001018
