                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0032,                 8.5125,                0.82454,                0.96302,                 19.883,                 0.7577,                0.52974,                0.22431,                0.12223,                0.07784,                 1.2087,                  7.615,                 0.8432,                 1.0655,                 18.183,                 0.7931,             0.00047387,             0.00047387,             0.00047387
                      2,                 1.0291,                 8.0207,                0.81877,                0.97237,                  17.95,                0.75145,                0.50645,                0.32677,                0.14854,                0.10567,                  1.137,                 6.7537,                0.83186,                  1.062,                 16.275,                0.80197,             0.00092668,             0.00092668,             0.00092668
                      3,                 1.1307,                 6.7866,                0.89206,                 1.1015,                 16.454,                0.78871,                0.58931,                 0.2685,                 0.1927,                0.12304,                 1.3399,                  6.357,                0.88932,                 1.2284,                 15.479,                0.82067,              0.0013559,              0.0013559,              0.0013559
                      4,                 1.1537,                 7.1411,                0.88631,                 1.1152,                 15.956,                0.78847,                0.66739,                0.26832,                 0.2162,                 0.1426,                 1.3526,                 5.9024,                0.90642,                  1.257,                 14.458,                0.85799,              0.0013229,              0.0013229,              0.0013229
                      5,                 1.0996,                 6.1234,                 0.8869,                 1.0727,                 14.575,                0.79644,                0.64826,                0.21159,                0.21258,                 0.1395,                   1.13,                 5.6457,                0.87411,                 1.3464,                 13.682,                0.87671,              0.0013229,              0.0013229,              0.0013229
                      6,                 1.0748,                  5.323,                0.88065,                 1.0457,                 13.578,                0.79128,                0.86992,                0.20082,                0.27378,                0.18821,                 1.1558,                  5.103,                0.87923,                 1.2163,                 12.495,                0.84167,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.0323,                 5.5513,                0.86485,                 1.1533,                 12.565,                0.81627,                 0.6149,                0.31438,                0.33804,                 0.2442,                 1.0336,                 4.4564,                  0.859,                 1.2051,                 11.643,                0.85413,              0.0012522,              0.0012522,              0.0012522
                      8,                0.92797,                  4.856,                0.86745,                 1.0038,                 11.826,                0.82254,                0.72329,                0.19765,                0.29107,                0.19465,                 1.2095,                 4.8495,                0.88271,                  1.287,                  11.48,                0.87223,              0.0012168,              0.0012168,              0.0012168
                      9,                 1.0176,                 4.8639,                 0.8523,                 1.0416,                 11.131,                0.80401,                0.68786,                0.25673,                0.29356,                0.19545,                 1.0857,                 4.5408,                0.88848,                 1.2466,                 10.524,                0.86736,              0.0011814,              0.0011814,              0.0011814
                     10,                0.94035,                  4.381,                0.82814,                 1.0503,                 10.161,                0.80013,                0.65445,                0.33316,                0.31457,                0.23984,                 1.0629,                 4.1936,                0.86612,                 1.1557,                 9.8168,                0.87826,              0.0011461,              0.0011461,              0.0011461
                     11,                0.99908,                 3.9452,                0.86814,                 1.0162,                 9.9645,                0.82198,                 0.6882,                0.32235,                0.31229,                0.21298,                 1.0869,                 3.8787,                 0.8588,                  1.309,                 9.5194,                   0.88,              0.0011107,              0.0011107,              0.0011107
                     12,                0.94469,                 3.9005,                0.85407,                 0.9925,                  9.384,                0.80843,                0.65893,                0.33569,                0.31284,                0.20817,                 1.0982,                 3.5861,                0.87948,                 1.3368,                 9.1572,                0.87654,              0.0010753,              0.0010753,              0.0010753
                     13,                0.99172,                  3.654,                0.87024,                 0.9819,                  8.608,                0.81608,                 0.6891,                0.34193,                0.34122,                0.23545,                 1.1631,                 3.4585,                0.90254,                 1.3477,                 8.6374,                0.89911,                0.00104,                0.00104,                0.00104
                     14,                 1.0464,                 3.5875,                0.85508,                 1.0039,                  8.251,                0.83048,                0.64967,                0.36261,                0.34704,                0.24122,                 1.2006,                 3.3613,                0.89116,                 1.3078,                 8.2256,                0.90973,              0.0010046,              0.0010046,              0.0010046
